"","CVX","JNJ","PFE","HPQ","MCD","AXP","KO","CAT","AA","HD"
"T+1",0.00578470929657694,0.00142956050666077,0.0024283098102087,0.00110723759894909,0.000947868699079622,0.00977852669835712,0.00178349745981518,0.000448284239393797,0.00281619767233499,0.00591239325167534
"T+2",-0.0033632870183201,0.00163481978538881,0.00258122618382502,0.00482937076993917,0.00149871646870915,-7.51419772235366e-05,0.00277352259496935,0.0014441803824107,0.00564746962996209,0.00490092981238399
"T+3",0.00421408556575403,0.00147014077849856,0.000513586117639628,0.00183788595955974,0.000791720148970519,0.00275227912340748,0.000996595280267758,0.00163713055330913,0.00537693854618726,0.00383497765775717
"T+4",-0.00167744376700486,0.00131911932932448,0.000754635593882733,0.00180792805477681,0.000472702482085997,0.0010649981819115,0.00109654054899483,0.00177688906849376,0.00494907314864611,0.00313648652094548
"T+5",0.00291993042306698,0.00118875825523622,0.000855747834266636,0.00218486528808701,0.000416722848068223,0.00253011162711298,0.00126663925488035,0.00188625685346782,0.00456111202463743,0.00268294754910945
"T+6",-0.000666803405342167,0.00107643563127122,0.000828293525195656,0.00213395646090806,0.000424848048326965,0.00114266084745724,0.00123719338795651,0.00197201543110319,0.00422043495464258,0.00238852470440379
"T+7",0.00213149405786302,0.000979660884731779,0.000825248372034606,0.00209438792973514,0.000433085177348788,0.00247648778525747,0.00122315923174365,0.00203926472204377,0.00392202352334835,0.0021973959519493
"T+8",-5.16796346891681e-05,0.00089628199964978,0.000827348218521651,0.00210646449423941,0.000435463146469882,0.00119105455000721,0.00122775296037526,0.00209199965528166,0.00366068565556822,0.00207332203655952
"T+9",0.00165158731257178,0.000824444683120642,0.00082728558243246,0.0021096422261773,0.000435607257800288,0.00243034289880123,0.00122866602737224,0.00213335285370224,0.0034318190439409,0.00199277771116668
"T+10",0.000322733682570345,0.000762551314885855,0.000827160808446123,0.00210767743100762,0.000435443026855945,0.00123546612870591,0.00122809376596128,0.00216578082726689,0.00323138938014677,0.00194049123070797
"T+11",0.00135947778957651,0.000709225422211508,0.000827179884936484,0.00210756645215164,0.000435367433934144,0.00238753482344619,0.00122806528915489,0.00219120989949573,0.00305586335695792,0.00190654872730477
"T+12",0.000550631488421852,0.000663281068064806,0.000827185437417468,0.00210782725807012,0.000435353865866471,0.00127673868592231,0.00122812693232181,0.002211150637178,0.0029021466665582,0.00188451447433596
"T+13",0.00118167663685405,0.000623696476563482,0.000827183561686013,0.00210780327472628,0.0004353556760361,0.00234774113441543,0.00122812286606992,0.00222678758278633,0.00276752947154878,0.0018702106294449
"T+14",0.000689348268916495,0.000589591309270817,0.000827183439094831,0.00210777426748146,0.000435357612103334,0.00131510674181511,0.00122811703296604,0.00223904962002157,0.00264963863520438,0.00186092508756804
"T+15",0.00107345267488215,0.000560207086977612,0.000827183572198944,0.00210778145948574,0.000435358180193239,0.00231074759940668,0.00122811810796037,0.00224866515242313,0.00254639588606706,0.00185489724759887
"T+16",0.000773782364799711,0.000534890321562941,0.000827183563788666,0.00210778402984822,0.000435358217544815,0.00135077500355107,0.00122811858184779,0.00225620537282792,0.00245598118056534,0.00185098419059307
"T+17",0.00100757894028844,0.000513077982796033,0.000827183556417864,0.00210778276147662,0.000435358179420103,0.00227635713282644,0.00122811841849363,0.00226211819401956,0.00237680061786948,0.00184844397466018
"T+18",0.000825175689545245,0.000494284976869352,0.000827183557841689,0.00210778262519438,0.00043535816151309,0.00138393345140272,0.0012281183885944,0.00226675485615507,0.00230745834136652,0.00184679495779788
"T+19",0.000967482931694263,0.000478093358192674,0.000827183558133693,0.00210778280292748,0.000435358158227219,0.00224438656731713,0.00122811840865347,0.00227039079153381,0.00224673193141308,0.00184572447533339
"T+20",0.000856457765829371,0.000464143034524722,0.000827183558008536,0.0021077827941378,0.00043535815862879,0.00141475868977557,0.00122811840943666,0.00227324198614149,0.00219355085557003,0.00184502955660153
"T+21",0.000943077303030569,0.000452123758729836,0.000827183558005303,0.00210778277327497,0.000435358159083691,0.00221466562539374,0.00122811840730025,0.00227547780989633,0.00214697759642311,0.00184457844034329
