"","JNJ","IBM","PFE","HPQ","AXP","KO","MCD","HD","CAT","DIS"
"T+1",-0.00265941188367873,-0.00293424993823681,-0.0069580252932752,-1.05913724156516e-05,-0.0108366886153723,-0.00643018029927158,-0.00310038252559815,0.00344625892717732,-0.00311811664468011,-0.00291798859102753
"T+2",-0.000107621226164261,-8.70252700234748e-05,-0.00413920279778249,0.00152650487298233,-0.00604574818948601,-0.00550979022648298,-0.00244295523132666,-0.00373302590982282,-0.0060541806865276,-0.00201063087115635
"T+3",0.00118146747763436,0.000669032105980865,0.00134533438207608,-0.000528617786388583,-0.00221270667458724,0.0010670111666338,0.000626718482867247,0.00214885026884885,-0.00177050059685368,0.00028847143309571
"T+4",0.000119470374453045,0.000105654456517747,-0.000357340702402058,-8.14657646702663e-05,-0.00264956745689264,0.000650185552326244,0.000615695025044579,0.00116986224071188,-0.0030061234572212,-0.000233157532543721
"T+5",0.000395297829112489,0.000237221529907855,-0.000794550970134972,8.37952044845062e-05,-0.00308888848583279,-0.000144428742450585,8.93049732028638e-05,0.000467206979200347,-0.00304379912367511,-0.000604360233856572
"T+6",0.000452116812443954,0.000245240540994512,-0.000434367717654265,-3.92515487366874e-05,-0.00305135543999934,-5.62496892461702e-05,7.37656062217132e-05,0.000923352970315939,-0.00288828355712724,-0.00044682758627172
"T+7",0.000376450968745798,0.000229111845198443,-0.000451676684522957,-2.36530160705393e-05,-0.00300132437888092,3.80142898627343e-05,0.00016345430127349,0.000874375480873742,-0.00294104431896985,-0.000397873818646277
"T+8",0.000402290813066927,0.000234243219491159,-0.000502353292160696,-1.0051897583364e-05,-0.0030042340994514,2.27610797548267e-05,0.000169086679814889,0.000809325431393136,-0.00293951155533831,-0.000435991876012758
"T+9",0.000403405277955395,0.000233970613030998,-0.000487947530328344,-1.69435527046294e-05,-0.00300989679136192,1.17994322975349e-05,0.000153903939674247,0.000843861348538754,-0.00293402415137488,-0.000439850664988247
"T+10",0.000398312226909626,0.000233556947672462,-0.000483599404000644,-1.67329063981897e-05,-0.00300971694871951,1.41917740601232e-05,0.000152436075887646,0.000842341697398846,-0.00293621402676203,-0.000431823287169708
"T+11",0.000400530226004267,0.000233736461428255,-0.000486797628369074,-1.57512087569852e-05,-0.00300907985716108,1.54379745257776e-05,0.00015498921902134,0.000836558991158332,-0.00293603947942817,-0.00043227129371714
"T+12",0.000400378252957066,0.000233711842824592,-0.000486714695231464,-1.61089829366279e-05,-0.003009083613682,1.50845442916147e-05,0.000155325287521067,0.000839105664436433,-0.00293585243626754,-0.00043377301264487
"T+13",0.000400058499803993,0.000233702920729592,-0.000486248270856872,-1.61401012686216e-05,-0.00300915486848252,1.49466188417158e-05,0.000154898903069369,0.00083917568932875,-0.00293594110430942,-0.000433460567867606
"T+14",0.000400236956911205,0.000233708669489377,-0.000486369261539587,-1.6075187896467e-05,-0.00300915627538411,1.49967053582479e-05,0.000154827196478384,0.000838677921859333,-0.00293593000723374,-0.000433213873395653
"T+15",0.00040020882610426,0.000233707447883748,-0.000486411977024226,-1.60919716668781e-05,-0.00300914835280253,1.50114652092606e-05,0.00015489788837195,0.000838860045313155,-0.00293592391291582,-0.000433311878948284
"T+16",0.000400190639746919,0.000233707321565221,-0.000486383675802615,-1.60963093006506e-05,-0.0030091479925819,1.50045876413211e-05,0.000154912516702461,0.000838880607378545,-0.00293592742227985,-0.000433345414241672
"T+17",0.000400204232135953,0.000233707490403404,-0.000486383765966978,-1.6092309524911e-05,-0.00300914886824329,1.50030780465515e-05,0.000154900887139042,0.000838838914781587,-0.00293592683301672,-0.000433321238702214
"T+18",0.000400200999938147,0.000233707440931514,-0.000486388042973735,-1.60929744024222e-05,-0.00300914893092319,1.50039986112817e-05,0.000154897995354903,0.000838851455036483,-0.00293592664688856,-0.0004333183052231
"T+19",0.000400200131379197,0.000233707442223516,-0.000486387035313466,-1.60933641698312e-05,-0.00300914883472484,1.50041430061688e-05,0.000154899892474074,0.000838854240910867,-0.00293592678277558,-0.000433323469210825
"T+20",0.000400201114176543,0.000233707446703351,-0.000486386619964627,-1.60931334316623e-05,-0.00300914882525809,1.50040224443998e-05,0.000154900450827804,0.000838850833261529,-0.00293592675424216,-0.000433323269175389
"T+21",0.000400200801614762,0.000233707444925579,-0.000486386869519009,-1.60931504952824e-05,-0.00300914883576009,1.50040101302069e-05,0.000154900144220547,0.000838851654084014,-0.00293592674913321,-0.000433322289920911
