"","PFE","HD","PG","XOM","MRK","VZ","WMT","CVX","KO","CAT"
"T+1",0.000269564465208532,0.00183308764423756,0.00170306477857475,0.00139328009613467,0.00100756940228001,0.00216408978124768,0.00188101550142056,0.0005340125143996,0.000301751557671818,0.000874513774391752
"T+2",0.00103829661500369,0.00101017500802498,0.00100019573067753,0.000288392130062241,0.00125780380679111,-0.000966354428328064,0.00147142120475925,0.000328442314335284,0.000433107006558375,0.00109095025832759
"T+3",-0.000163146521967682,0.000979286735886125,0.00115089548841991,0.000182298411555957,0.00126024146392015,0.00133401613190928,0.00137762267193068,0.00049232801030738,0.000534188457222017,0.00074844664481975
"T+4",0.00023235493989757,0.000946228624504444,0.00121466581005669,2.69931345256917e-05,0.00124722052254012,0.00014366369766605,0.00133023246608185,0.000413704418031759,0.00061348342017219,0.000541595944201887
"T+5",-6.29838807379746e-05,0.000944971644091633,0.00127354990155604,-1.26676648726429e-05,0.00123449142547303,0.00068094902399666,0.00131240527789507,0.000448433295124677,0.000675699941834786,0.000392794112783045
"T+6",7.02020872291331e-05,0.000943643622870939,0.00132255621665506,-3.87181589719887e-05,0.00122299414443138,0.000456015002041447,0.00130504471816652,0.000433378812439695,0.000724516452230908,0.000287745627003935
"T+7",-1.02300194397614e-05,0.000943592479508137,0.00136375540584377,-4.80860869339273e-05,0.00121266896746151,0.000545680689177491,0.00130209968875084,0.000439875089599569,0.000762819007125163,0.000213445436622772
"T+8",3.04777754669448e-05,0.00094353912947947,0.00139835583072204,-5.29187933499316e-05,0.00120340045028008,0.000511180668027783,0.00130090904447204,0.000437074962522995,0.000792872071136306,0.000160903339131593
"T+9",7.60695630094061e-06,0.000943537048930892,0.00142741739350683,-5.49063225800182e-05,0.0011950807331703,0.000524094332603558,0.00130042934269675,0.000438281584538573,0.000816452395189187,0.000123746973854315
"T+10",1.96761087284237e-05,0.000943534905709857,0.00145182650550376,-5.5845428437157e-05,0.00118761270827025,0.000519369007539551,0.001300235852031,0.000437761666104189,0.000834954058854254,9.74710375656083e-05
"T+11",1.30652444845494e-05,0.000943534821085358,0.00147232799670945,-5.62524057902596e-05,0.0011809091888625,0.000521064607937782,0.00130015783621386,0.000437985688737988,0.000849470888971075,7.88894309514928e-05
"T+12",1.66065308758933e-05,0.0009435347349856,0.00148954743087787,-5.6438435095872e-05,0.00117489191222133,0.000520466748204544,0.00130012637608462,0.000437889162188311,0.000860861127192654,6.5749039158821e-05
"T+13",1.46841750498682e-05,0.000943534731544116,0.00150401022840193,-5.65207012207081e-05,0.00116949062732406,0.000520674142487175,0.00130011369022233,0.000437930753366441,0.00086979816962549,5.64565220802763e-05
"T+14",1.57194614923028e-05,0.000943534728085203,0.00151615769561548,-5.65578330352631e-05,0.00116464227477546,0.000520603316001278,0.00130010857475184,0.000437912832642375,0.000876810378316175,4.9885114240986e-05
"T+15",1.5159261488902e-05,0.000943534727945268,0.00152636049071612,-5.65743817561278e-05,0.00116029025060296,0.000520627131263567,0.00130010651198973,0.000437920554287818,0.000882312318257855,4.52379986504355e-05
"T+16",1.5461533830101e-05,0.000943534727806311,0.00153492993371478,-5.65818152090789e-05,0.00115638374541215,0.000520619249519261,0.00130010568020032,0.000437917227200854,0.000886629266662724,4.19516886480685e-05
"T+17",1.52981586484744e-05,0.000943534727800622,0.00154212750580977,-5.65851380216838e-05,0.00115287715119279,0.000520621814655,0.00130010534478925,0.000437918660769347,0.000890016443499955,3.96277022480701e-05
"T+18",1.53863724663005e-05,0.000943534727795039,0.00154817282801692,-5.65866278214203e-05,0.00114972952885039,0.000520620994970276,0.00130010520953794,0.000437918043076258,0.00089267410021731,3.79842441496292e-05
"T+19",1.53387131247904e-05,0.000943534727794808,0.00155325036251132,-5.65872945370919e-05,0.00114690413024692,0.000520621251518558,0.00130010515499914,0.000437918309226605,0.000894759358698553,3.68220366077378e-05
"T+20",1.53644528406514e-05,0.000943534727794584,0.00155751504116008,-5.65875932503466e-05,0.00114436796917035,0.000520621173169787,0.0013001051330069,0.000437918194548283,0.000896395500381261,3.6000155981934e-05
"T+21",1.53505484362966e-05,0.000943534727794574,0.00156109699299071,-5.65877269893407e-05,0.00114209143622438,0.000520621196378036,0.00130010512413873,0.000437918243960646,0.000897679254711946,3.54189450202734e-05
