"","IBM","JNJ","PG","CVX","AA","CAT","KO","MRK","HD","AXP"
"T+1",-0.000407316027157733,0.000733314612260634,-0.000777785483245837,0.000851570265406224,0.000752751594260055,0.00440026129904637,-0.000678429205377355,0.00101611232467835,0.00205844254604044,0.00329969096754885
"T+2",0.000779126136480344,0.00099539208709822,0.000955901228242321,0.000944773791334625,0.000684902820830912,0.00406869040439097,0.00185977451763474,0.000313594675617663,0.00156506495799972,0.00288127935605972
"T+3",0.000183301000689686,0.000749105981480886,-3.51637858815326e-05,0.000978236327881747,0.000676603856348837,0.00397398449963204,-0.000449068922019231,0.000903265637572772,0.00130181809769896,0.002894807299587
"T+4",0.000499561654827655,0.00060358502710328,0.00069173885353711,0.000998870270068481,0.00066746654644231,0.00389202871829986,0.001793827891163,0.000707860883251366,0.00118559212369725,0.00286467229674827
"T+5",0.000331969989160033,0.000544824951590471,0.000130335290007958,0.00101142743538019,0.00065844653831904,0.0038138399570867,-0.000391462338518909,0.000762111061500391,0.00113767107235038,0.00283949584864862
"T+6",0.000420783821680266,0.00052422481851566,0.000567799631082385,0.00101907119757424,0.000649527522764639,0.00373892764111114,0.00173797443499654,0.00074798238425014,0.00111848719336848,0.00281429794000458
"T+7",0.000373717723671555,0.000517528301370901,0.000226406948070733,0.00102372406564046,0.000640708603952349,0.00366714189565661,-0.000337047987676766,0.000751563113156499,0.00111091156115476,0.00278957943196541
"T+8",0.000398659983335785,0.000515453175225852,0.000492891683165562,0.00102655633364428,0.000631988654789409,0.00359835173266402,0.00168495104399622,0.000750666798248479,0.00110793940976128,0.0027652809119278
"T+9",0.000385442054874833,0.000514831368026333,0.000284870250566151,0.00102828037608832,0.000623366564655394,0.00353243212843191,-0.000285379532770846,0.000750889862902108,0.00110677702165614,0.00274140039591956
"T+10",0.000392446778390541,0.000514649695414899,0.000447255561536144,0.00102932982562662,0.000614841235333159,0.00346926329605524,0.00163460288200415,0.00075083450167326,0.00110632312005708,0.00271793016639209
"T+11",0.000388734687522716,0.000514597669621711,0.000320494496041739,0.00102996864071915,0.000606411580931182,0.00340873044801524,-0.000236317925186635,0.000750848223440159,0.00110614600959737,0.00269486322814779
"T+12",0.000390701877031351,0.000514583015582402,0.000419446615371429,0.00103035749669323,0.00059807652774427,0.00335072358681412,0.00158679495326784,0.000750844824519143,0.00110607692746662,0.00267219264588594
"T+13",0.000389659382464091,0.000514578945973486,0.00034220269052689,0.0010305941989414,0.000589835014116811,0.00329513730506201,-0.000189731639847191,0.000750845666187591,0.00110604998681009,0.00264991160964005
"T+14",0.000390211843179236,0.000514577829760835,0.000402500782125755,0.00103073828301886,0.000581685990307553,0.00324187059393432,0.00154139909448255,0.000750845457796992,0.00110603948142978,0.00262801342582799
"T+15",0.000389919071541509,0.000514577527019336,0.00035543093345106,0.00103082598907801,0.00057362841835589,0.00319082665962306,-0.000145495788462208,0.000750845509389305,0.00110603538508698,0.00260649151594716
"T+16",0.000390074223264532,0.000514577445753719,0.00039217456157947,0.00103087937702307,0.000565661271949659,0.00314191274744768,0.00149829360864937,0.000750845496616762,0.0011060337878424,0.00258533941452603
"T+17",0.000389992001990149,0.000514577424150717,0.000363491779584567,0.00103091187503638,0.000557783536294413,0.00309503997330547,-0.000103491783775068,0.000750845499778769,0.00110603316505195,0.00256455076718913
"T+18",0.000390035574422536,0.000514577418461373,0.000385882110231695,0.00103093165704649,0.000549994207984167,0.00305012316215552,0.00145736293879019,0.00075084549899598,0.00110603292221755,0.00254411932874747
"T+19",0.000390012483599895,0.000514577416976672,0.00036840378799025,0.00103094369864178,0.00054229229487359,0.00300708069324257,-6.36070216529975e-05,0.000750845499189767,0.00110603282753339,0.00252403896132237
"T+20",0.000390024720375788,0.000514577416592736,0.000382047702106141,0.00103095102853477,0.000534676815951633,0.00296583435177952,0.00141849735816306,0.000750845499141793,0.0011060327906149,0.00250430363250164
"T+21",0.000390018235605341,0.000514577416494366,0.00037139700063547,0.00103095549034651,0.000527146801216577,0.00292630918681913,-2.57345792184518e-05,0.000750845499153669,0.00110603277621995,0.00248490741352729
