"","CVX","MCD","WMT","CSCO","PG","HD","NKE","BA","VZ","GS"
"T+1",0.00344446727380602,0.000723128039808986,-0.000425424915336982,0.00173371407483211,0.00184881023799693,-0.00184694554600376,0.00320399778613924,0.00131479908703754,-6.55444232309136e-05,-0.000999908682408449
"T+2",0.00235058948171949,0.000807589162249236,0.0014071207721963,0.00119955287916276,0.00195565534770533,0.00290202020070245,-0.0026220799036044,-0.000590477162784053,0.000358535171090287,-0.000498417617661377
"T+3",0.00239843872241651,0.00084375908595596,-9.07098992282934e-05,0.00127194899553008,0.00147865896286513,-0.00155735390685387,0.0029443136899914,0.000516039142393902,0.00035285611094172,-0.000250993114942926
"T+4",0.00236377386614833,0.000834912577634757,0.00113392704435874,0.00127272415102318,0.00117008222041611,0.00262413029933378,-0.00249198628175235,-0.000228708099502272,0.000433437190770519,-0.000137901422761786
"T+5",0.00233602572958996,0.000835517063346076,0.000132605005651638,0.00127903572965486,0.0010366814299038,-0.0012967678163289,0.00282183873198137,0.000276192251461634,0.000476743095145919,-8.6340059099898e-05
"T+6",0.00230863423183454,0.000835650673047585,0.000951340582244297,0.00128292357906561,0.000991423991840283,0.00237978365531209,-0.00237244432282212,-6.62164262170988e-05,0.000516525510008225,-6.28339625230055e-05
"T+7",0.00228205418498388,0.000835609969296445,0.000281896815677388,0.00128578920679077,0.000979551793397489,-0.00106764862286359,0.00270499262561503,0.000165998571812887,0.000547007296475522,-5.21178973591137e-05
"T+8",0.00225622851285506,0.000835613650884191,0.00082927140181551,0.00128783971463753,0.000977681903182353,0.00216494295222522,-0.0022582269353765,8.51470909104682e-06,0.000571665821077785,-4.72326098134465e-05
"T+9",0.00223113822233176,0.000835614103125237,0.000381707376005981,0.00128931371238874,0.000977962663791874,-0.000866196588205413,0.00259334457774384,0.000115317318619831,0.000591277876478716,-4.50054831624847e-05
"T+10",0.00220676219695277,0.000835613920476579,0.000747660716371125,0.00129037252729558,0.000978363410960321,0.00197604521690404,-0.00214909042023579,4.28857867763848e-05,0.000606958155843965,-4.39901707428046e-05
"T+11",0.00218308011607145,0.000835613941038446,0.000448436829483024,0.00129113318990427,0.000978577730502189,-0.000689070780218334,0.00248666309783675,9.20074967107613e-05,0.000619474561987066,-4.35273055936191e-05
"T+12",0.00216007222331066,0.000835613942338217,0.000693098988890442,0.00129167964749185,0.000978661961025166,0.00180995772092781,-0.00204480874932186,5.86940719429544e-05,0.000629470501688318,-4.33162925673055e-05
"T+13",0.00213771932576281,0.000835613941539425,0.000493049544744531,0.00129207222195498,0.00097868817468509,-0.000533333699139405,0.00238472725200741,8.12866134331238e-05,0.000637452287622779,-4.3220095008789e-05
"T+14",0.00211600277683347,0.000835613941647954,0.000656621141595265,0.00129235424684843,0.000978694206848393,0.00166392602672696,-0.00194516595904167,6.59647744284987e-05,0.000643826072916843,-4.31762400372443e-05
"T+15",0.00209490446077031,0.00083561394165028,0.000522875869717388,0.00129255685311384,0.000978694766616529,-0.000396402561330544,0.00228732593479615,7.63557590189575e-05,0.000648915727530186,-4.31562472374389e-05
"T+16",0.00207440677754494,0.000835613941646883,0.000632233472712559,0.00129270240515305,0.000978694382069828,0.00153552830728503,-0.00184995569277141,6.93087876517111e-05,0.000652979984857108,-4.31471328307941e-05
"T+17",0.00205449262817161,0.000835613941647432,0.00054281658967112,0.00129280696952134,0.000978694075867337,-0.000276006465733203,0.00219425743158903,7.40879118067396e-05,0.000656225423945933,-4.31429777144874e-05
"T+18",0.00203514540044334,0.000835613941647426,0.000615928826533147,0.00129288208840784,0.000978693932727469,0.00142263518193914,-0.00175898077348458,7.08467992068878e-05,0.000658817011704377,-4.31410834615541e-05
"T+19",0.00201634895507415,0.000835613941647412,0.00055614817888418,0.00129293605370406,0.00097869388114629,-0.000170148732663626,0.00210532900087358,7.30448611412833e-05,0.000660886477809501,-4.31402199010878e-05
"T+20",0.00199808761223583,0.000835613941647415,0.000605028174719542,0.00129297482229252,0.000978693866535895,0.00132337440218576,-0.0016720527954055,7.15541766560669e-05,0.000662539013066213,-4.31398262172952e-05
"T+21",0.00198034613847797,0.000835613941647415,0.000565061160529686,0.00129300267358875,0.000978693863735818,-7.70737903656024e-05,0.00202035647507813,7.25651309880139e-05,0.000663858615611093,-4.31396467429739e-05
