"","CVX","MCD","WMT","CSCO","PG","HD","BA","NKE","GS","VZ"
"T+1",0.00193399844386068,0.00125855203763047,-0.000531265827506986,0.00212480007464178,-0.00133308128626249,0.00125424231370816,0.00332771483377751,-0.00221552074926391,-0.00443303724766016,-3.29120402750988e-05
"T+2",0.00122205348847154,0.000470889488296347,-0.000714876377085821,-0.00149897350707181,-0.00133147076625546,0.00080447905261541,-0.000250766314413442,-0.00209865029587449,-0.00533874527978663,0.00205447643065569
"T+3",0.00102774118272493,0.000574072533048837,-0.000510902243301215,0.00200193125552736,-1.47777672179687e-05,0.000947015227489696,-0.000707325534545834,-0.00157048574283685,-0.00331606858618345,0.00125325539984799
"T+4",0.00111872002630674,0.000739729630639972,-0.000339146440558432,-0.00130621152492892,0.000475085700088096,0.000980598097841626,-0.000594288031614746,-0.00112116303247374,-0.00207590829491843,0.00124487113276486
"T+5",0.00104518435031964,0.000847714047521242,-0.00020983617033966,0.00181943155561677,0.000489982441564039,0.000965418615371452,-0.000420884852803819,-0.000791282503675928,-0.00157326379128868,0.00116657127936082
"T+6",0.00110074673105766,0.000906739586140207,-0.000113258904846626,-0.00113377804834173,0.000433236679497208,0.000963172382117987,-0.000276896150296221,-0.000556612407664055,-0.00141156381480022,0.00114557080869745
"T+7",0.00105848361985268,0.000936989998468781,-4.11728396874957e-05,0.00165651077041847,0.000410221870585906,0.000964712305802795,-0.000169263888027683,-0.000390924023723038,-0.00136991119006105,0.00113271156109747
"T+8",0.00109060892967592,0.000952067766479156,1.26302713664871e-05,-0.000979845173143341,0.00040887154648704,0.000964832327306659,-9.09636825006711e-05,-0.000274154852966635,-0.00136240325277797,0.00112739790191635
"T+9",0.00106618794978963,0.000959487118463342,5.27873302129356e-05,0.00151106996597169,0.00041129548804476,0.00096468231842803,-3.44344763074763e-05,-0.000191898742417942,-0.0013623002162751,0.00112480485884528
"T+10",0.00108475213159765,0.000963115756728027,8.27593689938847e-05,-0.000842427954301441,0.000412369375221928,0.000964679806779429,6.28786221715216e-06,-0.000133961226965313,-0.00136299225474914,0.00112363084131234
"T+11",0.00107064012249316,0.00096488522685072,0.000105129610130085,0.00138123369267776,0.000412460847426685,0.000964693890812823,3.56047652809676e-05,-9.31537561414951e-05,-0.00136339588419594,0.00112308150366439
"T+12",0.0010813677047104,0.000965746860113138,0.000121826094855025,-0.000719754405783108,0.000412358339224903,0.000964693312901801,5.67067866803336e-05,-6.44117840204451e-05,-0.001363556105842,0.00112282819614671
"T+13",0.00107321287571224,0.000966166135746753,0.000134287856015232,0.00126532772029967,0.000412308554588971,0.000964692037454211,7.18950121628451e-05,-4.41679518471278e-05,-0.00136360681719735,0.00112271063397482
"T+14",0.00107941196462093,0.000966370088457992,0.00014358894506307,-0.000610242660217992,0.000412303059714807,0.000964692164627118,8.28266026889813e-05,-2.99096200974375e-05,-0.00136361962156889,0.00112265622866526
"T+15",0.00107469957846184,0.000966469282924423,0.000150531002157858,0.00116185744891798,0.000412307345079608,0.000964692275820465,9.06944830500839e-05,-1.98670549302368e-05,-0.00136362182925801,0.0011226310190272
"T+16",0.00107828181185763,0.000966517523258318,0.000155712347746469,-0.000512480570822442,0.000412309638796142,0.000964692257597887,9.63572877132848e-05,-1.27937791494448e-05,-0.00136362180391721,0.00112261934427778
"T+17",0.00107555869119885,0.000966540982610884,0.000159579550470683,0.00106948863616279,0.000412309947588642,0.000964692248315111,0.000100433016276245,-7.81186176747651e-06,-0.00136362156880236,0.00112261393627689
"T+18",0.00107762873669923,0.000966552390712144,0.000162465915924291,-0.000425207501859253,0.000412309770854652,0.000964692250543146,0.000103366467545794,-4.30294997997219e-06,-0.00136362143770542,0.00112261143144836
"T+19",0.00107605514194873,0.000966557938331102,0.000164620213520229,0.000987030192245797,0.000412309665809342,0.00096469225127739,0.000105477779903649,-1.831519608104e-06,-0.00136362138670032,0.00112261027122799
"T+20",0.00107725134775114,0.000966560636057383,0.000166228117372482,-0.000347298072822437,0.000412309649185086,0.000964692251028057,0.000106997368750552,-9.08180879952011e-08,-0.00136362137081727,0.00112260973383307
"T+21",0.00107634202321173,0.000966561947919426,0.000167428209134625,0.000913418820935509,0.000412309656354997,0.000964692250974191,0.000108091072507364,1.13520948556364e-06,-0.00136362136688914,0.00112260948491822
