"","XOM","WMT","HD","CSCO","VZ","PG","UNH","PFE","IBM","MRK"
"T+1",0.000233879710367369,0.00317992313617076,-9.25030681898152e-05,0.00281074192169354,0.000654535819492868,-0.000413075971383042,0.000984332326418398,0.000481561939231226,-7.46378916891225e-05,0.000522898401336593
"T+2",-0.000232259702961451,0.00347387832568445,0.000424582298775346,0.00124447940711479,0.000873578073609822,0.000445536607555456,0.00171579487963689,0.00440970985824719,-0.000105806951338963,0.000470630857271477
"T+3",0.000884007841737569,0.00261347219033747,0.00079563115563882,0.00136666567189887,0.000600069255527715,-2.74166604586914e-05,0.00145162415112432,0.00330478610420699,-0.000113611215611524,0.000509552503276354
"T+4",9.16933479250571e-05,0.00217983393256168,0.00101744125894104,0.00135533156309493,0.000630871930357995,0.000117481217757596,0.00156478174006136,0.00183436221313205,-0.000119390903219434,0.000470390421682111
"T+5",0.000550132296435913,0.00203485951913044,0.00115107269657798,0.0013547107768931,0.000600703599145624,7.84713075089866e-05,0.00151729262207896,0.00103124220883463,-0.000124203208586122,0.000509802272230542
"T+6",0.000304254584514126,0.00199704147524993,0.00123155118920752,0.0013533719833657,0.00060481382987082,8.85232265558846e-05,0.00153726829326175,0.000750538039593468,-0.000128235059158612,0.000470139055266506
"T+7",0.000431695757039725,0.001989500168775,0.00128001953730297,0.00135220904941187,0.000601467206485006,8.59759913276532e-05,0.00152886797083891,0.000705112945825141,-0.000131614074174764,0.000510055241848603
"T+8",0.000366735146467113,0.0019886462568809,0.00130920968361261,0.00135114100140913,0.000601997542312779,8.66172113838119e-05,0.00153240064238935,0.000725225014271211,-0.000134446003958483,0.000469884472223397
"T+9",0.000399568316928225,0.00198878732587492,0.00132678950023551,0.00135016491989025,0.000601624310402335,8.64562279209531e-05,0.00153091501763229,0.000747239242546844,-0.000136819427090097,0.000510311448607086
"T+10",0.000383045871179383,0.00198891720199332,0.00133737697549911,0.00134927250582049,0.000601691175156365,8.64966001126466e-05,0.00153153978042523,0.000758612639810011,-0.000138808578659641,0.00046962663139358
"T+11",0.000391341386129982,0.00198896913035581,0.0013437533009677,0.00134845661752205,0.000601649344458063,8.6486479878408e-05,0.00153127704346619,0.000762370886293874,-0.000140475674560627,0.000510570933930245
"T+12",0.000387181402581801,0.00198898453292238,0.00134759345411743,0.00134771069041843,0.000601657635264551,8.64890162923316e-05,0.00153138753453697,0.000762865978927027,-0.000141872857553562,0.000469365491088599
"T+13",0.00038926620986268,0.00198898812354605,0.00134990619305869,0.00134702872563105,0.000601652925738526,8.64883806430235e-05,0.00153134106876086,0.000762519457290774,-0.000143043828170552,0.000510833739772424
"T+14",0.000388221740058783,0.00198898872005751,0.00135129904412528,0.00134640523845634,0.000601653941008185,8.64885399379404e-05,0.00153136060941998,0.000762192552803183,-0.00014402521156327,0.000469101009086527
"T+15",0.000388744918418069,0.00198898874388524,0.00135213789111275,0.00134583521451462,0.000601653408599661,8.64885000188255e-05,0.00153135239181574,0.000762032381609576,-0.000144847703049842,0.000511099908624837
"T+16",0.000388482880872487,0.0019889887117838,0.001352643088176,0.0013453140694015,0.000601653531744174,8.64885100224574e-05,0.0015313558476367,0.000761982529481259,-0.000145537028190766,0.000468833142625143
"T+17",0.000388614117815063,0.00198898869466673,0.00135294734398967,0.00134483761181955,0.000601653471332388,8.6488507515577e-05,0.00153135439433009,0.000761977657689593,-0.000146114747422717,0.00051136948352244
"T+18",0.000388548391767555,0.00198898868880833,0.00135313058258484,0.00134440200986976,0.000601653486157702,8.64885081437932e-05,0.00153135500550183,0.000761983412362941,-0.000146598930417289,0.000468561848395017
"T+19",0.000388581308220966,0.00198898868725048,0.00135324093834881,0.00134400376023359,0.000601653479280098,8.64885079863643e-05,0.00153135474848044,0.000761988230885256,-0.00014700472125697,0.000511642508050888
"T+20",0.000388564823354016,0.00198898868693154,0.0013533074003004,0.00134363965999763,0.000601653481054358,8.64885080258155e-05,0.00153135485656789,0.000761990473908265,-0.000147344812105707,0.000468287082532507
"T+21",0.000388573079097989,0.00198898868689239,0.00135334742712681,0.00134330678089419,0.000601653480269067,8.64885080159291e-05,0.00153135481111293,0.000761991128201669,-0.000147629840189353,0.000511919026353583
