"","JNJ","IBM","HPQ","PFE","MCD","AXP","KO","HD","CAT","AA"
"T+1",0.000624270582118365,0.00162481101274032,0.00269153703749439,0.00190748493389226,0.000102736992760402,0.00363171698697112,0.00226033507436396,0.00181491046219613,-0.000948851023932652,-0.0033588765164841
"T+2",-4.08293757146687e-05,0.00151595652542264,0.0021491000896187,0.00138412469488756,-0.000791317240941112,0.00286669521366352,0.00145109434345902,0.00421005118301632,0.000685839644984163,0.000162739783013237
"T+3",0.000497485925529029,0.00151619253733148,0.00234796321036102,0.000622261322536751,-0.000630560289768078,0.00226779810793204,0.000590847543881428,0.00037527325065818,-0.00136704089201014,-0.000847621549927983
"T+4",0.000343625060294952,0.00151694887784534,0.00234995681522468,0.000857405655539104,-0.000500945524435886,0.00242619098118964,0.000523911843168642,0.00181623571286999,-0.000360362423911023,-0.00146074507684114
"T+5",0.000342393826571057,0.00151678785287088,0.00232525038587495,0.000881369897894937,-0.000494863091191609,0.00242217117435325,0.000589726000512536,0.0017569753772907,-0.000803149362629721,-0.00161547282130093
"T+6",0.00036291837753587,0.00151681616251228,0.00233291776321234,0.000851110481623269,-0.000508205630404246,0.00241550494791543,0.000606324851900365,0.00154856735914848,-0.000612605798137535,-0.00162978864175557
"T+7",0.000353919716388449,0.00151681139315186,0.00233345359618157,0.00085577119985512,-0.000511358247336688,0.00241705550604285,0.000603144590227514,0.00165800315372215,-0.000694212390319079,-0.00162434599319039
"T+8",0.000355270496237647,0.00151681218790272,0.00233235409578056,0.000857831022061706,-0.000510453153497901,0.00241705413021882,0.000601151990633432,0.00163989329713366,-0.000659298466842192,-0.0016213646085423
"T+9",0.000355836009044711,0.00151681205585255,0.00233264120032582,0.000856855933215554,-0.000509933400578904,0.00241698112176055,0.000601113269263228,0.00163057592185793,-0.000674232272774493,-0.00162064880066017
"T+10",0.000355408298353791,0.00151681207777598,0.00233268236837591,0.000856871505278988,-0.000509938087969013,0.00241699608759389,0.000601284514126089,0.00163800874206763,-0.00066784493640451,-0.00162059257987793
"T+11",0.000355525734008023,0.00151681207413693,0.00233263444219587,0.000856969762018992,-0.000509996982060947,0.00241699648395812,0.000601315638167184,0.00163598389139679,-0.000670576831751583,-0.0016206214232039
"T+12",0.00035552885961542,0.00151681207474094,0.00233264480108532,0.00085694486442036,-0.000510007377146964,0.00241699569568073,0.000601305413443373,0.00163573129841508,-0.00066940838960115,-0.0016206358664472
"T+13",0.000355512218694151,0.00151681207464069,0.002332647285621,0.000856940488124008,-0.0005100027293708,0.00241699583783103,0.000601300988478388,0.00163618482772326,-0.000669908136519427,-0.00162063916314736
"T+14",0.000355519238455029,0.00151681207465733,0.00233264523657845,0.000856944127555453,-0.000510000707213826,0.0024169958460776,0.00060130118419204,0.00163600936889252,-0.000669694392988688,-0.00162063937289076
"T+15",0.000355518266507853,0.00151681207465457,0.00233264559178645,0.000856943723188194,-0.000510000851202478,0.00241699583767557,0.000601301610001027,0.00163601878847231,-0.00066978581185287,-0.00162063922204173
"T+16",0.000355517788864343,0.00151681207465503,0.00233264572607664,0.000856943438453095,-0.000510001103649695,0.00241699583900062,0.000601301661381229,0.0016360431110446,-0.000669746711681524,-0.0016206391523247
"T+17",0.000355518128183468,0.00151681207465495,0.00233264564009905,0.0008569435481614,-0.000510001134376065,0.00241699583912731,0.000601301631753279,0.00163602992783558,-0.000669763434962991,-0.00162063913721427
"T+18",0.000355518038782357,0.00151681207465496,0.00233264565136789,0.000856943551948614,-0.000510001111889283,0.00241699583903883,0.000601301622388142,0.00163603223815188,-0.000669756282356409,-0.00162063913649573
"T+19",0.000355518034622645,0.00151681207465496,0.00233264565816648,0.000856943539581816,-0.00051000110429017,0.0024169958390509,0.000601301623513936,0.00163603329899982,-0.000669759341551521,-0.00162063913727605
"T+20",0.000355518048085393,0.00151681207465496,0.00233264565462636,0.000856943542114621,-0.000510001105391788,0.00241699583905262,0.00060130162453013,0.00163603241191099,-0.000669758033122961,-0.00162063913761139
"T+21",0.000355518042618057,0.00151681207465496,0.00233264565493674,0.000856943542807729,-0.000510001106444381,0.00241699583905169,0.000601301624594069,0.00163603266197743,-0.00066975859274248,-0.00162063913768029
