"","HD","PG","XOM","PFE","MRK","CVX","VZ","WMT","MCD","KO"
"T+1",-0.00753849989016013,0.00726390303920022,0.00180501422350141,0.0106005031291278,0.00617532710913846,0.025926569675974,-0.000382037343419232,0.00446504500276649,0.00103208197346298,-0.00429986427861909
"T+2",0.000784338901538718,-0.00436619205121191,-0.00113288037895827,-0.00132395457059195,0.00594520317640687,-0.0157134557982334,0.0052055396005569,-0.00105769854985212,0.00184913906856199,-0.000264199960055635
"T+3",0.00166383882863934,0.00495088343775363,-0.000232016265966831,0.00216550971904039,0.00567101941660276,0.0139897355659445,-0.00419429570994012,0.00188118520702546,0.000708300561840448,0.00101625102964191
"T+4",0.00130542672644488,-0.00339729415190696,-0.000811482574449145,-0.000347516578824965,0.00540965762612393,-0.0116304136719693,0.00436513776467208,0.000185797449390492,0.00052961841556454,0.00141871836483529
"T+5",0.000961480821370627,0.00411548355799692,-0.000487086591314758,0.000573078195499081,0.00516098067197122,0.00949098089192756,-0.00258816757918126,0.00117165225863009,0.000589650863499016,0.00154454494742568
"T+6",0.000769361635105788,-0.00264657658560157,-0.0006723625671483,2.04775312497813e-05,0.0049243770058586,-0.00809972570624485,0.00288031038062529,0.000597956660671689,0.000608466106889396,0.00158376180854625
"T+7",0.000678539874563703,0.00343981750773427,-0.000566864495673851,0.000249646204633565,0.00469926050487649,0.00651651564364639,-0.00137718436317027,0.000931828980550361,0.000606313726745839,0.00159596278397265
"T+8",0.000638992118124106,-0.00203842436504487,-0.000626963643920694,0.000124813461530488,0.00448507346470535,-0.00563463614211305,0.00192677744810413,0.000737524799376034,0.0006047783210427,0.00159975473265604
"T+9",0.000622593253436946,0.00289243186818003,-0.000592729282997607,0.0001802814619115,0.00428128525737055,0.00446595970438165,-0.000634525097790327,0.000850604367783326,0.000604763435752904,0.00160093251562848
"T+10",0.00061600985719662,-0.00154573347106037,-0.000612230451511595,0.00015162252972251,0.00408739101701152,-0.00393034941227373,0.00135037721191493,0.000784795235720614,0.000604868356215901,0.00160129820560358
"T+11",0.000613426837242059,0.0024489706223016,-0.000601121876112898,0.000164854895635284,0.0039029103891279,0.00304919606421,-0.000187669295556195,0.000823094302005355,0.000604880609104592,0.00160141172500517
"T+12",0.000612430501113377,-0.00114658284940845,-0.00060744972648392,0.000158213582590325,0.003727386340547,-0.00275265369755243,0.00100407816056858,0.000800805321235727,0.000604874641023479,0.0016014469599822
"T+13",0.000612051195290616,0.00208970310964643,-0.000603845151868181,0.000161346004616199,0.0035603840271677,0.00207021763740067,8.06694997358005e-05,0.000813776881954162,0.000604873152799177,0.00160145789568672
"T+14",0.000611908282270258,-0.000823213327609205,-0.000605898449191595,0.000159798778028896,0.00340148971667563,-0.00193886404767175,0.000796156934829176,0.000806227797982496,0.000604873407657703,0.00160146128960442
"T+15",0.000611854884883419,0.00179864465335611,-0.000604728816060257,0.00016053720307273,0.00325030976356081,0.00139374314274752,0.000241774392494431,0.000810621152802961,0.00060487353815179,0.00160146234288764
"T+16",0.000611835070341444,-0.000561237416871731,-0.000605395081800971,0.000160175670074059,0.00310646963389839,-0.00137653484115334,0.000671327541232511,0.000808064343705202,0.000604873534427202,0.00160146266976344
"T+17",0.000611827759569408,0.00156284536175858,-0.000605015552506402,0.000160349345762935,0.00296961297747657,0.000926298845191565,0.000338496202602267,0.000809552334780253,0.000604873524976413,0.00160146277120518
"T+18",0.000611825075156409,-0.000348999178014652,-0.000605231746251081,0.000160264727625018,0.00283940074497291,-0.000987965000828904,0.000596384418848885,0.000808686365771706,0.000604873524224116,0.00160146280268618
"T+19",0.000611824093510101,0.00137181395649873,-0.000605108594399808,0.000160305524372063,0.00271551034799195,0.000603294538991913,0.000396564499717542,0.000809190335409923,0.000604873524799273,0.00160146281245583
"T+20",0.000611823735797873,-0.000177055620661035,-0.000605178746191177,0.000160285700896359,0.00259763485988317,-0.000719462994333759,0.000551391271120428,0.000808897039236806,0.000604873524912968,0.00160146281548769
"T+21",0.000611823605842685,0.00121705099029847,-0.000605138785169224,0.00016029527748961,0.00248548225535954,0.000380098358280525,0.000431426608875216,0.000809067729370976,0.000604873524885228,0.00160146281642858
