"","HPQ","JNJ","PG","CVX","AA","CAT","MRK","KO","AXP","MCD"
"T+1",0.00296868479800916,0.00127709125995589,0.00183861127212892,0.00495972443770414,-0.00110819463400014,0.005807378802018,0.000367287332716492,-0.000528434741337065,0.0101830843541148,0.00312614712206796
"T+2",0.00248998588013911,-0.000863122151747711,-0.000208688848306183,-0.00277419622346184,0.0038361828745355,0.00193133754950277,0.000405118301544276,0.00112483587907672,-0.00369167445736729,-0.00111001682737404
"T+3",0.00185840361562507,0.00163184497435059,0.00120612300989092,0.00397059041821751,-0.00227865828884352,0.00254031971100097,0.000567621087760849,-0.000485990428939973,0.00594117352211042,0.001810558384161
"T+4",0.00176100147168183,-0.000418190079143835,0.000167824120902151,-0.00167990063671154,0.00368138383923409,0.00247708730194441,0.000707472746938479,0.00106073072197239,-0.000685893120705242,-0.000217351701461144
"T+5",0.00175930725488752,0.00131188905515659,0.000927560739321496,0.00307994536753351,-0.00203572233522425,0.0025021387186274,0.000818022002620462,-0.000424690681905028,0.00387788355725688,0.00119096126545996
"T+6",0.00176134261960435,-0.000144729728951363,0.000371573165232233,-0.000926578339767609,0.00344163963359906,0.00250814975339546,0.000904548142785649,0.00100185752700528,0.000735355281778378,0.000212933347894574
"T+7",0.00176173385438738,0.00108190513374238,0.000778451132944606,0.00244620583812606,-0.00180553464485806,0.00251319254532719,0.00097218940630827,-0.000368150899958615,0.0028992659746883,0.000892142237838584
"T+8",0.00176175264260599,4.89608802408504e-05,0.000480693157854298,-0.000393040039819433,0.0032210887848423,0.00251607993891433,0.00102505961430719,0.000947558641226156,0.00140922269513253,0.000420453537790519
"T+9",0.00176174653219929,0.000918800423754293,0.00069859586429279,0.00199707244958348,-0.00159425132352294,0.00251787650446266,0.00106638360804538,-0.000316004095104382,0.00243524900705831,0.000748026149186792
"T+10",0.00176174503027074,0.000186311013110495,0.000539132160611696,-1.49533990185957e-05,0.00301868610142409,0.00251897194285533,0.001098682867257,0.000897478621761343,0.00172873934402945,0.000520537520084286
"T+11",0.00176174491744645,0.000803138274126079,0.000655829530765587,0.00167879456980095,-0.00140035619573204,0.00251964309862815,0.00112392829385863,-0.000267908946099488,0.00221523359769947,0.000678521046699502
"T+12",0.00176174493389061,0.000283709782732126,0.000570429054754493,0.000252976820852824,0.00283294094662705,0.00252005383080924,0.00114366037309515,0.000851289674901444,0.00188023937017331,0.000568806575342192
"T+13",0.00176174493942025,0.000721119045825183,0.000632926104116472,0.00145324763574019,-0.00122241844802571,0.002520305258752,0.00115908316453617,-0.000223550651008033,0.0021109124595917,0.000644999742333152
"T+14",0.00176174493998025,0.000352777942847508,0.000587190045473822,0.000442844987868477,0.00266248243814445,0.00252045915917876,0.00117113777332095,0.000808689475563949,0.00195207368026516,0.000592086041667305
"T+15",0.00176174493994463,0.000662956943592723,0.00062066021857029,0.00129341429121089,-0.0010591248046721,0.00252055336395483,0.00118055977669176,-0.0001826388670936,0.00206144819760294,0.00062883290268815
"T+16",0.00176174493992511,0.000401756084591317,0.000596166361417875,0.000577394651604007,0.00250605249987389,0.00252061102790516,0.00118792410921417,0.000769399188450478,0.00198613418994314,0.000603313391145899
"T+17",0.0017617449399226,0.000621712588994123,0.0006140912474492,0.00118014873911723,-0.000909270070067797,0.00252064632477952,0.00119368014552261,-0.000144905810410281,0.00203799453079624,0.000621035870053299
"T+18",0.00176174493992263,0.000436487838914564,0.000600973609943737,0.00067274297827336,0.00236249659406969,0.00252066793046325,0.00119817912134741,0.00073316164295852,0.00200228410936244,0.000608728179206504
"T+19",0.0017617449399227,0.00059246507693798,0.000610573247755884,0.00109988335188701,-0.000771748235034134,0.00252068115558875,0.00120169556606517,-0.000110104503049929,0.00202687388602033,0.000617275474129058
"T+20",0.00176174493992271,0.000461117086073025,0.000603548122531465,0.000740311362662108,0.00223075520032431,0.00252068925086333,0.0012044440545956,0.000699739649897249,0.00200994165470501,0.000611339653071923
"T+21",0.00176174493992271,0.000571724857584342,0.000608689189870101,0.0010430034597386,-0.000645544313876992,0.0025206942060882,0.00120659230085231,-7.80071565732206e-05,0.00202160099026158,0.000615461889632329
