"","INTC","GS","CVX","WMT","CSCO","VZ","HD","MCD","BA","NKE"
"T+1",0.00179760537436266,-0.000108196366324895,0.00183346198551045,-3.37790771792281e-05,0.00083757641271043,-0.00021966280595808,0.000627788257485357,-0.00147791435807913,-0.000540053382913407,-0.000576030488372408
"T+2",0.000516312830064011,0.00110543592530399,0.000782761732493421,-0.000170211788811166,0.000724067718482066,-0.00078237272487265,0.000129214614531388,-0.00124377174120855,0.00316563150151897,-0.000675309905407168
"T+3",0.00112645799714176,0.00140312481843148,0.00116036655343496,1.98836823726462e-05,0.000854231539597786,0.000131406301189563,0.000843685667063231,-0.00118915544493755,0.00335970715085011,-0.000504406576743901
"T+4",0.000601243122847892,0.00150812340100888,0.000895379144233619,0.000125013695923661,0.000891671815302867,-5.61305387281268e-05,0.000181724108305567,-0.00115204645065649,0.00265000883531194,-0.000644672542106353
"T+5",0.00106925236749961,0.00154631247431686,0.00112279154134479,0.000168874217060549,0.000908587416467339,7.67311978733433e-05,0.000804514329486184,-0.00111760551087046,0.00200053305350581,-0.000526657679340551
"T+6",0.00065162183323916,0.00156023123469682,0.000920818505790505,0.000185784331058735,0.000915423268672354,3.69656293804364e-05,0.000218961511190512,-0.00108444132523709,0.00161562994171903,-0.000625837128211032
"T+7",0.00102431824779583,0.00156530490740891,0.00110111205377797,0.00019212491538144,0.000918253141094329,5.79386236355529e-05,0.000769518717785082,-0.00105239241520886,0.00144155310001764,-0.000542482533040615
"T+8",0.000691720575697649,0.00156715438199974,0.000940052339531326,0.000194477402580601,0.000919418341515396,5.04600844916477e-05,0.000251866218938815,-0.00102141080521612,0.0013843468220517,-0.000612537084158456
"T+9",0.000988533793337632,0.0015678285599714,0.00108394541001621,0.00019534664301978,0.000919898687129491,5.39298860072066e-05,0.000738580623535928,-0.000991459994863306,0.00137678097739236,-0.000553660417972615
"T+10",0.000723654950531569,0.00156807431406743,0.000955387291276691,0.000195667307040255,0.000920096653563682,5.25862684599754e-05,0.00028095526353914,-0.000962505600635883,0.00138384986694671,-0.000603142739224921
"T+11",0.000960035263831288,0.00156816389735022,0.00107024498733964,0.000195785524913061,0.000920178246948532,5.31744024718217e-05,0.000711230119087089,-0.000934514465356209,0.0013916486066425,-0.000561555803759585
"T+12",0.000749087300135533,0.00156819655261288,0.000967627628754578,0.000195829096794065,0.000920211875846622,5.29376737142023e-05,0.000306671133725358,-0.000907454542457398,0.00139661342232089,-0.000596507139056917
"T+13",0.000937339201345995,0.00156820845624206,0.00105930910183644,0.000195845154593851,0.000920225736113463,5.30385527259704e-05,0.000687051187373882,-0.000881294852189758,0.00139899544232746,-0.000567132629360588
"T+14",0.000769341474852335,0.0015682127954014,0.000977398081337918,0.000195851072234236,0.000920231448666751,5.29972073036112e-05,0.000329404983856041,-0.000856005445504353,0.00139984955067184,-0.000591820150239528
"T+15",0.000919264189712387,0.00156821437712941,0.00105057988197919,0.000195853252976247,0.00092023380311419,5.30146085655293e-05,0.00066567605186771,-0.000831557369706395,0.00140001373789004,-0.000571071763510735
"T+16",0.000785471781326095,0.00156821495370734,0.00098519703223261,0.000195854056608418,0.000920234773507338,5.30074162714032e-05,0.000349502609875426,-0.000807922635303198,0.00139995176993441,-0.000588509543268312
"T+17",0.000904869355993241,0.00156821516388387,0.00104361206170181,0.000195854352756736,0.000920235173458023,5.30104259192208e-05,0.00064677958351557,-0.000785074183959782,0.00139986030206185,-0.000573854130929589
"T+18",0.000798317863211701,0.00156821524049828,0.0009914222951021,0.000195854461890919,0.000920235338298996,5.30091770804739e-05,0.000367269709125805,-0.000762985857520971,0.00139979712886475,-0.000586171129641806
"T+19",0.00089340539447542,0.00156821526842607,0.00103805022223804,0.00019585450210815,0.000920235406238738,5.30096982639226e-05,0.000630074355327411,-0.000741632368064097,0.00139976498666192,-0.000575819427910705
"T+20",0.000808548407812956,0.00156821527860642,0.000996391411887918,0.000195854516928671,0.000920235434240323,5.30094816062195e-05,0.000382976530193544,-0.000720989268948012,0.0013997525597425,-0.00058451941491512
"T+21",0.000884275562464421,0.00156821528231741,0.00103361066194653,0.000195854522390206,0.000920235445781268,5.30095719123634e-05,0.000615306270433555,-0.000701032926825235,0.00139974957714193,-0.000577207595482612
