"","AIG","HD","HPQ","PG","AA","BA","MRK","AXP","CAT","DIS"
"T+1",0.000594118084008241,-0.000810428203972463,0.00226487818904271,0.00157699775077329,0.00290077362976319,0.000236472426853406,0.00087828132540234,-0.000193329681048691,0.0017385864446284,0.00151511606643604
"T+2",0.000740627956386653,1.4971266236406e-05,0.00232800056814194,-0.000692761814821117,0.00163472606559585,0.00227685529601058,0.00181055263927975,0.000283719060110115,0.00158668075842803,-0.000679090279976873
"T+3",0.000515522293708219,0.000195589969508101,0.000399359019302432,0.00114161694263523,0.0022839562999254,0.000532691681286783,0.00151737268730228,0.000346741027995721,0.000989937413407419,0.000938214001380865
"T+4",0.000469340646507155,0.000210938266950287,0.00161379118229377,0.000453922904842062,0.00194854155470185,0.0013338034788804,0.0012701565655252,0.000351879424196077,0.00094298651108301,0.000642370974106703
"T+5",0.000426894625308391,0.00021457474061431,0.00114988921529488,0.00050371323655253,0.0021218194647601,0.00105769725228264,0.00113649015919045,0.000350979273405824,0.000906841143026414,0.000476134368643274
"T+6",0.000408649333793548,0.000214856948326353,0.00125102078628821,0.000617475986022878,0.00203230269427781,0.00113009662701682,0.00107036504588771,0.000350252406298478,0.000901902459703178,0.000601027799352592
"T+7",0.000397886976629689,0.000214930471110416,0.00126068889897779,0.000534521534628112,0.00207854778215603,0.00111862931623344,0.00103844055064652,0.000349941535981888,0.000899577871043319,0.000577600662764888
"T+8",0.000392416274851724,0.000214935583497069,0.00123844554412866,0.000563268528611606,0.00205465719560584,0.0011171827324111,0.00102313809615371,0.000349827273705839,0.000899153754707421,0.000565012544627528
"T+9",0.000389443148808329,0.000214937076811649,0.00125102809370366,0.000562514201825957,0.00206699926590777,0.00111934498929032,0.00101581896832076,0.000349787665498707,0.000898997380497447,0.000574655683552839
"T+10",0.000387876239720232,0.000214937167570968,0.00124658173562901,0.000556913898343916,0.00206062325253456,0.00111822858720668,0.00101232053661426,0.000349774291047892,0.000898963751013322,0.000572802060516926
"T+11",0.000387038819741194,0.000214937198051859,0.0012474009440612,0.000560638680068647,0.00206391715262918,0.00111864390310786,0.00101064867126453,0.000349769830978667,0.000898952902603271,0.000571849326317159
"T+12",0.000386594117739355,0.000214937199617459,0.00124758891188229,0.000559452001635994,0.00206221549719055,0.0011185249138725,0.00100984975171562,0.000349768352726686,0.000898950336138208,0.000572593763978338
"T+13",0.000386357275076101,0.00021493720024292,0.00124733911382191,0.000559419597078236,0.00206309458615763,0.00111854813896996,0.0010094679860517,0.000349767864260956,0.000898949568464737,0.000572447214081262
"T+14",0.000386231303301419,0.000214937200268781,0.00124746777556959,0.000559691230565375,0.00206264044168484,0.00111854792239587,0.00100928555940523,0.000349767703100446,0.000898949376490783,0.000572375144699939
"T+15",0.000386164260816042,0.000214937200281687,0.00124742586904389,0.000559525159232033,0.0020628750563938,0.00111854540722046,0.00100919838701522,0.000349767649969047,0.000898949321498522,0.000572432605203333
"T+16",0.000386128590522986,0.000214937200282085,0.00124743198599661,0.000559573426974696,0.00206275385253697,0.00111854692201407,0.00100915673179737,0.000349767632459419,0.000898949307295584,0.000572421027359274
"T+17",0.000386109609564265,0.000214937200282353,0.00124743477595598,0.000559577826228734,0.00206281646743002,0.00111854631083605,0.00100913682690655,0.000349767626690179,0.000898949303327109,0.000572415578712855
"T+18",0.00038609950995533,0.000214937200282358,0.0012474320305057,0.000559564816089728,0.00206278412006968,0.0011185465005209,0.00100912731538122,0.00034976762478946,0.000898949302282782,0.000572420013183316
"T+19",0.000386094135896636,0.000214937200282364,0.00124743332927883,0.00055957216799424,0.00206280083097774,0.0011185464577045,0.00100912277031169,0.000349767624163285,0.000898949301995149,0.000572419099148141
"T+20",0.000386091276364153,0.000214937200282364,0.00124743294190536,0.000559570239557662,0.00206279219798743,0.00111854646148156,0.00100912059845636,0.000349767623957002,0.00089894930191863,0.000572418687453419
"T+21",0.000386089754800781,0.000214937200282364,0.00124743298101816,0.000559569912163031,0.00206279665786007,0.00111854646411717,0.00100911956063823,0.000349767623889046,0.000898949301897729,0.000572419029626158
