"","V","CSCO","PG","MCD","WMT","HD","BA","VZ","GS","MRK"
"T+1",0.000198278870946217,-0.00201472758231753,0.000346095947447584,0.000876164026361793,-0.00135491766692818,0.000959558292038388,-0.00181020931759562,0.000922598419816025,-0.00118884070678718,8.68712880610469e-05
"T+2",0.00059912772840203,0.00152936897400499,0.000830988230428789,0.000829244978712234,-0.00117071329174592,0.00303222379778222,-0.000644000910987192,0.000739226020484717,-0.000273605483576927,0.000316216545020388
"T+3",0.000455884003221317,-0.00190616112508283,0.000171016344687545,0.000809180352326837,-0.00109651426634824,0.00101558514003506,-0.000549490397361112,9.84954759975794e-05,2.89748629765339e-05,0.000146209608130422
"T+4",0.000347056443895746,0.000855409548013088,-9.99939544394944e-05,0.000797298295849096,-0.00104590152086087,0.000443600726859927,-0.000687412525554035,0.000519771480849897,7.73236833969313e-05,2.28030066233427e-05
"T+5",0.000297761203327518,-0.00133128006708643,-0.000142566545698704,0.000789781818046681,-0.00100783519939186,0.000617444331954505,-0.000683270369193289,0.000329606923650045,7.80444432361637e-05,-5.4089120726608e-05
"T+6",0.000278708334226284,0.000397874464090263,-0.000135869671137296,0.000784976558845927,-0.000978847630649345,0.000717503464710022,-0.000668571015273715,0.000400387978747328,7.60909748619449e-05,-0.000101339971268648
"T+7",0.000271883552626366,-0.000969311934951333,-0.000130108022322153,0.00078189961806246,-0.000956740819252949,0.000710181377608957,-0.0006705723739616,0.000377847301826405,7.54817893748266e-05,-0.000130336127413185
"T+8",0.000269542921138164,0.000111666144043596,-0.000128616313248063,0.000779928885611214,-0.000939878526017544,0.000696164393668384,-0.000671974842163581,0.000383859768986354,7.53894142001214e-05,-0.000148127583561341
"T+9",0.000268761827614392,-0.000743017935575632,-0.000128552272584463,0.000778666615500816,-0.000927016298469384,0.000694992486306645,-0.000671607636710613,0.00038267348776767,7.53894295103868e-05,-0.000159043911577085
"T+10",0.000268505875138847,-6.7255101211923e-05,-0.000128649054061333,0.000777858116719666,-0.000917205218697162,0.000696624215629925,-0.00067149237425602,0.000382729053220256,7.53935730000701e-05,-0.000165741848606392
"T+11",0.000268423054957276,-0.000601552411180163,-0.000128688231122168,0.000777340263345458,-0.000909721498328481,0.00069702184383741,-0.000671544799505057,0.000382829621543498,7.53947959541635e-05,-0.00016985150472745
"T+12",0.000268396495555126,-0.000179105954059643,-0.000128694275294,0.000777008571872263,-0.000904013046885412,0.00069687133777576,-0.000671551931426877,0.000382760444040079,7.5394971458976e-05,-0.000172373068176867
"T+13",0.000268388033412584,-0.000513116636487568,-0.000128693268459991,0.000776796119388564,-0.00089965873961507,0.000696797301165398,-0.000671545427920184,0.00038279220067319,7.5394968492646e-05,-0.000173920224929968
"T+14",0.000268385350089476,-0.000249028409222652,-0.000128692430734879,0.000776660040949378,-0.00089633734991722,0.000696805541555535,-0.000671545329642912,0.00038278024669752,7.539495975296e-05,-0.000174869514553789
"T+15",0.000268384502213895,-0.00045783188602444,-0.000128692216495141,0.000776572881028734,-0.000893803851741573,0.000696816339362072,-0.000671546053663275,0.000382784094530019,7.53949573048977e-05,-0.000175451970590046
"T+16",0.000268384235007594,-0.000292739740963475,-0.000128692208116275,0.000776517054023277,-0.000891871343487513,0.000696816906642824,-0.000671545988259526,0.000382783053477412,7.53949569735359e-05,-0.000175809348386727
"T+17",0.000268384150964443,-0.000423271170699693,-0.000128692222304131,0.000776481296136907,-0.000890397259871462,0.000696815598998986,-0.000671545915689747,0.000382783265160418,7.53949569853674e-05,-0.000176028624832689
"T+18",0.000268384124570105,-0.00032006544796413,-0.000128692227966635,0.000776458392769135,-0.000889272854579767,0.000696815328330162,-0.000671545930503489,0.000382783251615471,7.53949570037085e-05,-0.000176163166374443
"T+19",0.000268384116290109,-0.000401665881108044,-0.000128692228824285,0.000776443722879256,-0.000888415177819626,0.000696815456189712,-0.00067154593690827,0.000382783235937846,7.53949570085948e-05,-0.000176245717085159
"T+20",0.000268384113694861,-0.000337147843611854,-0.000128692228673148,0.000776434326633639,-0.000887760956934755,0.000696815510424068,-0.000671545934608674,0.000382783247278806,7.5394957009216e-05,-0.000176296367759671
"T+21",0.000268384112881943,-0.000388159547863699,-0.000128692228551367,0.000776428308222293,-0.00088726192864567,0.000696815502115537,-0.000671545934147815,0.000382783241980299,7.53949570091805e-05,-0.000176327445515469
