"","JNJ","HPQ","PG","CVX","AA","AXP","MRK","MCD","KO","CAT"
"T+1",0.000415624582555438,0.00190261197761121,0.00143469215271726,-0.000224075456847311,0.00713823722196543,-0.000494845376046145,0.00938093554985651,0.00147231408075318,-0.00286483039843082,0.00261372605024675
"T+2",0.000707724345953243,0.00232912568256942,0.00102650705245572,0.00154403948075618,-0.00260471346012798,0.00361522684476328,0.00897733052754546,0.000800200343803533,0.00338672230999335,0.0030514713872076
"T+3",0.0007780185305327,0.002047233782458,0.00128977183768582,0.000274518068157113,0.00671838310173316,0.000766429740651475,0.00842175463031622,0.00100399992683458,-0.000974670258667388,0.00282600850898738
"T+4",0.000748560971391588,0.00192910332384384,0.00111465978786865,0.00115530573005283,-0.00214021810057632,0.0027663231406134,0.00788720940398479,0.000867739448386165,0.00279193917089661,0.00291679871828427
"T+5",0.000771117682380948,0.00192116231441094,0.00123114570945565,0.000539554136620415,0.0062751546991382,0.0013632613797967,0.00739558345393979,0.00096686054457603,-0.000382150972760099,0.00287804744341937
"T+6",0.000755136640515923,0.00192957773919077,0.00115365833710475,0.000969288322045175,-0.00171910960028771,0.00234763588444452,0.0069466286167437,0.000894364585195254,0.00229956621866143,0.00289434487602085
"T+7",0.000766548311546175,0.00193267195569157,0.0012052035607251,0.000669261799513483,0.00587511693112656,0.00165700936499733,0.00653711282308623,0.000947404813681929,3.44694889939509e-05,0.00288746543549905
"T+8",0.000758406201926992,0.00193278685827958,0.00117091526319394,0.000878712785721092,-0.00133908991033573,0.00214154550828244,0.00616364154292423,0.000908598199971345,0.00194772645815699,0.00289036669035684
"T+9",0.000764216009350634,0.00193254012740911,0.00119372411462593,0.000732490543154642,0.0055141136548217,0.00180160015917509,0.00582305264767874,0.000936990896736322,0.000331662687400698,0.00288914286604838
"T+10",0.000760070454473447,0.00193246004841947,0.00117855148311298,0.00083457100396971,-0.000996151456405962,0.00204010216156025,0.00551245254749172,0.000916217497227788,0.00169669782105748,0.00288965907688706
"T+11",0.000763028494196298,0.00193245968581865,0.00118864443968794,0.000763306672240847,0.00518833604867005,0.00187277172068036,0.00522920096438243,0.000931416269387103,0.00054369824046485,0.00288944133526158
"T+12",0.000760917800111069,0.00193246680900597,0.00118193052375734,0.000813057661364041,-0.000686675958825377,0.00199016895913144,0.00497088987999261,0.000920296150356009,0.00151759847577817,0.0028895331799881
"T+13",0.000762423875074047,0.00193246885430445,0.00118639667466053,0.000778325545360163,0.0048943468922817,0.00190780431870219,0.00473532327117566,0.000928432139630117,0.000694977475800529,0.00288949443929513
"T+14",0.000761349222992717,0.00193246878944679,0.00118342575514109,0.000802572698844516,-0.000407398197743739,0.00196559046497399,0.00452049847136189,0.00092247947659806,0.00138981795852776,0.00288951078036344
"T+15",0.00076211603548507,0.00193246858657189,0.0011854020347121,0.000785645297892982,0.00462904435938235,0.00192504832597425,0.00432458914949221,0.000926834717980444,0.000802909410791284,0.0028895038875975
"T+16",0.000761568880355854,0.00193246853510395,0.00118408739763855,0.000797462639792782,-0.00015537156415068,0.001953492254852,0.00414592978416238,0.000923648223566653,0.00129865145802248,0.00288950679500972
"T+17",0.000761959300097855,0.00193246853886791,0.00118496190479862,0.000789212727712763,0.00438962929105978,0.00193353630013517,0.00398300150430849,0.000925979609076119,0.000879914708760975,0.00288950556864487
"T+18",0.000761680718089198,0.0019324685445754,0.00118438017559868,0.00079497214890099,7.20630292600092e-05,0.00194753718342987,0.00383441917655268,0.000924273860473446,0.00123360765484332,0.00288950608593331
"T+19",0.000761879498855636,0.00193246854584836,0.00118476714654359,0.000790951386970213,0.00417357566234585,0.0019377143142255,0.00369891962950582,0.000925521864410894,0.000934855036810546,0.00288950586773778
"T+20",0.000761737659857145,0.00193246854569303,0.00118450973035712,0.00079375835766668,0.000277305203638321,0.00194460593365945,0.00357535091492709,0.000924608767471847,0.00118720139477454,0.00288950595977404
"T+21",0.000761838868348557,0.00193246854553428,0.00118468096567576,0.000791798757813101,0.00397860393058515,0.0019397708475523,0.00346266251444586,0.000925276831085334,0.000974052854698123,0.00288950592095256
