"","JNJ","PG","BA","DIS","CVX","MRK","T","KO","HD","GS"
"1",0.000423443324406463,0.000786941489008169,0.000742243714996105,0.00162426900131125,0.000801940176101233,0.00111042071170914,0.000510724196652957,0.000596701546702369,0.00270898764047979,0.000728353326739941
"2",0.00142930505322526,7.79210449103511e-05,0.000854699357179938,0.00145625020725293,0.00123809564159765,0.00115398700077671,0.000711805748079577,0.000328275530242484,0.000868177940492287,0.00109795400496041
"3",0.000935749431229088,0.000807687098833473,0.000837947342328104,0.00151266292016093,0.00084098745030957,0.00114578242143712,0.000259628597604555,0.000644960288448516,0.00125586562575235,0.000723579289525301
"4",0.00093428545024959,0.000198411669429918,0.000841024657381147,0.0014847033345237,0.000747990172632614,0.00114129255825518,0.000637565856016856,0.000388655452021491,0.000793928520400569,0.000720340684142627
"5",0.000885695171104114,0.000685135955827315,0.00084046323313405,0.00149870482716967,0.000666020830769348,0.00113673924903068,0.000307549081360331,0.000590568556084944,0.00114881953590371,0.000700210007962487
"6",0.000875718132015553,0.000300501818923689,0.00084056568007699,0.00149169165643231,0.000624758648701812,0.00113237218073769,0.000594880596695673,0.000431883606841613,0.000858401108767623,0.000698805305530342
"7",0.000868944443242589,0.000603623734725576,0.000840546985992473,0.0014952044817085,0.00059974939494421,0.00112816757209293,0.000344665421445694,0.000556568503117185,0.0010935554840663,0.000697647522637968
"8",0.000866597326934962,0.000364908268393969,0.000840550397210506,0.00149344494338627,0.000585606262139879,0.0011241204818616,0.000562556061656224,0.000458600652206243,0.000902817566093474,0.000697501861424754
"9",0.000865459513572406,0.000552868132356807,0.000840549774745769,0.00149432627817258,0.000577406173221251,0.00112022493398504,0.000372813892176886,0.00053557615956968,0.00105748419347321,0.000697431302379344
"10",0.000864999577491856,0.000404879118642796,0.000840549888330519,0.00149388482657373,0.000572694866878011,0.00111647525908545,0.000538043976862501,0.000475094810298278,0.000932061340705265,0.000697419227917326
"11",0.000864795160718881,0.000521395942009149,0.000840549867604051,0.00149410594517378,0.000569979065963506,0.00111286599444646,0.000394159351442416,0.00052261633608702,0.00103376893015326,0.000697414732095861
"12",0.000864708786124919,0.000429658534874079,0.00084054987138613,0.00149399518912393,0.000568415439100649,0.00110939188229144,0.000519456057952369,0.000485277628574065,0.000951292357901141,0.000697413814022506
"13",0.000864671303469584,0.000501886261116346,0.000840549870695992,0.00149405066569883,0.000567514785498839,0.00110604786170035,0.000410345966331079,0.000514615471907993,0.00101817412724766,0.00069741351845768
"14",0.000864655265980827,0.000445019127608899,0.000840549870821926,0.0014940228780487,0.000566996088678779,0.0011028290612661,0.000505360531559485,0.000491564083447943,0.000963938468516299,0.000697413451485078
"15",0.000864648352638637,0.000489792386756032,0.000840549870798946,0.00149403679659903,0.000566697347966048,0.00109973079199611,0.000422620544163286,0.00050967606611441,0.00100791916295625,0.000697413431648999
"16",0.000864645384249192,0.000454541010712641,0.000840549870803139,0.00149402982493923,0.000566525293424092,0.00109674854048178,0.000494671660724902,0.000495445083166077,0.000972254407876576,0.00069741342686901
"17",0.000864644107036465,0.000482295512670773,0.000840549870802374,0.00149403331697247,0.000566426200834579,0.00109387796232357,0.000431928559581838,0.000506626679317375,0.00100117561457633,0.000697413425520298
"18",0.000864643558097439,0.000460443532273931,0.000840549870802514,0.00149403156784866,0.000566369129896441,0.00109111487580226,0.000486566113153714,0.000497841053409126,0.000977722875447112,0.000697413425183243
"19",0.000864643322027979,0.000477648274332557,0.000840549870802488,0.00149403244396692,0.000566336260685207,0.00108845525578723,0.000438986981648678,0.000504744112825266,0.000996741133515351,0.000697413425090802
"20",0.000864643220538593,0.000464102447185041,0.000840549870802493,0.00149403200512823,0.000566317330128125,0.00108589522787289,0.00048041954234698,0.000499320227287639,0.000981318877805364,0.000697413425067198
"21",0.000864643176899791,0.000474767497116181,0.000840549870802492,0.00149403222493805,0.00056630642734021,0.00108343106273456,0.000444339499863716,0.000503581893391294,0.000993825068978645,0.000697413425060832
