"","PG","CAT","WMT","CVX","T","MCD","KO","HD","MRK","DIS"
"T+1",0.00263911312194582,0.00210359989790235,0.000377989611426254,0.000979056436584847,0.00051559481532951,-0.000342062433917739,-0.00152817262647822,0.000454620310322344,0.00150847534274423,0.00235799916974058
"T+2",-0.000721133328503551,-0.000606460514779938,0.00136525068210201,0.000100578424051005,0.00179392409963069,-0.00122354260816937,0.00146378078365569,0.00410751735558109,-0.000200019898030455,0.00127575069665024
"T+3",0.000259559317289215,2.61079606137124e-05,0.000113509097237519,5.28753037093823e-05,-0.000277530859942096,-0.00128663013069038,-8.25049645571738e-05,-0.00032218516030277,0.000544363519334694,0.00115066880339625
"T+4",0.000232065856677389,-9.50190478695899e-05,0.000938081003160362,5.34271720485584e-05,0.0017197381433845,-0.00125081844215478,0.000444786238070126,0.00372641906896767,0.000458980049399804,0.00112697353220425
"T+5",0.000193215179649794,-7.21381359866345e-05,0.000349534656009597,5.58035679985482e-05,-0.000274117037398536,-0.00120509793616672,0.000185767965793752,-4.76980800635197e-05,0.000437982358271275,0.00111722654210591
"T+6",0.000201482845468445,-7.64558409221196e-05,0.000764419918105585,5.75553853474653e-05,0.00171059408970792,-0.00116036609862143,0.000278026120271523,0.00346507633973833,0.000447890755237495,0.00111139131831849
"T+7",0.000201721357372666,-7.5641141163345e-05,0.000471404823503929,5.87656774730724e-05,-0.000265481458249113,-0.00111785384071909,0.000234442828905014,0.000195151006265314,0.000446656313395187,0.00110760597857794
"T+8",0.000201308622823203,-7.57948643954647e-05,0.000678289649629797,5.95973114669989e-05,0.00170195802913513,-0.00107760106599365,0.0002504987147127,0.0032389873327956,0.0004464006643399,0.00110511832872755
"T+9",0.000201372740610162,-7.57658588379725e-05,0.000532211269092098,6.01684862218266e-05,-0.000256886243339306,-0.00103950619102074,0.000243138825540183,0.000405605682737561,0.000446532242454487,0.00110348024183141
"T+10",0.000201379571026504,-7.57713318059971e-05,0.000635354428081598,6.05607587196625e-05,0.00169340011132335,-0.00100345582457783,0.000245921897688049,0.00304308360529911,0.000446514547765756,0.00110240125611278
"T+11",0.00020137546778018,-7.5770299128762e-05,0.000562526938661203,6.08301634108782e-05,-0.000248365734518298,-0.000969340523988702,0.000244675476780258,0.000587964358219618,0.000446511470007406,0.00110169051026423
"T+12",0.000201375905910161,-7.57704939814026e-05,0.000613949083160565,6.10151849589928e-05,0.00168491682564532,-0.000937056456392045,0.000245156429779987,0.00287333344650486,0.000446513213152993,0.00110122232689792
"T+13",0.000201376009924835,-7.57704572152668e-05,0.000577640856342317,6.11422539130363e-05,-0.00023991951118875,-0.000906505329652715,0.000244944866357558,0.00074597776875261,0.000446512961380275,0.00110091392425938
"T+14",0.000201375971497631,-7.57704641525541e-05,0.000603277424848482,6.12295222296598e-05,0.00167650750259531,-0.000877594123689074,0.00024502779126285,0.00272624529002669,0.000446512924832994,0.00110071077265369
"T+15",0.000201375973810844,-7.5770462843579e-05,0.000585175917209449,6.1289456295711e-05,-0.000231546927218608,-0.000850234811040386,0.000244991817171098,0.000882896057538669,0.000446512947870987,0.00110057695221659
"T+16",0.000201375975109239,-7.57704630905654e-05,0.000597957057505257,6.13306177665901e-05,0.00166817149719648,-0.000824344089314325,0.000245006089930768,0.0025987937109668,0.000446512944311624,0.00110048880174694
"T+17",0.000201375974770611,-7.57704630439623e-05,0.000588932530348701,6.13588866092793e-05,-0.000223247340584852,-0.000799843127609777,0.000244999964371454,0.00100153546757569,0.000446512943885075,0.00110043073509082
"T+18",0.000201375974773931,-7.57704630527557e-05,0.000595304582334234,6.13783010628914e-05,0.00165990817021964,-0.000776657326503266,0.000245002417666508,0.00248835718505041,0.000446512944188815,0.00110039248530534
"T+19",0.000201375974788465,-7.57704630510965e-05,0.000590805394088471,6.13916345061172e-05,-0.000215020114851875,-0.000754716090912891,0.000245001373484559,0.00110433626751794,0.000446512944138782,0.00110036728932908
"T+20",0.000201375974785683,-7.57704630514096e-05,0.000593982187830387,6.1400791637799e-05,0.00165171688800958,-0.000733952615153705,0.000245001794740136,0.00239266416699254,0.000446512944133915,0.0011003506921845
"T+21",0.000201375974785537,-7.57704630513505e-05,0.000591739112429356,6.14070805655139e-05,-0.000206864619132841,-0.0007143036795308,0.000245001616593775,0.0011934129450357,0.00044651294413791,0.00110033975927977
