"","IBM","PG","MRK","BA","CVX","DIS","GS","T","HD","KO"
"T+1",-0.000451890595336902,-0.000204824554989145,-7.73841698854623e-05,0.000810855251928983,-0.000318195724197094,0.00104147761052773,-0.000238145718335688,0.000293899755288058,0.000219730652148786,-0.000703523470422344
"T+2",-0.000400068744487659,9.48295896332973e-05,0.00037851549203206,0.00158748945473553,8.74973877680809e-05,0.00112422482740926,-0.00018288057530621,0.000321384373205282,0.000195639690780055,9.6908649287568e-05
"T+3",-0.000412610203593068,0.000467753553558468,0.000522545880294706,0.00132737318820168,5.52980227588093e-05,0.00109527594870927,2.52522443655036e-05,0.000325845349915059,0.000116037314479265,0.000272431378152322
"T+4",-0.000409121989416614,0.00010862123911955,0.00062314585571593,0.00133217114743202,6.30749911675547e-05,0.00109648313024961,-0.000136779457196096,0.000321372659903949,0.000167328575449835,-1.44164320174822e-05
"T+5",-0.000410093184456721,0.000371662914781069,0.000686320078572344,0.00135816924314011,6.5713061092283e-05,0.00109686163609287,7.28628552509883e-07,0.000325376535540274,0.000131956126845251,0.000244405411031905
"T+6",-0.000409822780610331,0.000189766048963555,0.000726404692639822,0.0013489420874909,6.78917150299088e-05,0.00109680735273846,-0.000115306778483042,0.000321799528387885,0.000156262281996634,2.90526168631212e-05
"T+7",-0.00040989806748961,0.000313710368911354,0.000751812012610772,0.00134927696312716,6.94311383302674e-05,0.00109680586006219,-1.73557335931171e-05,0.00032499505652054,0.000139557204576514,0.000205385399464258
"T+8",-0.000409877105827011,0.000229587909809453,0.000767917957061519,0.00135014397773123,7.05404842169682e-05,0.0010968069070377,-0.000100039012590356,0.000322140325634308,0.000151038120239363,6.14875524038371e-05
"T+9",-0.000409882942053763,0.000286621617399433,0.000778127560246894,0.00134981770057157,7.13378072841285e-05,0.00109680683815059,-3.02435902325817e-05,0.000324690604644758,0.000143147615637418,0.000178832773578096
"T+10",-0.000409881317109055,0.000247964944327397,0.000784599463278471,0.00134983509187145,7.19110693037445e-05,0.00109680682672623,-8.91599829074093e-05,0.000322412308269826,0.000148570533381487,8.31551144175156e-05
"T+11",-0.000409881769532413,0.000274163828912843,0.000788702024707555,0.00134986388891947,7.23232160609232e-05,0.00109680682891043,-3.94269025867054e-05,0.000324447628464493,0.000144843517381656,0.000161163561202243
"T+12",-0.000409881643566961,0.000256408377634781,0.000791302652434045,0.0013498523866195,7.26195308157697e-05,0.00109680682890649,-8.14080756520188e-05,0.000322629371480723,0.000147404988699791,9.75617138003335e-05
"T+13",-0.000409881678638747,0.000268441492500327,0.000792951199245852,0.0013498531873565,7.28325674602264e-05,0.00109680682887011,-4.59705181828966e-05,0.000324253714651735,0.000145644562848668,0.000149417496490794
"T+14",-0.000409881668873925,0.00026028649728556,0.000793996218709171,0.00134985413962251,7.29857310002326e-05,0.00109680682887344,-7.58844150009221e-05,0.000322802604736709,0.000146854453100165,0.000107138514522379
"T+15",-0.000409881671592684,0.000265813238990273,0.000794658660121742,0.00134985373531463,7.30958485328702e-05,0.00109680682887375,-5.06332045127483e-05,0.000324098956408612,0.000146022930193515,0.000141609350845995
"T+16",-0.000409881670835717,0.000262067697832696,0.000795078583999232,0.00134985376982393,7.31750179684744e-05,0.00109680682887367,-7.19485027166866e-05,0.000322940858293615,0.000146594412064229,0.000113504640544907
"T+17",-0.000409881671046475,0.000264606097283087,0.000795344775181637,0.00134985380116246,7.32319371473023e-05,0.00109680682887367,-5.39556251975829e-05,0.000323975447343044,0.000146201648947371,0.000136418930506278
"T+18",-0.000409881670987795,0.00026288579267518,0.000795513514682743,0.00134985378699114,7.32728594160266e-05,0.00109680682887367,-6.91439485473191e-05,0.00032305119534113,0.000146471583784973,0.000117736486230133
"T+19",-0.000409881671004133,0.000264051664317786,0.000795620479229714,0.00134985378841714,7.33022806429668e-05,0.00109680682887367,-5.63230328304631e-05,0.000323876877541723,0.000146286065304688,0.000132968628472901
"T+20",-0.000409881670999584,0.000263261538731952,0.00079568828442194,0.00134985378944301,7.33234331504315e-05,0.00109680682887367,-6.71455493145871e-05,0.000323139252851742,0.000146413566841107,0.00012054958127181
"T+21",-0.00040988167100085,0.000263797016582568,0.000795731266365238,0.00134985378894766,7.33386408293279e-05,0.00109680682887367,-5.80099410915999e-05,0.000323798211205063,0.00014632593868803,0.000130675060073401
