"","IBM","CVX","PG","DIS","BA","KO","MRK","HD","T","GS"
"T+1",9.4403552646341e-05,-0.000233632905631302,0.00285437089467148,0.0011011769830057,-0.000731774599258299,-0.000277629667316908,0.00242184859255548,0.00151105286967993,-0.00118625607133987,7.5244059018728e-05
"T+2",0.000211415162250168,-0.00144510154019516,-0.000437042248592764,0.000824142229830844,-0.000332513781889421,0.00108970723535778,0.00247226604095393,0.00123227908112368,0.000120421296201628,0.000115019155609117
"T+3",-1.08735135654435e-06,-0.00045227168767754,0.00100219030675843,0.000797828956683521,8.41004978703443e-05,8.76564268093727e-06,0.00229908490487284,0.000927478386440283,9.10564651491296e-05,0.000722720626460006
"T+4",4.33732808205511e-05,-0.000355364905295169,0.000485209224397791,0.000832080474916711,0.000244738119871551,0.000460578129364416,0.00213951353615486,0.00115365665529718,8.13231736446113e-05,0.000725550182578016
"T+5",1.85314020630434e-05,-0.000157274334421106,0.000677784305779238,0.000803392600794912,0.000311976308985649,0.00029005531784368,0.00199524426864145,0.000932662644002208,8.10908420342029e-05,0.000763513884632801
"T+6",2.62729893492861e-05,-8.04504981775076e-05,0.000606561953410881,0.000826918815398076,0.000339842915220616,0.000352836686413245,0.00186484739910759,0.00114114884384697,8.11437678353444e-05,0.000763712186783752
"T+7",2.29524328940078e-05,-2.34064837304549e-05,0.000632939714679022,0.000807650161815859,0.000351405489899327,0.000329872813023733,0.001746989533431,0.000943671199489348,8.1147568836771e-05,0.000766083828404447
"T+8",2.41358876707607e-05,7.0213637510169e-06,0.000623173159626548,0.000823430516139219,0.000356202449980436,0.000338257740925161,0.00164046492436303,0.00113063441989295,8.11473911826224e-05,0.000766097561921822
"T+9",2.36676996023534e-05,2.59793681529064e-05,0.000626789488506853,0.000810507018931809,0.000358192594266728,0.000335197549892338,0.00154418376179504,0.000953616239069911,8.11473588663951e-05,0.000766245722208014
"T+10",2.38421596768391e-05,3.69230068718822e-05,0.000625450459637546,0.00082109085803214,0.000359018256108904,0.000336314264999792,0.00145716103205775,0.00112121733286387,8.11473586139197e-05,0.000766246664199282
"T+11",2.37749029399764e-05,4.34768469656726e-05,0.00062594626684806,0.00081242310763206,0.000359360802943967,0.00033590677093066,0.0013785064407655,0.000962532236882324,8.11473588121632e-05,0.000766255920059577
"T+12",2.38003327262189e-05,4.7332188886564e-05,0.0006257626825365,0.000819521656296985,0.000359502917215467,0.000336055465858062,0.00130741530457583,0.00111277563327088,8.11473588224014e-05,0.000766255984156924
"T+13",2.37906108255822e-05,4.96198429268458e-05,0.00062583065896227,0.000813708222497086,0.000359561876937634,0.000336001207090766,0.00124316031879934,0.00097052485515814,8.11473588215624e-05,0.000766256562391439
"T+14",2.37943041782275e-05,5.09715820423646e-05,0.000625805489086087,0.000818469197471119,0.000359586337878819,0.000336021006097235,0.00118508411663933,0.00110520820455809,8.11473588214597e-05,0.000766256566723643
"T+15",2.37928960212554e-05,5.17719321874672e-05,0.000625814808826891,0.000814570145123819,0.000359596486122768,0.000336013781447565,0.00113259254393767,0.000977689713280768,8.11473588214607e-05,0.000766256602847446
"T+16",2.37934318074398e-05,5.22453429491625e-05,0.000625811357972863,0.000817763316541418,0.00035960069638003,0.000336016417719256,0.00108514858062371,0.00109842450113572,8.11473588214614e-05,0.000766256603138572
"T+17",2.37932277092535e-05,5.25255017451351e-05,0.000625812635733025,0.000815148234004958,0.0003596024431124,0.000336015455744814,0.00104226684667892,0.00098411253859293,8.11473588214614e-05,0.000766256605395331
"T+18",2.37933054050705e-05,5.26912578418819e-05,0.000625812162612164,0.000817289884351321,0.000359603167788776,0.000336015806768886,0.00100350863641003,0.00109234335601136,8.11473588214614e-05,0.000766256605414798
"T+19",2.37932758167069e-05,5.27893385701717e-05,0.000625812337796331,0.000815535956457218,0.000359603468439212,0.000336015678680349,0.000968477430228365,0.000989870180164375,8.11473588214614e-05,0.000766256605555785
"T+20",2.37932870822025e-05,5.28473714508766e-05,0.000625812272930258,0.000816972354823056,0.000359603593171697,0.000336015725419803,0.000936814838018126,0.00108689200831494,8.11473588214614e-05,0.000766256605557081
"T+21",2.37932827924403e-05,5.28817095365866e-05,0.000625812296948452,0.000815796000725309,0.000359603644920142,0.000336015708364596,0.000908196932591949,0.000995031528146601,8.11473588214614e-05,0.000766256605565889
