"","HD","CSCO","JNJ","GS","UNH","VZ","PG","PFE","IBM","CAT"
"T+1",-0.00144192951483486,0.0020540938351068,-0.00139204468523626,0.000364698701684148,0.00164579378496434,-0.00164970881348867,-0.00489506015363452,-4.66841501062833e-05,-0.00154438702351641,0.00249712879772571
"T+2",0.00254535824916734,0.00195120047222147,0.00122063785276295,0.00103522517937855,0.00287139686815452,0.00103683552248305,0.00198322146172748,0.000828534168219535,0.00138371286782222,0.00490165370957713
"T+3",0.00130406555098757,0.0012614683293007,-0.000508256961528364,-0.000412573590043151,0.00273930422560463,-0.000342978098153037,-0.000255295614829719,0.00101334564738806,-0.000641703245201585,0.0013658726285146
"T+4",0.00108195755864619,0.00146603930214444,-0.000164556312983802,0.000901739765597933,0.00251892124635362,0.000835141373333398,-0.000563362815277276,0.00100885077485741,-5.26977644848718e-05,0.00239870485362049
"T+5",0.00131023614777882,0.00150247579918989,-0.000126714245373042,-0.000244742083046255,0.0023259712405187,-0.000134287815164258,-0.000348760930547706,0.000959408302033347,-0.000108342630236806,0.00239180625247687
"T+6",0.00128099478914486,0.001464819519816,-0.000169426773380998,0.000752482187246959,0.00216544620175043,0.000665123280618941,-0.000347575804484962,0.000905396064542601,-0.000142259422387303,0.00228684860450657
"T+7",0.00125734154930203,0.00147031803962143,-0.000158591506683532,-0.000114733848298577,0.00203266790937487,5.99527481113816e-06,-0.000365022191863807,0.00085709848895402,-0.000122084304789952,0.00232565181181619
"T+8",0.00126753626887449,0.00147387499436006,-0.000158433565706957,0.000639411498361466,0.00192291470326928,0.000549461496393849,-0.000363193364912342,0.000816267367646047,-0.00012748344073278,0.00232249179728435
"T+9",0.001268113494654,0.00147215019902324,-0.000159437027680587,-1.64049707832131e-05,0.00183220101925187,0.000101361273523955,-0.000361987393602754,0.000782382026738354,-0.000127131882284302,0.00231960118038022
"T+10",0.00126656472351473,0.00147214748851447,-0.000159118295311181,0.000553903136557391,0.00175722466232378,0.000470830077395076,-0.000362267983419755,0.0007544411074425,-0.000126752312204386,0.002320978867046
"T+11",0.00126689058446882,0.00147238079185304,-0.000159135855555816,5.795442132116e-05,0.00169525553401235,0.000166194663566702,-0.000362334339156177,0.000731453996912761,-0.000126951382595652,0.00232077970685221
"T+12",0.00126701772757097,0.00147231665335626,-0.000159158013351518,0.00048923906354812,0.00164403708961922,0.00041737347594317,-0.000362304379628207,0.000712557626587361,-0.000126902532658026,0.00232070863384192
"T+13",0.00126693979977896,0.00147230293017659,-0.000159149127748665,0.000114187295290046,0.00160170425264449,0.000210270844657915,-0.000362302330292445,0.000697028464767913,-0.000126904084951644,0.00232075514533953
"T+14",0.00126694274507551,0.00147231537216115,-0.000159150127874779,0.000440338090149887,0.00156671550778179,0.000381031664328498,-0.000362304973703008,0.0006842677981258,-0.0001269082247079,0.00232074566273408
"T+15",0.0012669526597677,0.00147231378248263,-0.000159150576356523,0.000156712335012824,0.00153779676870597,0.000240235493108413,-0.000362304847472878,0.000673782447771955,-0.000126906278356854,0.00232074426435514
"T+16",0.00126694966322336,0.00147231254444745,-0.000159150339917345,0.00040335766056427,0.00151389498334624,0.000356325131636018,-0.000362304648107067,0.000665166820233894,-0.000126906713748432,0.0023207457583943
"T+17",0.00126694908739373,0.00147231310107688,-0.000159150378917407,0.000188871086215687,0.0014941397878696,0.000260606590025935,-0.000362304680283608,0.000658087543558068,-0.000126906716863727,0.00232074536175415
"T+18",0.00126694964883838,0.00147231311410351,-0.000159150386745357,0.000375391915154707,0.00147781181309924,0.000339528699907279,-0.000362304692820625,0.000652270663025253,-0.000126906672623362,0.0023207453502338
"T+19",0.00126694958097334,0.00147231303545162,-0.000159150380727392,0.000213190529199619,0.00146431648927839,0.000274455629179812,-0.000362304688841469,0.000647491067463224,-0.000126906691482371,0.00232074539568251
"T+20",0.00126694952173894,0.001472313055441,-0.000159150382034907,0.000354243352926629,0.00145316239530218,0.00032810985282219,-0.000362304688268817,0.00064356378567378,-0.000126906687670385,0.0023207453803894
"T+21",0.00126694954653398,0.00147231306051894,-0.000159150382129786,0.00023158164467913,0.00144394336402279,0.000283870727751193,-0.000362304688653052,0.000640336830398628,-0.000126906687464006,0.00232074538121003
