"","WMT","JNJ","PG","CVX","CSCO","GS","NKE","VZ","MRK","KO"
"T+1",0.000924655391347012,0.0012590814817527,0.000126304940536288,0.00182371815896244,0.00244704733956036,0.00159613319176578,0.00155715855157472,0.00147227097509408,-0.000339370875403334,-0.000197513515948078
"T+2",0.000387588217010801,-0.000644537237825287,0.00109049434907809,0.00169568575140464,0.00268771086729782,0.00267936568219781,1.55087444260475e-05,0.00177055903513821,-0.00103969590471036,0.000545604321470557
"T+3",0.000151806352753049,0.000530391795683052,0.000736732692167032,0.00151602500160734,0.00154258617293758,0.0026508932837205,0.00135212186342394,0.00159856855715724,-0.000255135243487968,0.000626174308584506
"T+4",7.13861727248515e-05,0.000216366357872262,0.000863290724861936,0.00143683461173711,0.00133346373279329,0.00249531802639276,2.2907198318518e-05,0.00141223493317372,-0.000504845105573335,0.000458905258153435
"T+5",4.3627693232758e-05,0.000382516204586954,0.000817979431650114,0.0014077772272998,0.00151499522856689,0.00234507996270211,0.00135300274740816,0.00124281299949752,-0.00036840687215112,0.000622405367075687
"T+6",3.40523804218653e-05,0.000332575884868292,0.000834201740821431,0.00139774480577136,0.00157973912036544,0.00221506742049016,2.16784144172162e-05,0.00109073088294257,-0.000424805415201777,0.000472609159595709
"T+7",3.07492583410875e-05,0.00035644394215707,0.00082839383963697,0.00139436242012958,0.00155550429391273,0.00210439406893573,0.00135424721805706,0.000954355399978452,-0.000398123610136862,0.000608689667858756
"T+8",2.96098076782495e-05,0.000348673755077622,0.000830473180809614,0.00139323325700094,0.00154005608449315,0.00201043295225067,2.04321709752825e-05,0.000832074741938958,-0.00040992012598313,0.000485212391753907
"T+9",2.92167407858432e-05,0.000352142606057709,0.00082972873637468,0.00139285787687287,0.00154231305980259,0.00193069495889667,0.00135549465253912,0.00072243292038504,-0.000404527501254174,0.000597235830638542
"T+10",2.908114774421e-05,0.000350950118998889,0.000829995261908817,0.00139273330909392,0.00154549215357314,0.00186303188459572,1.91835687757908e-05,0.000624123649904383,-0.000406952030461183,0.000495605992008667
"T+11",2.90343733317648e-05,0.000351458516477312,0.000829899840602654,0.00139269200395093,0.00154553220781842,0.0018056158583077,0.00135674442252459,0.00053597560490453,-0.000405852944074409,0.000587806276595098
"T+12",2.90182379487598e-05,0.00035127711884151,0.000829934003279409,0.00139267831224596,0.00154495052288229,0.00175689513605632,1.79326299550499e-05,0.000456938523555808,-0.000406349147731132,0.000504160675404264
"T+13",2.90126718588592e-05,0.000351352075866344,0.0008299217723791,0.00139267377441504,0.00154485948393296,0.0017155528802848,0.00135799653127195,0.000386070698566208,-0.000406124672103818,0.000580045324033451
"T+14",2.90107517707663e-05,0.000351324642283381,0.00082992615127843,0.00139267227053901,0.00154495387968502,0.00168047166746405,1.66793501869991e-05,0.00032252775729193,-0.000406226119554967,0.000511201538222824
"T+15",2.90100894138245e-05,0.000351335740133058,0.000829924583547612,0.00139267177215504,0.00154498427487839,0.00165070329948642,0.00135925098315588,0.000265552601269142,-0.000406180249416178,0.00057365773885417
"T+16",2.90098609260171e-05,0.000351331607261338,0.000829925144825626,0.00139267160699269,0.0015449712024728,0.00162544317705605,1.54237250909828e-05,0.00021446638557433,-0.000406200984762907,0.000516996459251478
"T+17",2.90097821064641e-05,0.000351333255155309,0.00082992494387722,0.00139267155225886,0.00154496370632577,0.00160400855270794,0.00136050778256121,0.000168660430554689,-0.000406191610309093,0.000568400492377015
"T+18",2.90097549167334e-05,0.000351332634152816,0.000829925015820644,0.00139267153412043,0.00154496504405718,0.00158582007709011,1.41657502780664e-05,0.000127588969560282,-0.000406195848242574,0.00052176591864179
"T+19",2.90097455373164e-05,0.000351332879337518,0.000829924990063504,0.00139267152810948,0.00154496662156736,0.00157038613992725,0.001361766933881,9.07626462690899e-05,-0.000406193932331039,0.000564073561354456
"T+20",2.90097423017763e-05,0.000351332786189417,0.000829924999285059,0.00139267152611749,0.00154496660119899,0.0015572895824503,1.29054213511016e-05,5.77426841272006e-05,-0.000406194798475318,0.000525691380741739
"T+21",2.90097411856388e-05,0.000351332822720192,0.000829924995983564,0.00139267152545736,0.00154496630677244,0.00154617642215055,0.00136302844151649,2.81356584344518e-05,-0.000406194406906348,0.0005605123183816
