"","WMT","JNJ","CSCO","PG","CVX","VZ","MRK","KO","MCD","NKE"
"T+1",0.00184139885416622,-0.000364827112163474,-0.00345421287898006,0.00114756194243913,0.00447190834781572,4.41805192154303e-05,0.00169673205924694,0.0017137997984924,0.00667001448566906,0.00348247151510317
"T+2",0.000538102583792817,0.000753137460870781,-0.000109791447100638,0.00178277476619415,-0.00354688757628791,0.000717324522125865,-0.000730643038841111,0.0013865450286966,0.0056027976117471,0.000691794693269357
"T+3",0.000708666802739316,0.000684770004789733,-0.00119753851682229,0.000129355587589054,0.000681214287326843,0.000493927273847617,0.000965658862907484,0.00155162525011657,0.00540537808305673,0.00298517679351065
"T+4",0.000690711846291969,0.000846723435882523,-0.000793954272218578,0.00184513394113483,-0.00269911134782115,0.000564460995559503,0.000193359647267875,0.00148434845149286,0.0051808562997548,0.00237648904039835
"T+5",0.000696578693713683,0.000822876658113327,-0.00091932231541567,0.000269991951918208,-0.000225003933666675,0.000542131357831986,0.00059335049842342,0.00151609535255517,0.00497343567318062,0.00264298116216337
"T+6",0.000699163858073104,0.000847570125258493,-0.000869922572431334,0.00167515500270772,-0.00206573740266928,0.000549199452550541,0.000394881250753306,0.00150256451175166,0.00477982658531649,0.00255302946474471
"T+7",0.000701945052537706,0.000842062223296026,-0.000884030405998741,0.000430822649672542,-0.000700508533390486,0.000546962140434115,0.000494732396569161,0.00150875097313671,0.00459921079176513,0.00258751685665379
"T+8",0.000704493025000246,0.000845992727796777,-0.00087783727862296,0.00153060373348049,-0.00171366809013583,0.000547670331745618,0.000444723215104907,0.00150605680746989,0.00443071117596109,0.00257512039114954
"T+9",0.000706876530229759,0.000844877245741503,-0.000879349800026827,0.000559078217403228,-0.000961869997946272,0.000547446163225572,0.000469806531970496,0.0015072702159717,0.00427351521215273,0.0025797218912915
"T+10",0.000709099784463625,0.000845523972880477,-0.000878543065736529,0.00141718920391421,-0.00151974115336665,0.000547517120782514,0.000457231407749059,0.00150673629145377,0.00412686459146357,0.00257804121605609
"T+11",0.000711174377246527,0.000845311254552181,-0.000878688328520729,0.000659280019247922,-0.00110577500894958,0.000547494660113699,0.000463536729762063,0.00150697504064689,0.00399005189014821,0.0025786600589566
"T+12",0.000713110144891712,0.000845420245742069,-0.000878577114504518,0.00132868164482658,-0.00141295723157981,0.000547501769739021,0.000460375324070182,0.00150686946426194,0.00386241714057708,0.00257843311661605
"T+13",0.000714916390439488,0.000845380948162038,-0.000878587072731107,0.000737453274407251,-0.00118501370218314,0.000547499519281893,0.000461960437555776,0.00150691651179679,0.00374334464846757,0.00257851651030771
"T+14",0.000716601778506359,0.000845399620927974,-0.000878570549548544,0.0012596371778445,-0.00135415843198739,0.000547500231634099,0.000461165673610731,0.00150689565765568,0.00363226002280863,0.00257848589712631
"T+15",0.000718174395989884,0.00084539249031778,-0.000878570178933424,0.000798434714128346,-0.00122864515444818,0.000547500006148504,0.000461564162954887,0.00150690493553529,0.00352862740507156,0.00257849714072774
"T+16",0.000719641788426904,0.000845395724576583,-0.000878567505089953,0.00120577722551906,-0.00132178185975839,0.000547500077522963,0.000461364363167822,0.00150690081837752,0.00343194688429445,0.0025784930122372
"T+17",0.000721010996509828,0.000845394444320217,-0.000878567129627942,0.000846004820567845,-0.00125267008095344,0.00054750005493033,0.000461464541410718,0.00150690264863622,0.00334175208557335,0.00257849452835463
"T+18",0.000722288589828687,0.000845395008510276,-0.000878566659595961,0.00116376243074214,-0.00130395424388201,0.000547500062081727,0.000461414312729839,0.00150690183599773,0.00325760792032736,0.00257849397162226
"T+19",0.000723480698397742,0.000845394780106491,-0.000878566544201867,0.00088311306089923,-0.00126589900333193,0.000547500059818047,0.00046143949704491,0.00150690219711559,0.00317910848748491,0.00257849417606613
"T+20",0.000724593042067224,0.000845394878973202,-0.000878566455729508,0.00113098774982328,-0.00129413776654121,0.000547500060534585,0.000461426869802656,0.00150690203673682,0.00310587511546711,0.00257849410099124
"T+21",0.000725630957967801,0.00084539483838285,-0.000878566426890909,0.000912060262332884,-0.00127318328731409,0.000547500060307774,0.000461433201015033,0.00150690210799263,0.00303755453552278,0.0025784941285601
