"","V","CSCO","PG","VZ","IBM","WMT","BA","MRK","MCD","KO"
"T+1",0.00140863003082548,-8.79076212774782e-05,0.000810955024967001,0.00261785374892432,-0.00453460418760821,-0.00136096186913527,-2.42881274023377e-05,0.00803875847407661,-0.000465532622003663,0.00121874108702575
"T+2",0.000889494736533889,0.00385967350510869,-0.000757674678642933,0.00267514690330491,0.000704507674214089,-0.00183246795200393,0.00126844259998074,0.00725764693106037,-4.0048962146506e-05,0.000878524116839602
"T+3",0.000997421058200803,0.00199080415294807,-5.47026696112032e-05,0.00258255662745979,-0.00205841639125327,-0.0005309530480763,-0.000421424191203153,0.00682616584901287,-5.46600126463247e-06,0.00064445335815609
"T+4",0.00107558802184773,0.00202066944193557,-0.000287187812921916,0.00248589569782121,3.0422849496161e-05,-0.000452296046067782,0.000828457615136395,0.00643511483367058,3.57296770530436e-05,0.000525851759190257
"T+5",0.00111877654536537,0.00180653425147531,-0.000193550924975708,0.00239244576088983,-0.00166843616360679,-0.000545735921497422,-0.000129688743680668,0.006067164269457,7.12147689324861e-05,0.000465369818457033
"T+6",0.0011421246845739,0.00175997267817373,-0.000226659003023558,0.00230244999194743,-0.000270943896953112,-0.000554690951184206,0.000602724514008426,0.00572021765605414,0.00010210907143113,0.000434531320007606
"T+7",0.00115472109803835,0.00172374380806542,-0.000213912840721121,0.00221579842979366,-0.00142247082334256,-0.000548094048161334,4.27377968981392e-05,0.00539303790955935,0.000128995543505533,0.000418807344292512
"T+8",0.00116151558797104,0.00170975925933879,-0.000218552515988522,0.00213236770550499,-0.000473382517473824,-0.000547210666170248,0.000470883529135657,0.00508449685703469,0.000152394471923871,0.000410789982805274
"T+9",0.00116518045935396,0.0017022011397876,-0.00021680048181651,0.00205203814634599,-0.00125564950598078,-0.00054766794994856,0.000143538226865328,0.00479353259120461,0.000172758226885643,0.000406702079941326
"T+10",0.0011671572462177,0.0016987783473267,-0.000217446305080409,0.00197469448265983,-0.00061087817945216,-0.000547748574489117,0.000393815007002942,0.0045191438025972,0.000190480513906407,0.000404617734630118
"T+11",0.00116822350072866,0.001697083346957,-0.000217204446037151,0.00190022572712923,-0.00114232127710089,-0.000547717529747199,0.000202462124357599,0.00426038622912208,0.000205903968842365,0.00040355496589002
"T+12",0.00116879862528289,0.00169628183548686,-0.000217294084168714,0.00182852501778201,-0.000704287221954688,-0.000547710531455889,0.000348763853395499,0.00401636940112229,0.000219326782833047,0.000403013079961207
"T+13",0.00116910884038536,0.00169589377837331,-0.000217260634740041,0.0017594894647606,-0.00106533027169762,-0.000547712587700081,0.000236906662509718,0.00378625357669407,0.000231008467395705,0.00040273678244815
"T+14",0.00116927616659162,0.00169570816187462,-0.000217273060904293,0.00169302000268189,-0.000767745911388089,-0.000547713173649678,0.000322428762864151,0.00356924685184502,0.000241174871721666,0.000402595903507282
"T+15",0.00116936642028681,0.00169561882404067,-0.000217268431085688,0.00162902124847966,-0.00101302539148478,-0.000547713041578735,0.000257041552698069,0.00336460243529207,0.000250022549157617,0.000402524071966852
"T+16",0.0011694151020186,0.00169557596230184,-0.000217270152761334,0.00156740136453072,-0.000810857430449511,-0.000547712993869311,0.000307034329250377,0.00317161607850784,0.000257722557292325,0.000402487446406149
"T+17",0.00116944136034525,0.00169555536482166,-0.000217269511714331,0.00150807192686884,-0.000977491363517912,-0.000547713002012733,0.00026881159882556,0.00298962365217056,0.000264423765118195,0.000402468771716886
"T+18",0.00116945552376331,0.00169554547486893,-0.000217269750202315,0.00145094779829708,-0.000840145824157041,-0.000547713005809419,0.000298035363174788,0.00281799886067732,0.000270255731207048,0.000402459249841661
"T+19",0.00116946316333659,0.00169554072413048,-0.000217269661429346,0.00139594700621677,-0.000953350840896269,-0.000547713005336101,0.000275691893902779,0.00265615108685564,0.000275331208545659,0.000402454394815345
"T+20",0.00116946728402835,0.00169553844256877,-0.000217269694461658,0.00134299062499756,-0.000860043290650627,-0.00054771300503985,0.000292774929925905,0.00250352335945608,0.000279748324458592,0.000402451919328115
"T+21",0.00116946950667874,0.00169553734671537,-0.000217269682167476,0.00129200266271986,-0.000936950650267899,-0.000547713005064814,0.000279713837388542,0.00235959043643164,0.000283592477764105,0.000402450657123417
