"","WMT","JNJ","CVX","PG","CSCO","NKE","GS","MRK","VZ","KO"
"T+1",-0.000839860896966301,0.00238289813186698,0.00158571554900385,0.00366932706438942,-0.00219882938225037,0.00253651131655867,0.000696665801614678,-0.00428258808745857,0.00105245455162113,0.00289376184189172
"T+2",-0.00147772127369059,-0.002754295801119,0.000444462870676189,0.000946703203648732,0.00312451097525135,-0.000474348544712921,0.000868907521282343,0.00080465749878646,0.00270961286535707,0.00140752122020562
"T+3",-0.00100692140127263,0.000838332310753537,0.00173202203214276,0.000636668485527258,0.0023478001459305,0.00203120156298661,0.00240432783376182,-0.000953392834521046,0.00219025402102746,0.00069448762663449
"T+4",-0.00078076165480332,-0.000237762574678502,0.000786387026766719,0.000450487209805168,0.00109220860425645,3.61104479960971e-05,0.00154371225952434,-3.30032454339158e-05,0.00162415156892059,0.000404479514029855
"T+5",-0.000623475068924916,0.000303810940103882,0.00149214035211298,0.000369040216382854,0.00079108197505719,0.00162917508499688,0.00220201047646154,-0.000434281207210715,0.00116799871097,0.000286835599428969
"T+6",-0.000520425686316799,0.000109389439980224,0.000965800169558176,0.000332252045849617,0.000915877225105187,0.000357354065781901,0.00173229929781072,-0.000245631309738335,0.000810653463054128,0.000239114652938049
"T+7",-0.000452340449703485,0.000195759733535535,0.00135834956971187,0.00031569614632928,0.00101551056786931,0.00137272242282187,0.00207221682892776,-0.000331523586022516,0.000531589900178271,0.000219757196596408
"T+8",-0.00040741069052716,0.000162318849011336,0.00106558300900618,0.000308242363706425,0.0010277683214761,0.000562095678374765,0.00182694777928811,-0.00029188744027431,0.000313736718095988,0.000211905065855925
"T+9",-0.00037775617461544,0.000176450795823366,0.00128393072448116,0.000304886684891851,0.00101374835701561,0.00120926549195036,0.00200403006968333,-0.00031007458302184,0.000143674765452845,0.000208719938840118
"T+10",-0.000358184106314232,0.000170805229069508,0.00112108519800962,0.000303375956673119,0.00100652966052826,0.00069259272093847,0.00187619410117452,-0.000301709407594954,1.09205178240886e-05,0.00020742792850024
"T+11",-0.000345266436856575,0.000173143055773363,0.00124253673432477,0.000302695826507181,0.00100655875835892,0.0011050822202297,0.00196848146968688,-0.000305553097912232,-9.27104285790011e-05,0.000206903839284938
"T+12",-0.000336740710527082,0.000172197002970396,0.00115195717716513,0.000302389631740918,0.00100789904987194,0.000775768200661531,0.00190185771106163,-0.000303786222533994,-0.000173607067370032,0.000206691248489711
"T+13",-0.000331113688170023,0.000172585525657209,0.00121951215772914,0.000302251782783663,0.00100836788620012,0.00103867846545754,0.00194995454390737,-0.000304598278276358,-0.000236756795814741,0.000206605013465414
"T+14",-0.000327399825087214,0.000172427466887043,0.00116912909622928,0.000302189723149971,0.00100828682152141,0.000828782125709402,0.00191523262417824,-0.000304225029441793,-0.000286052888448542,0.000206570033214235
"T+15",-0.000324948656752743,0.000172492157933113,0.0012067051989075,0.000302161783887968,0.00100817176073615,0.000996354409255844,0.00194029896837506,-0.000304396582041525,-0.00032453452263131,0.000206555843875476
"T+16",-0.000323330873310375,0.000172465783102072,0.00117868063171267,0.000302149205625499,0.00100814598766132,0.000862571846650591,0.00192220314849736,-0.000304317731995558,-0.000354574148294185,0.000206550088132518
"T+17",-0.000322263128092849,0.000172476562902762,0.00119958158499095,0.000302143542888713,0.00100815806828554,0.000969378137514725,0.00193526682843169,-0.000304353973327689,-0.000378023752998571,0.000206547753381226
"T+18",-0.000321558410873172,0.000172472164013028,0.00118399348170629,0.000302140993523251,0.0010081670909479,0.000884108551209865,0.00192583593585493,-0.000304337315921165,-0.00039632903972095,0.000206546806316072
"T+19",-0.000321093293959926,0.000172473960881747,0.00119561921766092,0.000302139845798307,0.00100816805740675,0.000952184151343299,0.00193264425749548,-0.000304344972066745,-0.000410618556589686,0.000206546422149925
"T+20",-0.000320786314455314,0.000172473227369625,0.00118694864793101,0.000302139329092261,0.00100816673697621,0.000897835496279365,0.00192772921438763,-0.000304341453116197,-0.000421773273554171,0.000206546266317322
"T+21",-0.000320583706436624,0.000172473526926301,0.00119341523032499,0.000302139096471075,0.00100816609174205,0.000941225143986749,0.00193127746754421,-0.000304343070511091,-0.000430480895491341,0.000206546203105609
