"","HD","UNH","CSCO","PG","CVX","VZ","KO","NKE","GS","MRK"
"T+1",0.00210459635049913,0.00167814673884896,0.00245230166540531,0.00134053665693928,0.00130348922932508,0.00165054478507781,0.00081935545028989,0.00203104405382594,0.00647841137048107,-0.0027026993028754
"T+2",0.00171395282450662,0.00125086301210108,0.000387085911678173,0.000562672804411837,0.000296524153137931,0.000782016886056106,-7.7039614506555e-05,0.00207712905688597,-0.000422824660605901,0.00107038014866447
"T+3",0.00177030247907028,0.0013726704883951,0.00224244092316035,0.000667786842148461,0.00162847700767306,0.000819954393625645,0.000909755751539354,0.00187500446136372,0.00462922708837825,-0.000439834866999238
"T+4",0.00174820674588935,0.00130676435320398,0.000426680368778345,0.000669458090096807,0.00124374754443299,0.000778627451767952,0.000819889843964949,0.00199962831973427,0.00220939499430906,0.000426290741238952
"T+5",0.00175221345989308,0.00134528911103601,0.00222462159196503,0.000666250974301343,0.00145026780890792,0.00074652778667009,0.000926570894513842,0.00193489391846294,0.00361732126535482,1.4408623756274e-05
"T+6",0.00175091559704666,0.0013226311605047,0.000441624843785786,0.00066680724148893,0.00136966935031709,0.000715583695748209,0.00091762191863786,0.00196715135829757,0.00287219201746662,0.000229481618203822
"T+7",0.0017511844617384,0.00133596342218867,0.00221014557754668,0.000666791055409806,0.00140628966644701,0.000686410782015593,0.000929161017801156,0.0019512608658341,0.00328467742585894,0.000122418620985684
"T+8",0.0017511062612322,0.0013281182522214,0.000455939504838341,0.000666778783727655,0.0013908637334741,0.000658849776303423,0.000928276989625612,0.00195906309188229,0.00306121821390743,0.00017701746901199
"T+9",0.00175112378140369,0.0013327346374636,0.00219595235930426,0.000666781533765339,0.00139760630654344,0.000632816829158665,0.000929525763149929,0.00195523583235329,0.00318353154294531,0.000149513507048072
"T+10",0.00175111899211272,0.00133001818681995,0.000470017176326368,0.000666781355111004,0.00139471236805783,0.000608226752114308,0.000929439281142062,0.00195711271917255,0.00311691234955698,0.000163455007167607
"T+11",0.00175112011580531,0.00133161664618262,0.00218198867436433,0.000666781312965783,0.00139596560896518,0.000584999616559921,0.000929574496220072,0.00195619236768982,0.00315328323847915,0.000156410476418176
"T+12",0.00175111981951725,0.00133067605396423,0.000483867876521517,0.000666781325797759,0.00139542526456192,0.000563059875654403,0.000929566137462952,0.00195664366146044,0.00313344899372565,0.000159975729216833
"T+13",0.00175111989094912,0.00133122953298411,0.0021682500346807,0.000666781324548076,0.0013956587418771,0.000542336174190428,0.000929580786143823,0.00195642237132201,0.00314427113887002,0.000158172812742657
"T+14",0.001751119872507,0.00133090384559327,0.000497495363608139,0.000666781324429554,0.00139555796574829,0.000522761111527243,0.000929579990533852,0.00195653087986735,0.00313836779521872,0.000159084907471787
"T+15",0.00175111987702481,0.00133109549202022,0.00215473280074734,0.000666781324486209,0.00139560148658373,0.000504271022829687,0.000929581578370898,0.00195647767325865,0.00314158839582206,0.000158623575618979
"T+16",0.0017511198758727,0.00133098272022126,0.000510903236411815,0.000666781324478832,0.00139558269664265,0.000486805771967868,0.000929581504148191,0.0019565037628421,0.00313983148477628,0.000158856939168847
"T+17",0.00175111987615759,0.00133104907929115,0.00214143340428491,0.000666781324478658,0.00139559081014451,0.000470308555937413,0.000929581676354552,0.00195649096995134,0.00314078994717197,0.00015873889916267
"T+18",0.00175111987608546,0.00133101003117631,0.00052409503416074,0.000666781324478894,0.00139558730694909,0.000454725720116228,0.000929581669617606,0.00195649724287831,0.00314026707630423,0.00015879860781727
"T+19",0.0017511198761034,0.00133103300852176,0.00212834833472249,0.000666781324478855,0.00139558881958222,0.000440006583761237,0.000929581688304188,0.00195649416698144,0.00314055232039465,0.000158768405565044
"T+20",0.00175111987609888,0.00133101948780748,0.000537074239020624,0.000666781324478855,0.00139558816645715,0.00042610327517717,0.000929581687716473,0.00195649567523135,0.00314039671039403,0.000158783682788375
"T+21",0.0017511198761,0.00133102744389253,0.00211547413806719,0.000666781324478856,0.00139558844846571,0.000412970576021334,0.00092958168974532,0.00195649493566892,0.00314048160087714,0.000158775955128904
