"","JPM","PG","IBM","AIG","CAT","DIS","BA","MRK","AXP","T"
"T+1",-0.000189804579835787,0.00151676865463633,0.000924899794894442,0.000604586788383888,-0.00251793500915263,0.00106054518699174,0.00178797066246923,0.00200111753428493,-0.0002847989749087,0.00308487691913754
"T+2",0.000523806861234507,0.000922484057281986,0.000818316635474005,2.03419403921671e-05,-0.00463988601848253,0.000885877867107319,-0.00100677283353406,0.00132629838240319,-0.000100077087471818,0.000256281858926979
"T+3",0.00183429690595372,0.000741010429518324,0.000811738407634793,0.000230755986528521,-0.00441009622418635,0.00109669451008291,-0.000246676337752411,0.00118031869378058,0.000304418742516107,0.000534860540503691
"T+4",0.00113725462109347,0.000657846375243377,0.000811254980156731,0.000203593726042889,-0.00394627372055312,0.00124475694580986,0.000451086234029353,0.00119480128928219,0.000442006479666725,0.00120121610279587
"T+5",0.00132270569839622,0.000610163998874587,0.000811219776771832,0.00020320329311712,-0.00350848685884814,0.00130884856065986,0.000866139155949946,0.00119858202696862,0.000459496677776568,0.00155728361521473
"T+6",0.00131156295588813,0.000580625530669619,0.000811217212113823,0.00020406906516463,-0.00312254642858022,0.00132979583848924,0.00109637231945191,0.00119828032010515,0.000454328066753808,0.00165661551294542
"T+7",0.00129649114528177,0.000561922856662778,0.000811217025275836,0.000203899180250848,-0.00278550353844689,0.00133476386960669,0.00122218612186146,0.00119818343451665,0.00045086709366976,0.00165442345793413
"T+8",0.00130482961964297,0.000550012311167502,0.000811217011664482,0.000203909735457206,-0.00249156280965148,0.00133525461964011,0.00129070661387402,0.00119818946489627,0.000449997661967115,0.00163563679813103
"T+9",0.00130254478546498,0.000542415813334747,0.00081121701067288,0.000203912430841511,-0.00223526275661591,0.00133495629867056,0.00132799533341183,0.00119819192377142,0.000449964768552909,0.00162460323299426
"T+10",0.00130270941081849,0.000537568907705842,0.00081121701060064,0.000203911562164583,-0.00201178969345221,0.00133471763869104,0.00134828419835029,0.00119819181058546,0.000450026875964423,0.00162119804165962
"T+11",0.00130288219108963,0.000534476052866571,0.000811217010595378,0.000203911666121614,-0.00181693994021641,0.00133460936640201,0.00135932296271373,0.00119819174874185,0.000450053256452769,0.00162106711249636
"T+12",0.00130278255606503,0.000532502422368684,0.000811217010594994,0.000203911669445101,-0.00164704741339335,0.0013345726075318,0.00136532887728734,0.00119819175064558,0.000450057935240328,0.00162158588228291
"T+13",0.00130281065867722,0.000531242989305933,0.000811217010594966,0.000203911665748822,-0.00149891549300144,0.00133456338733117,0.00136859653769978,0.00119819175218776,0.000450057446945014,0.00162192420296719
"T+14",0.0013028083131299,0.000530439305733284,0.000811217010594964,0.000203911666426299,-0.00136975698338787,0.00133456222324209,0.00137037438506169,0.0011981917521628,0.00045005686035183,0.00162203868147072
"T+15",0.00130280633943585,0.000529926449912831,0.000811217010594964,0.000203911666391241,-0.00125714168392687,0.0013345626241035,0.00137134166454958,0.00119819175212466,0.000450056679732739,0.00162204881411529
"T+16",0.00130280752856576,0.000529599180409942,0.000811217010594964,0.00020391166637902,-0.00115895066494392,0.00133456300517092,0.00137186793559166,0.00119819175212473,0.000450056661541106,0.00162203485703248
"T+17",0.00130280718347114,0.000529390339393644,0.000811217010594964,0.000203911666382589,-0.00107333639890122,0.0013345631870772,0.00137215426566646,0.00119819175212567,0.000450056670135113,0.00162202459328011
"T+18",0.00130280721604229,0.000529257071337671,0.000811217010594964,0.000203911666382195,-0.000998687997999487,0.00133456325121592,0.00137231005024336,0.00119819175212568,0.000450056674955587,0.00162202080735096
"T+19",0.00130280723849952,0.000529172028777098,0.000811217010594964,0.000203911666382175,-0.000933600904285436,0.00133456326814273,0.00137239480848753,0.00119819175212566,0.000450056676046858,0.0016220203097358
"T+20",0.00130280722432426,0.000529117760430045,0.000811217010594964,0.000203911666382191,-0.000876850461985702,0.00133456327067995,0.00137244092319347,0.00119819175212566,0.000450056676047275,0.00162202067253176
"T+21",0.00130280722855541,0.000529083130081753,0.000811217010594964,0.000203911666382188,-0.00082736887481629,0.0013345632701854,0.00137246601297824,0.00119819175212566,0.000450056675953818,0.00162202098048274
