"","PG","WMT","CAT","CVX","T","KO","MCD","MRK","HD","DIS"
"T+1",-9.93156906775353e-05,0.000614639487695632,-0.000448051989301288,0.000431725439117333,0.000891999626083684,0.00127752178738371,7.73857315749707e-05,-0.000405983929620205,-0.00370882400586352,0.00119740638869502
"T+2",0.000560115893303223,0.000281128044528923,-0.000645253264423908,0.000443461715127235,0.000994036040394935,0.00140175361711525,0.00013145756514848,0.000710101114507308,0.00687757274624243,0.000901160654924673
"T+3",0.000645492222664743,0.00101619930108335,-0.000608326844494169,0.000422083218256081,0.000838284474158371,0.000466376731366863,7.48218201281228e-05,0.000794745304169647,-0.00275166450976745,0.00122838671816897
"T+4",0.000656957183382081,0.000695777581492724,-0.000553715547450664,0.000422618557683453,0.000988269922493226,0.000718538618905338,0.000105351775118698,0.00073153824170371,0.00612093353496853,0.000909459752608547
"T+5",0.000658501245174156,0.000862575893625167,-0.000511494325827975,0.000422489362872571,0.000839202521089726,0.000507953409602935,8.8435173186883e-05,0.000690218842917365,-0.00204391193526284,0.00121893603765784
"T+6",0.000658709240828366,0.000778609857490131,-0.00048190955022234,0.000422495148446898,0.000986969526990745,0.000600173144536156,9.77944070584367e-05,0.000674637184925814,0.00547060448308776,0.000918679833069717
"T+7",0.000658737259748436,0.000821131161029798,-0.000461643155958124,0.000422494311519324,0.000840460105044282,0.000543951113578406,9.26159134000874e-05,0.000670447061815762,-0.00144529287594765,0.00120998884353073
"T+8",0.000658741034158728,0.000799621026171423,-0.000447837778648612,0.00042249436172606,0.000985720086830971,0.000572508748036981,9.5481177342321e-05,0.000669751298672094,0.00491968055121066,0.000927360479708458
"T+9",0.000658741542607108,0.000810504398082557,-0.000438446917484055,0.000422494356024078,0.000841698681856235,0.000556519969642353,9.38958245302006e-05,0.000669790308957577,-0.000938255082791644,0.00120156686698005
"T+10",0.000658741611099863,0.000804997985445059,-0.000432061242476435,0.00042249435642539,0.000984492053978034,0.000565010044793197,9.47730014869276e-05,0.000669877857890117,0.00445303377630091,0.000935531491835969
"T+11",0.000658741620326478,0.000807783957406499,-0.000427719453667867,0.000422494356385237,0.00084291624221885,0.000560371408604256,9.42876587871226e-05,0.000669920024372031,-0.000508781672275985,0.00119363934093241
"T+12",0.000658741621569389,0.000806374395211674,-0.000424767425121499,0.000422494356388325,0.000983284875310639,0.00056286694648517,9.45561992844967e-05,0.000669933703404136,0.00405777248430617,0.000943222787385422
"T+13",0.000658741621736821,0.000807087563186142,-0.000422760321166018,0.000422494356388037,0.000844113127591055,0.000561513136417361,9.44076156161752e-05,0.000669936813743689,-0.000145007139574913,0.00118617723650378
"T+14",0.000658741621759376,0.000806726735871608,-0.000421395679789243,0.00042249435638806,0.00098209819545557,0.000562244265363103,9.44898270766728e-05,0.000669937126505067,0.00372297645621192,0.000950462530305935
"T+15",0.000658741621762414,0.000806909296441376,-0.000420467852717986,0.000422494356388058,0.000845289688947866,0.000561848454508822,9.44443394109455e-05,0.000669936990684635,0.00016311882954481,0.00117915322899271
"T+16",0.000658741621762823,0.00080681692992628,-0.00041983701812188,0.000422494356388058,0.000980931666319253,0.000562062452563819,9.44695077721544e-05,0.000669936889277905,0.00343939599264955,0.000957277231056684
"T+17",0.000658741621762878,0.000806863662761983,-0.000419408110311032,0.000422494356388058,0.000846446271405715,0.00056194667062064,9.44555820981104e-05,0.000669936849175954,0.000424109097726383,0.00117254159791899
"T+18",0.000658741621762886,0.00080684001828508,-0.000419116493601665,0.000422494356388058,0.000979784945727234,0.000562009289444162,9.44632871845072e-05,0.000669936837916111,0.00319919637089209,0.000963691843679279
"T+19",0.000658741621762887,0.000806851981207501,-0.000418918221845128,0.000422494356388058,0.000847583214221367,0.000561975416012983,9.44590239541462e-05,0.000669936835875809,0.000645174268831882,0.00116631813284068
"T+20",0.000658741621762887,0.00080684592856724,-0.000418783415820089,0.000422494356388058,0.000978657697315496,0.000561993737668781,9.44613828028566e-05,0.000669936835891131,0.00299574138824749,0.000969729857174358
"T+21",0.000658741621762887,0.000806848990900409,-0.000418691760484491,0.000422494356388058,0.000848700850890753,0.0005619838271452,9.44600776500106e-05,0.000669936836095891,0.000832421901536348,0.00116046004470039
