"","PFE","GS","CSCO","WMT","VZ","CVX","HD","MRK","NKE","BA"
"T+1",0.000471443157096814,0.000490809699504073,0.00151612385696692,0.00115880167889491,-0.00318337695694257,-0.000562900421827261,0.000225935112911214,0.00198742224833948,-0.000971653172224819,0.00134475094397286
"T+2",-0.00037934267759587,-0.000132491653707808,0.00182974168162498,0.00102838818409101,-0.00162845762566264,0.000479390003276384,0.000794674673297873,0.00148330137283205,-0.000968171401485623,0.000202117219155059
"T+3",0.000573400273534841,0.00106691292869236,0.00151920778480903,0.000575910630403979,-0.000299097611337394,0.000223374513584086,0.000801012065272873,0.0013715762383542,-0.00095677791052583,0.000493234415015575
"T+4",-0.000355558239095465,0.00102374025249345,0.00135701273306422,0.00065633035116004,-0.000463135942011197,0.000319219286327084,0.000774984803208043,0.00125820416216345,-0.00094619343586479,0.000910766746989311
"T+5",0.000542837433520242,0.0011773845711851,0.00124270792591143,0.000690708316146857,-0.000240186434696909,0.00028106256643972,0.000773653092370673,0.00116250296893337,-0.000935752483120401,0.00119632367190982
"T+6",-0.000325548469156755,0.00117659302998246,0.001165686855675,0.000677383246740842,-0.000324305477348897,0.00029635616708679,0.000774802600525715,0.00108079625974644,-0.000925501884847807,0.00135616239126804
"T+7",0.000513802105869952,0.00119642259982381,0.00111347559812116,0.000675840858689692,-0.000271105964180477,0.00029022194798887,0.000774910018409349,0.00101109045135497,-0.000915434485377381,0.00143721500441607
"T+8",-0.000297482232737261,0.00119693817410205,0.00107811144105119,0.000677432978770012,-0.000297171443869216,0.000292682551227913,0.000774861189704422,0.000951619883709626,-0.000905547290320459,0.00147587523530225
"T+9",0.00048667424202627,0.00119951665616642,0.00105415563573153,0.00067735478645457,-0.000282803474737237,0.00029169552804765,0.000774854277168217,0.000900881836732894,-0.000895837052827233,0.00149353394578287
"T+10",-0.000271261468380285,0.00119966362125821,0.00103792813370169,0.000677203465339014,-0.000290289139731882,0.000292091453550468,0.000774856257523754,0.000857594037650263,-0.000886300607383838,0.00150133394826792
"T+11",0.000461330251863059,0.00120000139718914,0.00102693570994767,0.000677233898143012,-0.000286284137908846,0.000291932635580681,0.000774856655982571,0.000820662511244057,-0.000876934843369806,0.00150468477403182
"T+12",-0.000246764935078222,0.00120003091289653,0.00101948950251542,0.000677244870589803,-0.000288400051469886,0.000291996342383053,0.000774856580379065,0.000789153918223917,-0.000867736705971681,0.00150608953525217
"T+13",0.000437652838032432,0.00120007548065702,0.0010144454823365,0.000677240130023362,-0.000287275488553034,0.000291970787613162,0.000774856558949449,0.000762271968555107,-0.000858703195040311,0.00150666532770304
"T+14",-0.000223879250856801,0.00120008068339985,0.00101102869067909,0.000677239710018543,-0.000287871482847818,0.00029198103842218,0.000774856561587563,0.000739337297446888,-0.000849831364123399,0.00150689625568117
"T+15",0.000415532409423673,0.00120008660464644,0.0010087141747128,0.000677240257354517,-0.000287555195677356,0.000291976926505463,0.000774856562683079,0.000719770296343086,-0.000841118319503618,0.00150698685946613
"T+16",-0.000202498489106315,0.00120008746145243,0.00100714633426631,0.000677240219194074,-0.000287722939223046,0.000291978575922505,0.000774856562604905,0.000703076464964835,-0.000832561219254832,0.00150702159300197
"T+17",0.000394866581418422,0.00120008825330478,0.00100608428772982,0.000677240168845286,-0.000287633949390333,0.000291977914290287,0.000774856562551163,0.000688833914223051,-0.000824157272315145,0.00150703457131366
"T+18",-0.000182523688763528,0.0012000883886959,0.00100536486321937,0.000677240180213725,-0.000287681152786097,0.000291978179691444,0.00077485656255263,0.000676682704172099,-0.000815903737576539,0.00150703927800226
"T+19",0.000375559702031214,0.00120008849523926,0.00100487752899394,0.000677240183680365,-0.000287656112728603,0.000291978073230827,0.000774856562555172,0.000666315747551809,-0.000807797922990814,0.00150704092292403
"T+20",-0.00016386239627122,0.00120008851605451,0.00100454741145717,0.000677240182003204,-0.000287669395342855,0.000291978115935475,0.000774856562555206,0.000657471049030729,-0.000799837184691524,0.00150704147005081
"T+21",0.000357522409183453,0.00120008853047083,0.00100432379164474,0.000677240181897106,-0.000287662349412387,0.000291978098805319,0.00077485656255509,0.000649925084019583,-0.000792018926131626,0.00150704163914423
