"","HD","PFE","PG","XOM","MRK","CVX","VZ","MCD","WMT","KO"
"T+1",-0.00442135723347706,-0.00513735953335158,-0.00130830771089077,-0.00458615370630545,0.00118485430549566,-0.000945282237692456,0.00484984639205496,0.00539449923360963,-0.000130426659403195,0.00370053122810835
"T+2",0.00109676586223482,-0.0016683159266375,0.00270418269139695,0.00402465645607102,0.00218824318216355,-0.000869336542702002,0.00373099950443217,0.000732630392370174,-0.00236647748421013,7.61018502318623e-05
"T+3",0.0015793341968056,-0.000398850974273136,-0.000841409575759199,-0.00536293147000885,-0.000414685449137896,-0.000869035596201603,0.00234098620405384,-0.000178007824055883,-0.00122507946480987,0.00128902446652333
"T+4",0.00124879565594702,-0.000260550032983101,0.00233690277559503,0.0041192803798679,-0.000405837360912792,-0.00086898557214971,0.00148322868771537,0.0013814668439407,-0.000770472473656567,0.000398568920906963
"T+5",0.000975863047778426,-0.000101640810182612,-0.000511707466158512,-0.00547510444407556,-8.75794121813988e-05,-0.000868990255416343,0.000975933499774116,8.43835789982278e-05,-0.000387354388590446,0.00116015958968961
"T+6",0.000835902452647764,-0.000132077464287805,0.00204140706666577,0.00423238518013774,-0.000104766147584561,-0.000868989734482475,0.00067703148317646,0.0010393619422757,-0.000114927154861369,0.000497837910724653
"T+7",0.000776247647269469,-9.63350898939775e-05,-0.000246864450412597,-0.00558955198990273,-0.000142864403302623,-0.000868989791498167,0.000500975973265561,0.000359256251932035,8.47420213728054e-05,0.00107478328939366
"T+8",0.000753589538624804,-0.000113110625276615,0.00180403709349188,0.00434818179494899,-0.00013883232574679,-0.000868989785249043,0.000397281159308299,0.000838782380800171,0.000230252580509642,0.000572127127129526
"T+9",0.000745744431642373,-0.000101775160982705,-3.41176496780461e-05,-0.00570671380466421,-0.000134371547380874,-0.000868989785933885,0.000336206192441388,0.000501726099183813,0.000336407518218019,0.00101006676154927
"T+10",0.000743262851162786,-0.000108244616221975,0.00161335922208132,0.00446672489943722,-0.000135090948264811,-0.000868989785858832,0.000300233799115514,0.000738411997766193,0.000413835774791509,0.000628510862927228
"T+11",0.000742557284710074,-0.000104268164893397,0.0001367805754428,-0.00582665448384754,-0.000135600730640177,-0.000868989785867057,0.000279046508835083,0.00057225800156705,0.000470313202688284,0.000960942355085792
"T+12",0.00074238608830929,-0.000106631960422457,0.00146018883511717,0.00458807963014636,-0.00013548685214045,-0.000868989785866156,0.000266567459570121,0.000688887384522995,0.000511508469588845,0.000671310615556607
"T+13",0.000742356668553505,-0.000105205719314662,0.00027406209153904,-0.0059494399371714,-0.000135430195863547,-0.000868989785866255,0.000259217455465455,0.000607023519386793,0.000541556796546426,0.000923652967727213
"T+14",0.000742357464207633,-0.000106060545907793,0.0013371479847595,0.00471231267371908,-0.000135447006002117,-0.000868989785866244,0.000254888394878334,0.000664484424670258,0.000563474405090077,0.000703799084269013
"T+15",0.000742361431738683,-0.000105546669810787,0.000384339507517795,-0.00607513763748964,-0.000135453092496134,-0.000868989785866245,0.000252338632279557,0.000624152271033778,0.000579461371244444,0.000895347310940301
"T+16",0.000742363936000519,-0.000105855172706313,0.00123831000989506,0.00483949229848651,-0.00013545072627568,-0.000868989785866245,0.000250836853965467,0.000652461625344598,0.00059112245571654,0.000728460456071794
"T+17",0.000742365110687978,-0.000105669853995972,0.000472924692331939,-0.00620381665798909,-0.000135450100765315,-0.000868989785866245,0.000249952325301601,0.00063259114387774,0.000599628190323584,0.000873861031226692
"T+18",0.000742365586352775,-0.000105781145843064,0.00115891405930705,0.00496968839198009,-0.000135450422138002,-0.000868989785866245,0.000249431348969836,0.000646538335814666,0.000605832374965,0.00074718042913833
"T+19",0.000742365760143642,-0.000105714302326367,0.000544084638354503,-0.00633554771014657,-0.000135450482465262,-0.000868989785866245,0.000249124500419474,0.000636748731181219,0.000610357781510725,0.000857551209504044
"T+20",0.000742365818195753,-0.000105754447379241,0.00109513576985485,0.005102972499336,-0.000135450440063545,-0.000868989785866245,0.00024894377045706,0.000643620104176227,0.000613658667217312,0.000761390400684713
"T+21",0.000742365835841268,-0.000105730336383105,0.000601246994888027,-0.00647040318258616,-0.000135450434822466,-0.000868989785866245,0.000248837322767228,0.000638797052738142,0.000616066372765505,0.000845170737492592
