"","CAT","PG","CVX","WMT","KO","MCD","MRK","T","HD","DIS"
"T+1",0.000413193080857126,0.000650885406405445,0.00150739926222074,0.0015407413892801,0.00123884485049105,0.000691150581968602,0.00159860122893235,0.00110358303233727,0.00241533156465423,0.00339380171246171
"T+2",0.000549400907724017,0.000452962201602628,0.000623128695465556,0.0016286770360267,0.000158679559605436,0.00153371729589193,0.00138397386329079,0.000387955587967187,0.00233312186391966,0.00320220282546204
"T+3",0.000574093736289846,0.000599707650193117,0.00141861444609069,0.0015315013709174,0.000893874502273344,-0.000427472858718438,0.00123648809668734,0.00145953991147509,0.00243590698597721,0.00297437993113003
"T+4",0.00059699286241576,0.000492581980059355,0.00102397700742619,0.00150639754692712,0.000833927181283486,0.000765006943244311,0.00141065837359393,0.000986384500912294,0.00251796247953597,0.00279181752047807
"T+5",0.000619278280042367,0.000570774200261827,0.00124097330697858,0.00150345575290805,0.000882344015851731,0.000159996933104534,0.00123854339876762,0.00126418925514764,0.00257857885855606,0.00264611879298787
"T+6",0.000640978129134922,0.000513700895765405,0.00112419863990093,0.00150351639950251,0.000879148691449035,0.000450588487642874,0.00140624754366385,0.00111530341700852,0.00262317977611056,0.00252984604090974
"T+7",0.000662107920112701,0.000555359286374964,0.00118731498235561,0.00150361738855837,0.000882350230349219,0.000313687437992801,0.00124304280980647,0.00119730515076178,0.00265598968795694,0.00243705632051881
"T+8",0.00068268262979978,0.000524952399594363,0.00115323119370024,0.0015036389842182,0.000882190645554194,0.000377722010501164,0.0014018515255847,0.00115251676259269,0.00268012546965753,0.00236300688084573
"T+9",0.00070271684023981,0.000547146698273664,0.00117164030441046,0.00150364100085285,0.000882403239607126,0.000347851362881059,0.00124732190884577,0.00117704183359365,0.00269788033604396,0.00230391284012399
"T+10",0.000722224750390811,0.0005309468519224,0.00116169766546994,0.00150364082963144,0.000882396180520176,0.000361770960435394,0.00139768759859078,0.00116362285789283,0.00271094124593846,0.00225675373042329
"T+11",0.000741220186202904,0.000542771286007777,0.00116706765955293,0.0015036407303772,0.000882410358719571,0.000355287038433423,0.00125137364645186,0.00117096682373087,0.00272054916769119,0.00221911911277656
"T+12",0.000759716610417408,0.000534140510233258,0.00116416734382868,0.00150364071245131,0.000882410129008413,0.000358306876185616,0.00139374503771855,0.00116694789021837,0.00272761698770859,0.00218908537264864
"T+13",0.000777727132108365,0.000540440202035181,0.00116573379507801,0.00150364071123329,0.000882411078740433,0.000356900490287498,0.0012552099715615,0.00116914727119468,0.00273281624734909,0.00216511739841441
"T+14",0.000795264515973409,0.000535841992345111,0.00116488775982088,0.001503640711481,0.000882411079708372,0.000357555451934155,0.00139001208583028,0.00116794365721157,0.00273664094870578,0.00214599011734832
"T+15",0.000812341191380558,0.0005391982727821,0.0011653447007349,0.00150364071157437,0.000882411143609288,0.000357250435250067,0.00125884233570616,0.00116860233779619,0.00273945449168676,0.00213072587860183
"T+16",0.000828969261177353,0.000536748489250905,0.00116509790842147,0.00150364071158867,0.000882411144779157,0.00035739248155172,0.00138647759900263,0.00116824187351793,0.00274152420206872,0.00211854448263107
"T+17",0.000845160510268574,0.000538536611388606,0.0011652312001538,0.00150364071158922,0.000882411149097708,0.000357326330655141,0.00126228158260904,0.00116843913835807,0.00274304673116963,0.00210882330293382
"T+18",0.000860926413968623,0.000537231442691608,0.00116515920971917,0.00150364071158893,0.000882411149251062,0.000357357137082491,0.00138313102569915,0.00116833118476243,0.00274416674046335,0.0021010654618019
"T+19",0.000876278146134488,0.000538184098716444,0.00116519809152067,0.00150364071158884,0.000882411149544203,0.000357342790552881,0.00126553797948657,0.00116839026259407,0.00274499064643486,0.0020948744334594
"T+20",0.000891226587085051,0.000537488745308303,0.00116517709158512,0.00150364071158883,0.000882411149559586,0.000357349471720271,0.00137996237536271,0.00116835793212697,0.00274559673162869,0.00208993377647947
"T+21",0.000905782331312359,0.000537996290896225,0.00116518843358256,0.00150364071158883,0.00088241114957957,0.00035734636030603,0.00126862124769134,0.00116837562504283,0.0027460425825812,0.00208599095954456
