"","WMT","JNJ","PG","CVX","CAT","KO","AXP","AA","HD","DIS"
"T+1",0.00066222032591027,0.000859937729808844,3.85575231912194e-05,0.00158571292593107,0.0011357630867358,0.00112416656190982,8.29128552651808e-05,0.000621581629384875,0.00337262839887398,0.00192560687949007
"T+2",0.000382181273791142,0.000713126319691396,0.000137952775578602,0.00117028204647213,0.00127249378427559,0.000949164341510642,0.00109963303916047,0.0011321733226364,0.0019311316798178,0.0014965680477364
"T+3",-2.42340301936043e-05,0.000420933337563872,0.000132610612173814,0.00178395272600666,0.00129608525262759,0.00099821665689092,0.000379368207215364,0.000880119983758672,0.0016825832939084,0.00155991608294237
"T+4",0.000216806999615471,0.000417638130468667,0.000140070475277576,0.00140339802797089,0.00131515019334478,0.00104113683540827,0.000619325280010966,0.000844710638445918,0.0018361013801197,0.00156746297973497
"T+5",0.000168912770107367,0.000452959809459849,0.000145693859502777,0.00166408909068886,0.0013334811978893,0.00106738012106094,0.000521367433241142,0.000829365383103946,0.00195703063248085,0.0015610023853195
"T+6",0.000151813332777101,0.000455919050854509,0.000151313525295844,0.0014882708462178,0.0013512282666312,0.00108270316023047,0.000558803397890787,0.000825079792037398,0.00198611749994279,0.00156256089260424
"T+7",0.000167951270860291,0.000451834674051862,0.000156709334436618,0.00160712795450943,0.0013684142613128,0.00109158386128094,0.000544201373310894,0.000823708157850323,0.00197720019470907,0.00156248327720081
"T+8",0.000163065848689736,0.000451178714529825,0.000161916681221928,0.00152680663619281,0.00138505706837281,0.00109672446575312,0.00054986045081798,0.000823289199936476,0.00196740066733805,0.00156240762046721
"T+9",0.000162724647908088,0.000451628280948004,0.00016693883376763,0.00158108917090032,0.00140117386116744,0.00109969949868034,0.000547662833429657,0.000823159225731981,0.00196437620503911,0.00156243654448417
"T+10",0.000163699201538972,0.000451740672554999,0.000171782791117058,0.00154440439912411,0.00141678126513621,0.00110142118662921,0.000548515706775419,0.000823119113902692,0.0019647777892151,0.00156243225920231
"T+11",0.00016328936533268,0.000451694099706479,0.000176454824518675,0.00156919642801769,0.00143189538007511,0.00110241754278706,0.000548184649710414,0.00082310671312263,0.00196554390558993,0.00156243175504689
"T+12",0.000163323717326988,0.000451677048386756,0.000180961042386568,0.00155244166712467,0.00144653179692233,0.00110299414242111,0.000548313147089241,0.000823102881611124,0.00196583634520435,0.00156243219007031
"T+13",0.00016337532770274,0.000451681481414759,0.00018530732889502,0.00156376474285649,0.0014607056138472,0.00110332782539392,0.000548263270802746,0.000823101697542363,0.00196583188213711,0.00156243208487029
"T+14",0.000163344918996989,0.000451683877653436,0.000189499360309381,0.0015561124675251,0.00147443145182496,0.00110352093048241,0.000548282630176738,0.000823101331648623,0.00196577433619502,0.00156243209017817
"T+15",0.000163350904876959,0.000451683511697168,0.000193542611321687,0.00156128397031934,0.00148772346971896,0.00110363268198931,0.00054827511586277,0.000823101218579852,0.00196574750110321,0.00156243209526327
"T+16",0.000163353088994847,0.000451683193566449,0.000197442362334762,0.0015577890044445,0.00150059537888623,0.00110369735350771,0.000548278032531494,0.000823101183639511,0.00196574549435238,0.00156243209331335
"T+17",0.000163351049553406,0.000451683215062943,0.000201203706341579,0.00156015094582837,0.00151306045732141,0.0011037347794486,0.000548276900431068,0.000823101172842273,0.00196574961265359,0.00156243209360323
"T+18",0.000163351663104705,0.000451683255336849,0.000204831555578694,0.00155855471648004,0.00152513156335363,0.00110375643814916,0.000548277339854061,0.000823101169505721,0.00196575197378027,0.0015624320936369
"T+19",0.00016335170806552,0.000451683255637572,0.000208330647941254,0.00155963346811624,0.00153682114891049,0.00110376897221774,0.000548277169292717,0.000823101168474663,0.00196575232935977,0.00156243209360761
"T+20",0.000163351584663085,0.000451683250757956,0.000211705553170632,0.00155890443435062,0.00154814127236284,0.00110377622578656,0.000548277235495834,0.000823101168156046,0.00196575205311274,0.00156243209361471
"T+21",0.000163351636266764,0.000451683250367946,0.000214960678822401,0.00155939712443199,0.00155910361096357,0.00110378042348665,0.000548277209799199,0.000823101168057588,0.00196575185287305,0.00156243209361435
