"","JNJ","PG","CVX","BA","DIS","MRK","HD","KO","T","GS"
"T+1",0.000162935847897708,0.00367887356135354,-0.000791295835711021,0.000415965204321516,0.00122590100969447,0.00278395303398453,0.000493738479711188,0.00243430613916241,0.000318861277183174,0.00037493075233225
"T+2",0.000694751682034066,-0.000985105574710473,-0.00126607390562633,0.00119916849268055,0.000939943824558243,0.00231642131881382,2.8839612324697e-05,-0.00241110253107212,0.000416331014725279,0.00078192460114745
"T+3",0.000764624250875499,0.00144263720868092,-0.000453360583473539,0.00052164689530063,0.00137084985513938,0.00230456591024951,0.00130659876900488,0.00347975049380171,0.000391558039782208,0.000881375986174682
"T+4",0.000839403492905005,-0.000157971579543498,-0.000251428875570672,0.000674493290617279,0.000933368490428178,0.00225669121345083,0.000379334045169638,-0.00195383114394286,0.00040023372295631,0.000903234338784596
"T+5",0.000862179777329503,0.00103493553751951,-0.000106972895011889,0.00066061483428254,0.00136122881409709,0.00221370771963161,0.00112201773619433,0.00287768813583662,0.000397404965880999,0.000908839169198725
"T+6",0.000875251612507632,0.000101492544607669,-4.20746105844367e-05,0.000658118001972136,0.00094463867461723,0.0021721322330115,0.000534305802998868,-0.001393691168172,0.000398340689997587,0.000909984669548507
"T+7",0.000880444214517262,0.000844571511636093,-7.47465293446329e-06,0.000659370940894609,0.00135003494900023,0.00213218491908622,0.00100004388527688,0.00237895224753553,0.000398032081208635,0.000910309863967382
"T+8",0.000882968372068068,0.000249592411154642,9.74448073531791e-06,0.000659131413504338,0.000955558015690494,0.00209377995391995,0.000631027132016967,-0.000952681629804827,0.000398133924886119,0.000910366499134734
"T+9",0.000884062167413056,0.000726908168018371,1.85470648139998e-05,0.000659145297617856,0.00133940659234931,0.00205685962806109,0.000923414787073078,0.00198942244097176,0.000398100319777093,0.000910386427358898
"T+10",0.000884567567574814,0.00034374243285741,2.29995480889199e-05,0.000659151358758391,0.000965900386096162,0.00202136639572161,0.000691744166070586,-0.00060868462557876,0.000398111408658959,0.000910388812065373
"T+11",0.000884792777371508,0.000651393856517769,2.52610922587234e-05,0.000659149131993201,0.00132934284115233,0.00198724510776998,0.000875306264467068,0.00168564478900032,0.0003981077496127,0.000910390150455987
"T+12",0.000884895196199043,0.000404357238342076,2.64079110256318e-05,0.000659149490894681,0.000975692984869698,0.00195444273242792,0.000729862518866015,-0.00034042525636278,0.00039810895700532,0.000910390196996693
"T+13",0.000884941242195053,0.000602726180847502,2.69898334658521e-05,0.000659149484464379,0.00131981409367202,0.00192290828898676,0.000845103537579141,0.00144875101952832,0.000398108558596416,0.000910390299142657
"T+14",0.000884962077712185,0.000443435891516541,2.72850393212747e-05,0.000659149471456453,0.000984964989697954,0.00189259276722905,0.000753793372724112,-0.000131229763724474,0.000398108690061243,0.000910390291848092
"T+15",0.000884971471493123,0.000571346335144832,2.74348105185828e-05,0.000659149475274105,0.00131079191388576,0.00186344905136999,0.0008261421448836,0.0012640152481521,0.000398108646681187,0.000910390300814174
"T+16",0.000884975715374955,0.00046863389053086,2.75107931842054e-05,0.000659149474766426,0.000993744075724149,0.00183543184682166,0.00076881725842367,3.19061847660927e-05,0.000398108660995504,0.000910390299262677
"T+17",0.000884977630455993,0.000551112293665238,2.75493416842276e-05,0.00065914947474805,0.00130224937169831,0.00180849760979785,0.000814238106760976,0.00111995361094378,0.000398108656272143,0.00091039030014801
"T+18",0.000884978495208377,0.000484881881016624,2.75688984840866e-05,0.000659149474773954,0.00100205644751384,0.00178260447963906,0.000778249313915788,0.000159123732494402,0.000398108657830732,0.000910390299928254
"T+19",0.000884978885544202,0.000538065108650236,2.75788202537873e-05,0.000659149474767634,0.0012941609685914,0.00175771221375356,0.000806764704047549,0.00100761069465186,0.000398108657316437,0.000910390300022855
"T+20",0.000884979061771806,0.000495358810804903,2.75838538697993e-05,0.000659149474768295,0.00100992691655385,0.0017337821250731,0.000784170796053347,0.000258331200853222,0.000398108657486142,0.000910390299995052
"T+21",0.000884979141325335,0.000529652101427629,2.75864075774896e-05,0.000659149474768375,0.00128650256159918,0.00171077702192626,0.000802072871953121,0.000920002840921339,0.000398108657430144,0.000910390300005627
