"","JNJ","IBM","PFE","HPQ","MCD","KO","AXP","CAT","HD","AA"
"1",0.00127578954977031,-6.8255653726378e-05,0.00126242860405573,0.00432105614826577,-0.00104905375768106,0.000475639543992069,0.00219347547057966,0.00233068775213837,0.00504378241850971,0.0011337811123938
"2",0.000358490171538017,0.000124913648654193,0.00149373504347541,0.00301039386300143,-0.000424123200160078,0.000821579593753423,0.00217784779065031,0.000977651261202594,0.00446021850150291,0.00239220284047279
"3",0.000515937910360134,0.000657407146598861,0.000652988286134482,0.00232506008934817,-0.000253843032259578,0.00144004540677467,0.00214789257711156,0.00150932018809954,0.00357990015179172,0.00143728877596603
"4",0.000540283206658433,0.000317437516430622,0.000701946750649568,0.00249690366668767,-0.000242150775786368,0.00145832516188041,0.00212446340468763,0.00126840048510763,0.00300956737304194,0.00110798919400254
"5",0.000517795262155873,0.000471691903024645,0.000746193223669951,0.0025417846075651,-0.000251536074339722,0.00140606704069338,0.0021054501649479,0.00137917521470346,0.00266018488395475,0.00110677616185807
"6",0.000523674895281529,0.000411120737642064,0.000740136398575008,0.0025230688547599,-0.000255870918309809,0.00140039832032834,0.00209005470628311,0.00132817128688602,0.00244739928003476,0.00113312390718654
"7",0.000523551855592074,0.000432917529610272,0.000738064986844758,0.00252076268457303,-0.000256690388488995,0.00140449180018868,0.00207758701415754,0.00135165797814716,0.00231788709286867,0.00113949934268076
"8",0.000523079966229174,0.000425558582743372,0.000738562872531991,0.00252258203600072,-0.000256640481769367,0.00140530362055691,0.00206749039124147,0.00134084251321844,0.00223906471151383,0.00113888703594864
"9",0.000523258949129466,0.000427914099009975,0.00073864400812547,0.00252262778508408,-0.000256556855741891,0.00140501169797306,0.00205931391077456,0.00134582296827318,0.00219109299297121,0.00113822545143089
"10",0.000523236548916215,0.000427196707050615,0.00073860966766752,0.00252246606232549,-0.000256530556262757,0.00140491842541602,0.00205269240657818,0.00134352949912975,0.00216189717430663,0.00113811735876514
"11",0.000523228832953464,0.000427404250967864,0.000738607586150375,0.00252247581153068,-0.000256527719082663,0.00140493648014779,0.00204733015835039,0.00134458562767704,0.00214412846015181,0.00113814512081463
"12",0.000523233547944324,0.000427347648613865,0.000738609694988201,0.00252248901517894,-0.000256528795051616,0.00140494598695647,0.00204298768491822,0.0013440992869244,0.00213331433627296,0.00113816047860411
"13",0.000523232544253019,0.000427361946613312,0.000738609657657972,0.00252248704935313,-0.00025652941173784,0.00140494516230229,0.00203947104885288,0.00134432324387387,0.00212673280909373,0.00113816189192917
"14",0.00052323248840323,0.000427358734739331,0.000738609540358992,0.00252248607059288,-0.000256529549051591,0.00140494427264826,0.00203662319511026,0.00134422011306498,0.00212272726037879,0.00113816098637409
"15",0.000523232596349807,0.000427359304670892,0.000738609551152021,0.00252248632416684,-0.000256529549462032,0.00140494427474049,0.00203431693685985,0.00134426760417328,0.0021202894643976,0.00113816065630422
"16",0.000523232562774585,0.000427359268151651,0.000738609557032378,0.00252248638757182,-0.000256529538627123,0.00140494435213041,0.00203244927524578,0.00134424573480764,0.00211880581017972,0.00113816065091507
"17",0.00052323256527269,0.000427359235624569,0.000738609555983395,0.00252248636019404,-0.000256529534669614,0.00140494435799381,0.00203093679939706,0.0013442558055171,0.00211790285117279,0.00113816067633017
"18",0.000523232567327432,0.000427359258758475,0.000738609555726137,0.00252248635701554,-0.000256529534102777,0.00140494435173397,0.00202971196124878,0.00134425116801683,0.00211735330603056,0.0011381606828212
"19",0.000523232566375957,0.000427359247906917,0.000738609555804867,0.00252248635966038,-0.000256529534214011,0.00140494435073603,0.00202872005880569,0.00134425330355741,0.00211701885024572,0.00113816068231188
"20",0.000523232566534845,0.000427359252242927,0.000738609555813695,0.00252248635971179,-0.000256529534299644,0.00140494435120147,0.00202791679311871,0.00134425232015401,0.00211681529886582,0.00113816068166548
"21",0.000523232566561675,0.000427359250664325,0.00073860955580856,0.00252248635947797,-0.000256529534321765,0.00140494435132445,0.00202726628986774,0.00134425277300527,0.00211669141652879,0.00113816068155267
