"","JNJ","CAT","CVX","WMT","PG","KO","DIS","MCD","AA","MRK"
"T+1",0.000747307590475936,-0.000278766014250288,-0.00118055756764181,-0.000882869075824712,0.00103330353118489,-0.000350693787181752,0.000430316324811077,0.000850546277691509,-0.00163976874689165,-0.000175688255765615
"T+2",0.000792591155354354,0.00409532514676975,0.00460455754783514,0.000998561917683489,0.000574971875408465,0.00249155070848982,0.000382867643324289,0.00129213979784708,0.00601357679820268,0.00182075572719706
"T+3",0.000788260382601187,0.000235339856618527,-0.000508440755197422,0.000323250971431561,0.000516519486932204,-0.000389553631025979,3.371219350963e-05,0.000402200005866268,-0.00205782429724753,-0.00101451767171042
"T+4",0.000785716986927929,0.00394307374207565,0.00405610645436597,0.00045019627067966,0.000471276968241923,0.00220075765768405,0.000285413825270846,0.0012599584148471,0.0045204639075859,0.0011694353080118
"T+5",0.000785473874522825,0.000367464366649964,-1.58757051116772e-05,0.000386875900534024,0.000485131637068412,-0.000145923557826494,9.3281852685308e-05,0.000475048226504961,-0.000955452333129146,-0.000666856898000083
"T+6",0.000785536748954447,0.00381626525992934,0.00361688288762833,0.000392710559823014,0.000470473959752479,0.00197895858210154,0.000239529378528252,0.0011893871490554,0.00359404768810526,0.000853376318145129
"T+7",0.000785556919504734,0.000489749547823819,0.000375983145437675,0.000385840056338801,0.000480371441828979,5.48465396026243e-05,0.000128193219698537,0.000539659373651892,-0.000186425840388781,-0.000408549736480097
"T+8",0.000785557693834936,0.00369831709840575,0.00326729388677586,0.000385499171364593,0.000472813643975775,0.00179715435490151,0.000212951299929867,0.00113058190106491,0.00295496438310823,0.000638478111568863
"T+9",0.000785557005489084,0.000603515577276049,0.000687862769470778,0.000384603903257135,0.000478371198410749,0.000219472330576968,0.000148426580468423,0.000593146079025042,0.000344617682472905,-0.000230316125659001
"T+10",0.000785556860981791,0.00358858486778636,0.00298905606665724,0.000384424396687376,0.000474238356103041,0.00164808357993288,0.000197548025261819,0.00108193611237111,0.00251369205218155,0.000490575039257278
"T+11",0.000785556865054602,0.000709357037315593,0.000936087660186545,0.000384286962014777,0.000477301368343245,0.000354457822846201,0.000160152801222452,0.000637388750627309,0.000711294050779088,-0.000107593402039082
"T+12",0.000785556871568098,0.00348649622337163,0.00276760667388679,0.000384243804120844,0.000475028953330244,0.0015258524902741,0.000188621075858661,0.00104169804819493,0.00220900136658186,0.000388744126250131
"T+13",0.0007855568724745,0.000807825929514612,0.00113364977178786,0.000384220306774932,0.000476714321996518,0.000465139637761934,0.000166948718449843,0.000673984679484664,0.000964477569796819,-2.30979941621623e-05
"T+14",0.000785556872360152,0.0033915187380058,0.0025913551725759,0.000384211398574176,0.000475464230932866,0.00142562869134005,0.000183447472998814,0.00100841458828755,0.00199861786170072,0.000318633026427105
"T+15",0.000785556872304694,0.000899435802693489,0.00129088939360889,0.00038420714598593,0.000476391437612892,0.000555893569475093,0.000170887284158608,0.000704255497491152,0.00113929629139198,3.50775451201878e-05
"T+16",0.000785556872300198,0.00330315707174853,0.0024510766587106,0.000384205399139445,0.000475703712313456,0.00134344984550706,0.000180449117643274,0.000980883723851435,0.00185335178945051,0.000270361163246819
"T+17",0.000785556872301702,0.000984664433547671,0.00141603635863183,0.000384204608794191,0.000476213808863856,0.000630307565375425,0.000173169875208972,0.000729294414392165,0.00126000551266099,7.51317121812473e-05
"T+18",0.000785556872302131,0.00322095038840997,0.00233942903411792,0.000384204272947475,0.000475835462041324,0.00127606702052667,0.000178711424379674,0.000958111196638213,0.00175304814749429,0.000237125729726678
"T+19",0.000785556872302141,0.00106395631842011,0.001515640788311,0.000384204124339809,0.000476116087908112,0.000691323575165023,0.000174492748124766,0.000750005693467334,0.0013433530853146,0.000102709218399483
"T+20",0.000785556872302125,0.00314446995213289,0.00225056872519592,0.000384204060284473,0.000475907943217528,0.00122081624331856,0.000177704346325107,0.000939274592474206,0.0016837902648116,0.000214242957676621
"T+21",0.000785556872302122,0.00113772499150113,0.0015949159222297,0.00038420403220254,0.000476062327458213,0.000741353860538095,0.000175259417542427,0.000767137308330121,0.0014009031034012,0.000121696477528355
