"","JNJ","XOM","GS","UNH","VZ","PG","PFE","CAT","CVX","IBM"
"T+1",-0.000674150093812002,-0.00267062208032992,0.000871543446882371,0.00278874088774268,-0.00114783853472005,0.00123072081021117,0.00644391210197317,0.00196372042527195,0.000661865318018282,-0.000429221849007033
"T+2",0.00017546295270157,0.00379306195645648,-0.000195021202307925,0.00289072952014986,0.00161428725986495,-0.00176386304542573,0.00216162778748482,-0.000547865677217047,0.00307390411268622,0.000834436489255797
"T+3",0.000206950694529399,-0.00252779445485412,0.000458725666350413,0.00269658953504294,-0.000669923123690192,-0.000134244734502291,0.00105802748618282,0.00319175009740951,0.0009395677979444,-5.2111930961562e-05
"T+4",5.02931187194317e-05,0.00286059251770484,5.86069090855462e-05,0.00250910482905313,0.00129530640427363,-0.0003105187045081,0.00125317237030801,0.00163018451243843,0.000952128516605575,0.000206770902573753
"T+5",0.000138676996118788,-0.00163561496327465,0.000303495471568175,0.00234424192323824,-0.000395027664221311,-0.000425531396249782,0.000905993566974871,0.00202632401857638,0.00123897276303404,0.000182402448016203
"T+6",0.000111350067066534,0.00210244493323831,0.00015361395032863,0.0022001993329305,0.00105886585934358,-0.000373286396947305,0.00122653507972899,0.00198412425492055,0.00119171551410941,0.000167331277784638
"T+7",0.000113316854560518,-0.0010033372181726,0.000245347390965234,0.00207440609520334,-0.000191659933914629,-0.000376985842317223,0.000902525123875928,0.00196676410574478,0.0011604024864988,0.000176270681265929
"T+8",0.000116577381674257,0.00157683032909249,0.000189202883881,0.00196455382348531,0.000883944802186706,-0.000381252549317122,0.00122493397355408,0.00197913585569648,0.00117177102076603,0.000173890822622698
"T+9",0.000114312348532969,-0.000566635256917126,0.000223565550906854,0.0018686226563663,-4.12064858236297e-05,-0.000379606006099166,0.000903269364700948,0.00197483059652718,0.0011742030220069,0.000174036685563573
"T+10",0.000115135040210085,0.00121403570614112,0.000202534234640097,0.00178484844715942,0.000754536482740753,-0.000379656672205807,0.00122404809316927,0.00197572668007722,0.00117227826396002,0.000174209079249342
"T+11",0.000115011601375555,-0.000265244980797877,0.000215406235046223,0.00171169059608051,7.01004556543567e-05,-0.000379810711967658,0.000904128661309846,0.00197570473727866,0.00117225483735599,0.000174119977477345
"T+12",0.000114951772590373,0.000963657593614463,0.000207528059835801,0.00164780373614886,0.000658798934534989,-0.000379759779517753,0.00122318703032088,0.00197563007408556,0.00117251903503808,0.00017414150332416
"T+13",0.000115007508721227,-5.72450142052182e-05,0.000212349815793528,0.00159201299309863,0.000152446426307623,-0.000379759081678918,0.000904986721210479,0.00197566810783759,0.00117248024473518,0.000174141000089443
"T+14",0.000114983953701674,0.000790863007688575,0.000209398709744868,0.00154329237960454,0.000587971354239587,-0.000379764519019525,0.00122233116256657,0.00197565689771779,0.00117245065171701,0.000174139087334907
"T+15",0.000114988967120701,8.63029341702315e-05,0.000211204903792595,0.00150074592746099,0.00021336678574603,-0.000379762976501769,0.000905840267469509,0.00197565867741622,0.00117246060124495,0.0001741399655612
"T+16",0.000114989797352773,0.000671611508474381,0.000210099441337417,0.00146359121079834,0.00053557241333795,-0.000379762876075403,0.00122147990877234,0.00197565888678495,0.00117246302584834,0.000174139774532552
"T+17",0.000114988488348305,0.000185370320497718,0.000210776028241989,0.00143114495733344,0.000258436267162818,-0.00037976306428762,0.000906689231125767,0.00197565861671466,0.00117246129429899,0.000174139770337101
"T+18",0.000114989134842378,0.000589311939096733,0.000210361930198863,0.00140281048304671,0.000496807161212126,-0.000379763018725879,0.00122063322844753,0.00197565872682724,0.00117246124118759,0.000174139791062853
"T+19",0.000114988961424799,0.000253740137959754,0.00021061537463913,0.00137806671921051,0.000291779113034103,-0.000379763012924527,0.000907533634151538,0.00197565869950003,0.00117246148395301,0.000174139782501807
"T+20",0.000114988960014734,0.000532514169981671,0.000210460256581055,0.00135645862997665,0.000468128246208869,-0.000379763019325432,0.00121979109657727,0.00197565870218383,0.00117246145258388,0.000174139784158088
"T+21",0.00011498898899652,0.000300924505217101,0.000210555194990102,0.00133758884430343,0.00031644647852951,-0.000379763018020934,0.000908373500971827,0.00197565870349083,0.00117246142471263,0.000174139784288156
