"","INTC","CVX","MCD","WMT","CSCO","HD","NKE","VZ","BA","GS"
"T+1",0.00240843866801902,-0.00126422256873612,-0.0011299355401119,-0.000266289045226855,0.000700030262248894,0.000385429383372003,-0.00105641511646429,0.00104269277497365,0.000922694864572914,9.91521145771376e-05
"T+2",0.000273198184374807,0.00096207255701945,-0.00151289541257867,0.000468827108877619,0.00144644959559506,0.000893645680160077,-0.000789189911406904,0.000311838166232705,5.46325540928567e-06,-0.000131059475751584
"T+3",0.000613860435464526,0.000704904013354563,-0.00156478470498086,0.000449359877501478,0.00131474093220663,0.000150475203988072,-0.000796747259010458,0.000624234652333317,-4.87892012187878e-05,-0.000110903308232697
"T+4",0.00093151293891476,0.000759001239639895,-0.00159764437200552,0.000455887426140918,0.00127672269129855,0.000814294402725541,-0.000796772718727424,0.000651689733653867,4.74954543346572e-05,-0.000100144886643458
"T+5",0.00098533511934545,0.000771757996350114,-0.00162961088916892,0.000460115830387328,0.00124394627211105,0.000204992478361244,-0.000796847488281357,0.000724226244647003,0.00013323735118184,-9.56045051560775e-05
"T+6",0.0009674350866835,0.000787882245623288,-0.00166173981629615,0.000463395860786638,0.00122043235549853,0.000763218234205544,-0.000796871310977707,0.000767309035779003,0.000187531168250651,-9.3707249638671e-05
"T+7",0.000956811950748505,0.000801904872708777,-0.00169409402781564,0.000465916619401805,0.00120321785989485,0.000251723202021665,-0.000796879489857465,0.000803367190685601,0.000218132064265811,-9.29148343624393e-05
"T+8",0.000955688429195561,0.000814674806158104,-0.0017266787168855,0.000467854725020964,0.00119064540638205,0.000720395533726747,-0.00079688228154171,0.00083026420040338,0.000234468717461525,-9.25838786280839e-05
"T+9",0.000956477074203448,0.000826228373602658,-0.00175949573536,0.000469344821541512,0.00118146063227294,0.00029096051438783,-0.000796883234842516,0.000851057684844153,0.000242943774326989,-9.24456536587122e-05
"T+10",0.000956815405307287,0.000836690923878548,-0.00179254675195837,0.000470490471124708,0.00117475094189512,0.000684443159541685,-0.000796883560363615,0.000866950436382284,0.000247269996676732,-9.23879234574823e-05
"T+11",0.000956828469265357,0.000846164284385893,-0.00182583343588779,0.000471371295209361,0.00116984933837253,0.000323902948652139,-0.000796883671518722,0.000879141377891436,0.0002494576710609,-9.23638122123095e-05
"T+12",0.00095679697010303,0.000854742130130115,-0.00185935746759439,0.000472048510198383,0.00116626859102405,0.00065425867144369,-0.00079688370947465,0.000888482059969821,0.000250557739240936,-9.23537420561118e-05
"T+13",0.000956786763518523,0.000862509094830199,-0.00189312053946807,0.000472569181861767,0.00116365276291609,0.000351560386242326,-0.000796883722435391,0.000895641472377816,0.000251109039058337,-9.23495362158444e-05
"T+14",0.00095678717062271,0.000869541835116838,-0.00192712435596391,0.00047296949636373,0.00116174183316293,0.000628916719256689,-0.000796883726861071,0.000901128362447808,0.000251384756697864,-9.23477796301462e-05
"T+15",0.000956788345944385,0.000875909758171027,-0.00196137063369032,0.000473277275165135,0.001160345849798,0.000374780705859704,-0.0007968837283723,0.000905333604110814,0.000251522476910297,-9.23470459852337e-05
"T+16",0.000956788633792639,0.000881675710366277,-0.00199586110149583,0.000473513908587431,0.00115932604802256,0.000607640408767471,-0.000796883728888336,0.000908556532404652,0.000251591215167948,-9.2346739575556e-05
"T+17",0.000956788592480695,0.000886896597051637,-0.00203059750055639,0.000473695842418781,0.00115858105657974,0.000394275759997322,-0.000796883729064546,0.0009110266175122,0.000251625507410354,-9.23466116023513e-05
"T+18",0.000956788550954116,0.000891623944220307,-0.00206558158446324,0.000473835720880023,0.00115803682115749,0.000589777483895169,-0.000796883729124716,0.000912919713728972,0.000251642610262386,-9.234655815384e-05
"T+19",0.00095678854358297,0.000895904407022802,-0.00210081511931144,0.000473943265385487,0.00115763924317496,0.000410643197745432,-0.000796883729145262,0.000914370600823082,0.000251651138606313,-9.23465358308594e-05
"T+20",0.000956788545828929,0.00089978023021705,-0.00213629988378905,0.000474025950171642,0.00115734880222656,0.000574780330833543,-0.000796883729152278,0.000915482574475463,0.000251655390808902,-9.23465265075789e-05
"T+21",0.000956788547226074,0.000903289665090378,-0.0021720376692669,0.00047408952174912,0.00115713662763889,0.000424384786588795,-0.000796883729154674,0.000916334801677907,0.000251657510801732,-9.23465226136742e-05
