"","HD","WMT","CSCO","PG","CVX","VZ","MRK","MCD","KO","NKE"
"T+1",0.00062444030178799,-0.0043040669602793,-0.0021671345976775,-0.00240507266507797,-0.00871340846741298,9.68602335583494e-05,-0.00127482147070276,0.00186502524753624,1.73123096954852e-05,0.0023243063295455
"T+2",0.00234039094507826,0.000931056089534077,0.000599761825859292,0.00260088179943073,0.00481696978245905,0.00080553468804097,0.00228747909466209,0.00190425573044506,0.00216696125512203,0.00200605415688689
"T+3",0.0012438093236588,0.00078105116737643,-0.000614342829163958,-9.87019639353524e-05,-0.00477941521995227,0.000943366443843261,0.000180245146353607,0.00189905699006302,0.00121739832063498,0.00231367637883763
"T+4",0.00154570962827917,-0.0003154259256405,-0.0003175629924516,0.00198454487804835,0.00281022527784212,0.000690466864769584,0.00128495666663332,0.00189692400725522,0.00151054703689667,0.00227799235000275
"T+5",0.00143975957905962,0.00098676911721763,-0.000457761546539278,0.000137225077250467,-0.00305634588005753,0.00088790604873709,0.000698624665919525,0.00189575369585151,0.00140091336733806,0.00229082828779908
"T+6",0.00147390796236513,-0.00025061147374262,-0.00042635014086246,0.00183932753731624,0.00149950378009883,0.000760698478863398,0.00100941236742473,0.00189512154918079,0.00143776775963252,0.00228861956228268
"T+7",0.00146258543486196,0.000862053077779959,-0.000442660386278722,0.000256159978014723,-0.00203509876986699,0.000836261495216916,0.000844654812145463,0.00189477984161805,0.00142463677858128,0.00228921472870636
"T+8",0.00146630372866277,-0.00012235363667286,-0.000439397969881508,0.00173202740660472,0.000707715294617936,0.000793216057679094,0.000931996244924565,0.00189459513769272,0.00142916755333335,0.00228909451357948
"T+9",0.00146507868803592,0.000744234089955235,-0.000441312013175879,0.000355451495470317,-0.00142059456944567,0.000817163230200568,0.000885694646606688,0.0018944952991161,0.00142757649235624,0.00228912358319487
"T+10",0.00146548185248816,-1.74446303177317e-05,-0.000440982475545063,0.00163957861172037,0.000230898983846459,0.000804027717092693,0.000910240129439992,0.00189444133306975,0.0014281298412986,0.00228911731528531
"T+11",0.00146534912089373,0.000651697177447493,-0.000441209345961863,0.000441655626447748,-0.00105059976055364,0.000811170552861,0.000897228035679897,0.00189441216264015,0.00142793636903329,0.00228911876792382
"T+12",0.00146539281393349,6.39404578668089e-05,-0.000441177476445367,0.00155916934688542,-5.62031507593046e-05,0.000807307459399766,0.000904126029287943,0.00189439639505998,0.00142800381719582,0.00228911844633681
"T+13",0.0014653784303042,0.00058018563900435,-0.000441204671148117,0.000516665754782823,-0.000827818849279738,0.000809389581505421,0.000900469253007058,0.00189438787216237,0.00142798026571481,0.00228911851961964
"T+14",0.0014653831652884,0.000126758189698111,-0.00044120181110794,0.00148919446049321,-0.0002290730482561,0.000808269822183806,0.000902407789562462,0.00189438326525486,0.00142798848215094,0.00228911850322326
"T+15",0.00146538160655921,0.00052500978681198,-0.000441205111484124,0.000581943704026191,-0.000693678076237129,0.000808871179974952,0.000901380129216848,0.00189438077506927,0.00142798561428344,0.00228911850693455
"T+16",0.00146538211968294,0.000175220429710925,-0.000441204891158242,0.00142829810841348,-0.000333161423286172,0.000808548517041277,0.00090192491429351,0.00189437942904174,0.00142798661501848,0.00228911850610064
"T+17",0.00146538195076578,0.000482444650170516,-0.000441205297052913,0.000638752575932564,-0.000612909271913596,0.000808721543600567,0.000901636111888104,0.00189437870146943,0.00142798626576348,0.00228911850628889
"T+18",0.00146538200637225,0.000212605943858621,-0.000441205286488954,0.00137530235390787,-0.000395835086371712,0.00080862879363714,0.000901789212317872,0.00189437830819258,0.00142798638764315,0.00228911850624652
"T+19",0.00146538198806695,0.000449608494996252,-0.000441205337106373,0.000688191157304233,-0.0005642767822047,0.000808678499744738,0.000901708050453717,0.00189437809561346,0.00142798634510887,0.00228911850625607
"T+20",0.00146538199409294,0.000241446333281419,-0.000441205337916607,0.00132918218146687,-0.000433572134739155,0.000808651865645254,0.000901751076121268,0.00189437798070743,0.00142798635995237,0.00228911850625392
"T+21",0.00146538199210922,0.000424277636833161,-0.000441205344318812,0.000731215658588484,-0.000534994201197257,0.000808666135598197,0.000901728267280103,0.00189437791859692,0.00142798635477226,0.0022891185062544
