"","JNJ","HPQ","PG","CVX","AXP","AA","MCD","KO","MRK","CAT"
"T+1",-0.000635064064880378,0.00484815082899579,0.00193249031702306,-0.000115855019277142,-0.00213988795388019,0.00357676068454256,0.00174937566523589,0.00136220400282824,0.00399791175030871,0.00195795055827206
"T+2",3.69366398525812e-05,0.00293588298330608,0.000293749445289292,-0.00094726647504208,0.00449435294795127,0.00324954380818882,0.00109092751228749,0.00123525945082149,0.00359177636467061,0.0021680342425027
"T+3",0.0008340965021956,0.00179951777717129,0.00128441577173801,0.00114041099822976,9.45566034068136e-05,0.00221390727331026,0.000838933508754227,0.00122223265008108,0.00344290530975232,0.00185394785986093
"T+4",0.000366708659956539,0.00166701363162268,0.000679176441510391,-4.02195300262037e-05,0.00305173573437477,0.00187683624910405,0.00071974906589752,0.00122369471811718,0.00335622205543629,0.00213709516821476
"T+5",0.000744757850879252,0.00168745188024538,0.00104902528117549,0.000802301675492503,0.00106618036652743,0.0018138055025542,0.000663737265083037,0.00122409945206079,0.00328700025722539,0.00187885033715511
"T+6",0.000454461147354633,0.0016963927599998,0.000823017476453408,0.000234483199532857,0.00239945508205744,0.00180922353848224,0.000637409447783915,0.00122410579086425,0.00322483176840069,0.00211430336252406
"T+7",0.000679046666312313,0.00169722341279332,0.000961126691439079,0.00062222791535767,0.00150418355779472,0.00181082595086354,0.000625034364832228,0.00122409792667176,0.00316715128677954,0.00189962852739759
"T+8",0.000505488195095908,0.00169702388903555,0.000876730688709144,0.000358261699741526,0.0021053435761542,0.00181160310786967,0.000619217600908669,0.00122409707881905,0.00311319480472506,0.00209535874507366
"T+9",0.000639634703735492,0.00169695479347932,0.000928303534719808,0.00053809136769076,0.00170167458194431,0.00181178788690048,0.000616483498635965,0.00122409716567698,0.00306262040058824,0.00191690131945669
"T+10",0.000535952845138686,0.0016969500077501,0.000896788316467667,0.000415600988495873,0.00197273162552047,0.00181181191865227,0.000615198365641648,0.00122409719126378,0.00301519286207715,0.00207961024160745
"T+11",0.000616088844686827,0.00169695184817592,0.000916046687069799,0.000499038140747301,0.00179072131035564,0.00181181083912121,0.000614594303815005,0.00122409719178073,0.00297071108231533,0.00193126004964367
"T+12",0.000554151536644941,0.00169695237250509,0.000904278250777156,0.000442203510412376,0.00191293822230083,0.00181180926335832,0.000614310371574512,0.00122409719129414,0.00292899088838741,0.00206651864004411
"T+13",0.000602023035463734,0.00169695239599866,0.000911469725883501,0.000480917463650055,0.00183087159024277,0.00181180877971154,0.000614176912525065,0.00122409719123908,0.00288986055527682,0.00194319634409736
"T+14",0.000565023035832852,0.00169695237968963,0.000907075147630355,0.000454546755670988,0.00188597797437702,0.00181180869378195,0.000614114181650091,0.00122409719124421,0.00285315924944103,0.00205563569920636
"T+15",0.000593620426944503,0.00169695237578648,0.000909760593625431,0.000472509641418341,0.00184897495017343,0.00181180868874703,0.000614084695731442,0.00122409719124583,0.00281873617390668,0.00195311888762521
"T+16",0.000571517432718428,0.0016969523757141,0.000908119566938216,0.000460273896514081,0.00187382186803463,0.00181180869134518,0.000614070836218102,0.00122409719124587,0.00278644990445136,0.0020465887998866
"T+17",0.000588600891550977,0.00169695237585423,0.000909122368183555,0.000468608495775971,0.00185713757423734,0.00181180869248499,0.000614064321714947,0.00122409719124584,0.00275616779848285,0.0019613674165505
"T+18",0.000575397044022587,0.00169695237588268,0.000908509574774716,0.000462931232536225,0.00186834080117556,0.00181180869274353,0.000614061259648459,0.00122409719124584,0.00272776544779727,0.00203906818679845
"T+19",0.00058560233039123,0.00169695237588238,0.000908884041563286,0.000466798403217317,0.00186081801984875,0.00181180869277452,0.000614059820359697,0.00122409719124584,0.00270112616694656,0.001968224350888
"T+20",0.000577714639349504,0.0016969523758812,0.000908655211791753,0.000464164209866757,0.00186586944290776,0.00181180869277211,0.000614059143838744,0.00122409719124584,0.00267614051373951,0.00203281636291685
"T+21",0.000583811055238518,0.001696952375881,0.000908795045459086,0.000465958538377311,0.00186247749599177,0.00181180869276974,0.000614058825847933,0.00122409719124584,0.00265270583959287,0.001973924464076
