"","HPQ","AIG","HD","PG","AA","CAT","MRK","BA","DIS","AXP"
"T+1",0.00196559671983595,-0.00275435236669662,-0.0041256135383576,0.0033045517558262,-0.000726581592044304,0.00217590223651646,0.00300959350193459,0.00154529094643807,0.00626189024917998,0.00166571022605233
"T+2",0.00165136958818488,-0.0038365094693443,0.00199362117831018,0.00333387706510311,0.00160178435275409,0.00133215986494666,0.00268386137120423,0.00192691420167008,0.00664541939504417,0.00246720269611948
"T+3",0.00139293828257282,-0.00133734559428846,-0.000465770117610927,-0.000844669479716705,0.00114263465540191,0.000812293760981775,0.00183428185465999,0.000945379104719881,0.0040402824899335,0.00133947752665856
"T+4",0.00151069058540295,-0.000975669087384617,0.000861044393260426,0.000363855726411879,0.00115032791104542,0.000761151654675556,0.0013618948295741,0.00124310026541184,0.00234078993022102,0.000863954578293499
"T+5",0.0014911015370771,-0.000367896900538027,0.00017040092396377,0.000687230858931757,0.00116444720665374,0.000746098676915016,0.00113482204771337,0.00118703960099007,0.00145568588260065,0.000737011663559806
"T+6",0.00148801924284776,-0.000149259738131252,0.000531293454700132,0.000398322803815159,0.00116152155825728,0.000744005065336807,0.00102907702645316,0.00119313022775539,0.00102155560127597,0.000711881149329962
"T+7",0.00149076731069712,2.92909479986751e-05,0.000342790749924089,0.000430026649650294,0.00116159488714611,0.0007435317325192,0.000980210189473862,0.00119340654140599,0.000812656009820158,0.000708552753490935
"T+8",0.00149006002446686,0.000117026085542986,0.000441254746738867,0.000467441237931093,0.00116168026591833,0.000743454762973797,0.000957671005405394,0.00119307757407496,0.000712779533621222,0.000708529421979866
"T+9",0.0014900762618464,0.000175010543092868,0.00038982254403789,0.000451461844754376,0.00116166166549914,0.00074343919832306,0.000947280073037974,0.00119317148693538,0.000665132651508415,0.000708687481881877
"T+10",0.00149013052938585,0.000207002054048563,0.00041668792666433,0.000450064083275819,0.00116166228050021,0.000743436480931744,0.000942490256845278,0.00119315456869254,0.000642419486971946,0.00070874966282857
"T+11",0.00149011002224995,0.000226655895640543,0.000402654914238402,0.00045304845879669,0.0011616627952309,0.000743435957721056,0.00094028240386409,0.00119315624595602,0.000631594988756906,0.000708765730503928
"T+12",0.00149011264831295,0.000237970758546841,0.000409984995547923,0.000452407484819518,0.00116166267722872,0.000743435863392001,0.000939264707577589,0.00119315638058822,0.000626436779778081,0.000708768811382918
"T+13",0.00149011346199439,0.000244743326474432,0.000406156160346041,0.000452112017516397,0.00116166268204318,0.000743435845621712,0.000938795607601212,0.00119315627133911,0.000623978809330393,0.000708769194075541
"T+14",0.00149011295242253,0.000248703167798692,0.000408156135296565,0.000452301238979043,0.00116166268513638,0.000743435842371226,0.000938579379354206,0.00119315630083167,0.000622807558942513,0.000708769187149995
"T+15",0.00149011306303639,0.00025105125491777,0.00040711145732225,0.000452293976151255,0.00116166268438932,0.000743435841764821,0.000938479710516791,0.00119315629575357,0.00062224944709644,0.000708769165267896
"T+16",0.00149011306726524,0.000252431874489958,0.000407657140191795,0.000452265551039945,0.00116166268442542,0.000743435841653176,0.000938433768892628,0.00119315629620543,0.00062198350188032,0.000708769157169204
"T+17",0.00149011305639236,0.000253247785868325,0.000407372105184419,0.000452274976355186,0.00116166268444394,0.000743435841632439,0.000938412592435977,0.00119315629626228,0.000621856776695161,0.000708769155141526
"T+18",0.00149011305986648,0.000253728496425076,0.000407520991946244,0.000452276826523274,0.00116166268443922,0.00074343584162861,0.00093840283130272,0.00119315629622629,0.000621796391062492,0.000708769154765365
"T+19",0.00149011305956404,0.0002540122378014,0.000407443221611818,0.000452274768394762,0.00116166268443948,0.0007434358416279,0.000938398331979534,0.00119315629623551,0.000621767616794469,0.000708769154721947
"T+20",0.00149011305937598,0.000254179532331077,0.000407483844598325,0.000452275067426278,0.00116166268443959,0.000743435841627768,0.000938396258049325,0.00119315629623399,0.00062175390561105,0.000708769154724069
"T+21",0.00149011305946793,0.000254278235090892,0.000407462625362932,0.000452275312713179,0.00116166268443956,0.000743435841627744,0.000938395302086321,0.00119315629623411,0.000621747372115587,0.000708769154727067
