"","JNJ","IBM","HPQ","PFE","KO","AXP","AA","MCD","MRK","DIS"
"T+1",0.00375023315626409,0.000392300525677575,0.00467722404801076,0.00656663529488695,0.000401775015756736,-0.00274180100669993,-0.00259046838168961,0.00481374868920239,-0.0084650390160995,0.0135691626731715
"T+2",0.00236060732798513,0.000329586939300981,0.00203979669573418,0.00192585467573806,0.000820415646724522,-0.00271362696476599,0.00607017007778547,0.00138151318876452,-0.00617675837327395,0.00198451461438044
"T+3",-0.000260841167907761,0.000384380574897788,0.0019886012087368,-0.00328167020949246,0.000103308664212346,-0.00266688924744826,0.00153012511622027,0.000157666290552969,-0.00485954565881348,-0.00301003237601245
"T+4",0.000844883346070473,0.000422225265814067,0.00179350804080284,-0.00228166630063579,-0.000346778228215416,-0.00263393941664848,-0.00143425944128763,0.000844446702597802,-0.00407006770859829,0.000484084919149617
"T+5",0.00108021495761893,0.000449360094400038,0.00162489013952926,-0.00168350812718621,-0.000580996594679935,-0.00261089258019014,-0.00226496702571366,0.00106019349962084,-0.003594276338265,0.000576773305892785
"T+6",0.000766344150101042,0.000468801248237355,0.0014704830362738,-0.00185887332917687,-0.000699090847607519,-0.00259477417637539,-0.00231437328201898,0.000923526815521396,-0.00330732313368863,-0.000123199550970524
"T+7",0.00081085152889866,0.000482730361237461,0.00132966584839423,-0.00192294808679702,-0.000758275888808255,-0.00258350136902242,-0.00224639187191885,0.00088589840041848,-0.003134242807076,3.40749494423664e-05
"T+8",0.00086590542280302,0.000492710228348462,0.00120120627066985,-0.00189532069416003,-0.000787902472058369,-0.00257561745046571,-0.00221070375980227,0.000912956924206922,-0.00302984535319326,0.00013028034110732
"T+9",0.000839331441174317,0.000499860557887271,0.00108402212606861,-0.00188913400429222,-0.000802729368446661,-0.00257010363568608,-0.00220214687182612,0.000919436089691768,-0.00296687547611157,7.57346022251062e-05
"T+10",0.000835414397334944,0.000504983593288343,0.000977123578948922,-0.00189318728267964,-0.000810149286092967,-0.00256624741200679,-0.00220219638066383,0.000914103984347358,-0.00292889364644235,7.07554046147578e-05
"T+11",0.000842425937672268,0.000508654122258826,0.000879607841192476,-0.00189367853548026,-0.000813862449074966,-0.00256355046594332,-0.00220314581313749,0.00091300580922333,-0.00290598397129585,8.25667418385172e-05
"T+12",0.000841138535018793,0.000511283966065944,0.000790651354622112,-0.00189311575200163,-0.000815720630741833,-0.0025616642895505,-0.00220356409101712,0.000914051910735018,-0.00289216543696096,8.05743724526593e-05
"T+13",0.000839998344961216,0.000513168184527493,0.000709502847914434,-0.00189309519117811,-0.000816650522029164,-0.00256034514511783,-0.00220364783602451,0.000914234350816154,-0.00288383044792062,7.87854123816277e-05
"T+14",0.000840628693790401,0.000514518180752073,0.000635476991060487,-0.00189316968354551,-0.000817115868212732,-0.00255942256860757,-0.0022036398733201,0.00091402997345773,-0.00287880299416729,7.9619149029225e-05
"T+15",0.000840685354141404,0.000515485419871936,0.000567948607541495,-0.00189316664406909,-0.000817348741743858,-0.00255877734174975,-0.00220362724455319,0.000914000458278277,-0.0028757705617166,7.97569369225818e-05
"T+16",0.000840530124249013,0.000516178422932212,0.000506347394472315,-0.00189315722503699,-0.000817465278815119,-0.00255832608627835,-0.00220362247245752,0.000914040228580896,-0.00287394147545958,7.95609588295548e-05
"T+17",0.000840565202514119,0.000516674942594919,0.000450153106176827,-0.00189315834001724,-0.000817523597546773,-0.0025580104895266,-0.00220362171174117,0.000914044829556129,-0.00287283821707212,7.95833309444654e-05
"T+18",0.000840588434214457,0.000517030686731686,0.0003988911605153,-0.00189315947504442,-0.00081755278203223,-0.0025577897690788,-0.00220362188947375,0.000914037120195014,-0.00287217275962591,7.96156891101798e-05
"T+19",0.000840573655202062,0.000517285568663559,0.000352128630857703,-0.00189315924367691,-0.000817567386845592,-0.00255763540273693,-0.00220362205122088,0.000914036442143587,-0.00287177137259115,7.96032555361346e-05
"T+20",0.000840573092655786,0.000517468185304233,0.000309470589853636,-0.00189315911432947,-0.000817574695543005,-0.00255752744279148,-0.00220362210413203,0.000914037931033443,-0.0028715292661235,7.96001006857839e-05
"T+21",0.000840576497905381,0.000517599025639621,0.000270556774120637,-0.00189315915421049,-0.000817578353039787,-0.00255745193831506,-0.00220362211021223,0.000914038021806353,-0.00287138323364959,7.96032986911186e-05
