"","JNJ","IBM","PFE","HPQ","MCD","AXP","KO","HD","CAT","DIS"
"T+1",0.000848473171901166,0.00026767049463473,-0.0020248605854501,-0.000162619148188825,0.00373819002088324,-0.00301661779615632,-0.000665093968275358,2.84990879981641e-05,-0.00305112209028589,0.003556903477717
"T+2",0.00300912770093293,0.00150199140634545,0.000267204756720582,0.00172286549721508,0.00112709946769981,-0.000938809580254321,0.00043153018319794,0.00332887771883089,-0.000889154110812195,0.00559812394695135
"T+3",-0.000550375787639052,0.000371144753699096,-8.82469708382439e-05,0.00279346860286652,-0.00100890649535454,-0.000670590904578932,0.000825436754611307,0.00287456980061523,-0.00126503250932351,-0.00108298060344544
"T+4",0.000563894886578017,0.00141466890302909,-0.000345439288749686,0.00225655724948333,-0.000847837795371977,-0.00090717875335891,0.000676606241519045,0.00247832922750243,-0.00116420941918229,-6.0561577862497e-05
"T+5",0.000708910296461377,0.000451789544024266,-0.000228477198660512,0.00228951946875772,-0.000530328804416973,-0.000893389219591786,0.000641287340982228,0.00267380783827856,-0.00119885138717385,0.000645262641080167
"T+6",0.000457582942202392,0.00134025700297774,-0.000218639633838747,0.00234271970790418,-0.000522185941305799,-0.000873696172456765,0.000660352622718682,0.00267808547543231,-0.00118589390037923,0.000369623346570518
"T+7",0.000537550668493157,0.000520450852261128,-0.000238668169336403,0.00232315739885305,-0.000566259594854469,-0.000878194218135343,0.000663161966810546,0.00264503628651301,-0.00119085483917895,0.000327642670687523
"T+8",0.000547251075159458,0.00127690188264784,-0.000235205668802824,0.00232269493171124,-0.000571699901268583,-0.000879285821386426,0.000660826856915484,0.00265449442154111,-0.00118894409937834,0.00037312341932736
"T+9",0.0005295088793432,0.000578909850174521,-0.000233046248729978,0.00232512414845485,-0.00056600149431253,-0.000878690137479377,0.000660654547057869,0.00265695431084587,-0.00118968114096327,0.000369966012513769
"T+10",0.00053524606393178,0.00122296063181887,-0.000234100220371336,0.00232446150363869,-0.000564678119005056,-0.000878686241011825,0.000660929816971651,0.00265466315409793,-0.00118939673028833,0.000364421996033246
"T+11",0.000535892511971912,0.000628682488174652,-0.0002341650629597,0.00232437233653461,-0.000565354539534868,-0.00087874213626366,0.00066093213448462,0.00265496763666751,-0.00118950648942384,0.000365927229850752
"T+12",0.000534640260471771,0.00117703445370063,-0.000233990456436518,0.00232447631262649,-0.00056560737715761,-0.00087873336153439,0.000660900809245268,0.00265524606019947,-0.00118946413042516,0.000366385241696737
"T+13",0.000535051738120519,0.000671059463181347,-0.000234023790243245,0.0023244560804989,-0.000565536402851222,-0.000878729610680787,0.000660902504111586,0.00265511109805974,-0.00118948047799679,0.000366092406326614
"T+14",0.00053509463543987,0.00113793239722002,-0.000234041838895736,0.0023244498646498,-0.000565493767274721,-0.000878731037748891,0.000660905946485576,0.00265510735707343,-0.00118947416898336,0.000366087320754512
"T+15",0.000535006268134837,0.000707139688840941,-0.000234032368493875,0.00232445407015852,-0.000565499646733177,-0.000878731152438296,0.000660905539405569,0.00265513041681556,-0.00118947660381992,0.000366127957441953
"T+16",0.000535035770727807,0.00110464047344888,-0.000234031989711602,0.00232445355764981,-0.000565506243676403,-0.000878731001310727,0.000660905174916935,0.00265512394027942,-0.00118947566414374,0.000366120746341704
"T+17",0.000535038603542609,0.000737858792397568,-0.000234033508318264,0.00232445321599314,-0.000565506054945481,-0.000878731015373696,0.00066090524380307,0.0026551221861976,-0.00118947602679286,0.000366116646206937
"T+18",0.000535032368969075,0.00107629536098828,-0.00023403319053856,0.00232445337688108,-0.000565505104383169,-0.000878731027094363,0.000660905280785108,0.00265512377648305,-0.00118947588683573,0.000366118419598907
"T+19",0.00053503448364414,0.000764013377244845,-0.00023403304044081,0.00232445336944694,-0.000565505038534441,-0.000878731023874053,0.00066090527067138,0.00265512357272078,-0.00118947594084937,0.000366118629989082
"T+20",0.000535034669671031,0.00105216201844169,-0.000234033125303872,0.00232445335278429,-0.000565505166446382,-0.000878731023313156,0.000660905267114305,0.00265512337713979,-0.00118947592000389,0.000366118348983723
"T+21",0.000535034229890319,0.000786281680330982,-0.000234033126947394,0.00232445335857263,-0.000565505188200856,-0.000878731023703566,0.000660905268482176,0.00265512347030149,-0.00118947592804879,0.000366118375124847
