"","JNJ","HD","HPQ","PG","AA","BA","AXP","MRK","KO","CAT"
"T+1",0.000494274229742662,0.000656434532953102,-0.00305735518154973,0.00114262329378857,0.00109623461219161,0.00195182150593324,-0.00568454990973824,0.0013427342726138,0.00197644123078965,0.00249394918961607
"T+2",-0.000502441090224526,0.000568473945260269,-0.000245081994391311,0.000896081932056647,0.00129250745443919,0.000474580793917756,-0.00283016720964446,0.00146841206165656,8.59765886637447e-05,0.00160000865717256
"T+3",6.57819530276861e-05,-0.000781696406538848,0.00147191399998421,0.000616698888008417,0.00115837369427418,0.000674740914907906,-0.00196084141967418,0.001008475661458,0.000697533555723175,0.00130870391909977
"T+4",0.000110265790027148,-0.000605614361454268,0.00156575731130348,0.000729338672091866,0.00123144273768726,0.000624121055011578,-0.00134054160417091,0.00135654376540995,0.000702366080872911,0.00115036875880284
"T+5",0.000163220058048305,-0.000707690482103186,0.00132192845647706,0.000726310736211942,0.00119175573151735,0.000619599315084991,-0.000924583008638934,0.00110549690378624,0.000757052216005343,0.00107817487476101
"T+6",0.00017788160262479,-0.000683761381758388,0.00123005668512186,0.000714628216122072,0.00121331056114602,0.000612353175273438,-0.000644798188431784,0.00128601290560835,0.000772651558471777,0.00104343943402136
"T+7",0.000185051883911398,-0.000692903364330047,0.00123990189797078,0.000718523524762933,0.00120160369701695,0.000608392215456109,-0.000456636502273029,0.00115623833578592,0.000781751225696408,0.0010270109707908
"T+8",0.000187698403770918,-0.000690286212651056,0.00125763883719783,0.000718644949521529,0.00120796193175333,0.000605750132154378,-0.000330092482569071,0.00124953321040043,0.000785637483691476,0.00101919887735394
"T+9",0.000188809859922515,-0.000691168590200012,0.00126166689179791,0.000718172102294727,0.00120450864584245,0.000604074925968738,-0.00024498810794043,0.00118246362854549,0.000787509837292763,0.00101549039864475
"T+10",0.000189248712717509,-0.000690898116752642,0.00126011307298346,0.000718302462834848,0.00120638419527979,0.000602999715834119,-0.000187753046642815,0.0012306798738085,0.000788368488424086,0.00101372899625463
"T+11",0.000189427081541004,-0.000690985681059352,0.00125898137160212,0.000718315688705113,0.00120536554643846,0.000602311661526953,-0.000149260874498243,0.00119601727066772,0.000788770123605324,0.00101289253218806
"T+12",0.000189498591524604,-0.000690958215228435,0.00125887177419607,0.000718297075133778,0.0012059187952312,0.000601871038131166,-0.000123373817109104,0.00122093617610405,0.000788956493484986,0.00101249528630478
"T+13",0.00018952744651639,-0.000690966988692017,0.00125901742302802,0.000718301261658841,0.00120561831461977,0.000601588917065062,-0.00010596405031938,0.00120302200371449,0.000789043253171637,0.00101230663312718
"T+14",0.000189539054302738,-0.000690964215508741,0.00125908082829334,0.000718302070008688,0.00120578151171849,0.000601408273619793,-9.42554974654836e-05,0.00121590048159236,0.000789083589479173,0.00101221704072496
"T+15",0.000189543730616251,-0.000690965097414465,0.0012590776374381,0.000718301355455409,0.00120569287607274,0.000601292607987578,-8.63811697051938e-05,0.00120664215869337,0.000789102352455677,0.00101217449288671
"T+16",0.000189545613234918,-0.00069096481793878,0.00125906653328512,0.000718301482531604,0.00120574101588503,0.000601218547327907,-8.10854650651593e-05,0.00121329795635167,0.000789111078463787,0.00101215428671445
"T+17",0.000189546371394433,-0.000690964906683772,0.00125906353812324,0.000718301523804048,0.00120571487017912,0.000601171126345676,-7.75239562623493e-05,0.00120851311108849,0.000789115136972419,0.00101214469070805
"T+18",0.000189546676670644,-0.000690964878536456,0.00125906436152713,0.000718301497019833,0.00120572907044092,0.000601140762723376,-7.51287424400749e-05,0.00121195293083181,0.000789117024539618,0.00101214013351916
"T+19",0.000189546799600232,-0.000690964887469974,0.00125906509829483,0.000718301500555339,0.00120572135799147,0.000601121320917626,-7.35178944618563e-05,0.00120948004838405,0.000789117902438273,0.00101213796928861
"T+20",0.000189546849100234,-0.000690964884635716,0.00125906519961277,0.000718301502476166,0.00120572554677878,0.000601108872343128,-7.24345543505058e-05,0.0012112578007248,0.000789118310742541,0.00101213694148528
"T+21",0.000189546869032695,-0.000690964885535117,0.00125906511424601,0.000718301501495793,0.00120572327176365,0.000601100901529682,-7.17059779654401e-05,0.00120997977661658,0.000789118500642309,0.00101213645337662
