"","HD","XOM","PG","PFE","MRK","WMT","CVX","VZ","MCD","KO"
"T+1",0.00554573666253235,0.00319557456712445,0.000353849105180523,0.00112251499721459,0.00244789967246303,0.00212151676428228,0.0120702267639486,0.00519591713330535,0.00607922180792757,0.00349219666413535
"T+2",0.00641208029584171,0.00134379618465703,0.000835006180217818,0.00125629201255105,0.00122358761028866,-0.000528364806858087,-0.0125489163531546,-0.00126894566247275,-0.0041411992733891,0.00408965257974572
"T+3",0.00622505660331807,0.00114681687219592,0.00058196342434242,0.000551778469330244,-0.000139700644515212,1.12057893901106e-05,0.010780393368358,0.00183591200147575,0.00424539366492376,0.00272288379610473
"T+4",0.00596847337383091,0.000905882923347422,0.000660993676418757,0.000587140425317431,0.0013981957699844,5.50023490509155e-05,-0.00877599297287861,-7.07239110766188e-06,-0.00146701169655902,0.00198832331484554
"T+5",0.00571860097700877,0.000713782989118694,0.000634375282959682,0.000490411930349042,1.51076750366899e-05,0.00015620075236044,0.00812893506775917,0.00124805411231544,0.00201695308372831,0.00168786201678646
"T+6",0.00548079212057961,0.000556457699995088,0.000643223958253206,0.000497579620668358,0.00121899897204917,0.000234386561625244,-0.00636816236617079,0.000333541913332897,6.27169452682374e-05,0.00157477036041453
"T+7",0.00525488590405188,0.000427870954569311,0.000640275890493808,0.00048424264374344,0.000176784331680393,0.000303508552995078,0.00608951962938953,0.00101917204479717,0.00107900817228836,0.00153354334427381
"T+8",0.00504031947132276,0.000322757409744059,0.000641257713209973,0.000485542809766684,0.00107819573644135,0.0003631578442935,-0.00461000759105777,0.000499313308787225,0.000591159736488244,0.00151871317554836
"T+9",0.00483652617137624,0.000236833041399135,0.000640930706650025,0.000483696304479376,0.000298689265071823,0.000414846225658623,0.00458074007183387,0.000895190584546037,0.000803008897941033,0.00151340896876273
"T+10",0.00464296529861844,0.000166594680001067,0.000641039618500678,0.000483918196532315,0.000972758553446016,0.00045960414630357,-0.00331371088043287,0.00059323023871185,0.000724297925885314,0.00151151658647201
"T+11",0.00445912310031832,0.000109178754745124,0.000641003344570618,0.000483661527692884,0.000389867589624988,0.000498365635927419,0.00346733876137301,0.000823697598888052,0.000744806243905593,0.00151084218132872
"T+12",0.00428451160391135,6.22444524304316e-05,0.000641015425878411,0.000483697972903155,0.00089391310676619,0.000531933350243911,-0.00235732568849505,0.000647755002837239,0.000746177261595587,0.00151060195350558
"T+13",0.0041186673366988,2.38782896767069e-05,0.000641011402106917,0.000483662158868279,0.000458047972169857,0.000561003326494264,0.00264584313676761,0.00078208440806428,0.000738909871410517,0.00151051640085851
"T+14",0.00396115009681528,-7.48389899742454e-06,0.00064101274225462,0.000483667990416773,0.000834955224821079,0.000586178200653901,-0.0016516910249499,0.000679522585563796,0.000745997523827403,0.00151048593573546
"T+15",0.00381154178488836,-3.31207312431643e-05,0.000641012295908233,0.000483662974967091,0.000509030838466041,0.000607979881975418,0.00203972960178011,0.000757830535653994,0.000740778633691248,0.00151047508761489
"T+16",0.00366944529428095,-5.40774053587822e-05,0.000641012444567292,0.000483663890649134,0.000790868624287589,0.000626860345745244,-0.00113106220396557,0.000698040604645635,0.000744125631619964,0.00151047122485091
"T+17",0.00353448345704824,-7.12083123982502e-05,0.000641012395055262,0.000483663185866569,0.000547154005704768,0.000643211007332602,0.00159252898716079,0.00074369168195847,0.000742171423819365,0.00151046984942133
"T+18",0.00340629804281761,-8.52118691828733e-05,0.00064101241154562,0.000483663327633457,0.000757902238545942,0.000657370836108709,-0.00074693365366594,0.000708835942202102,0.000743226798572627,0.00151046935966843
"T+19",0.00328454880793468,-9.66589923368526e-05,0.000641012406053381,0.000483663228276906,0.000575661148931413,0.00066963338279019,0.00126257697575794,0.000735449178447179,0.000742698719610101,0.00151046918528107
"T+20",0.00316891259235161,-0.000106016374216166,0.000641012407882613,0.000483663249987742,0.000733251152397304,0.000680252865094011,-0.000463517255932867,0.000715129299514843,0.000742940810814433,0.00151046912318664
"T+21",0.00305908246186057,-0.000113665509676447,0.000641012407273373,0.000483663235938958,0.000596977772750012,0.000689449437986312,0.00101913292420812,0.00073064404154377,0.000742842464892521,0.00151046910107656
