"","JNJ","IBM","HPQ","PFE","KO","AXP","MCD","HD","AA","DIS"
"T+1",0.0107288071470097,-0.00102442636612383,0.00847804804787689,0.00646552414249547,0.00593797017491771,0.00709323240077688,0.00644979113471611,-0.0096428810192031,-0.00800044186180371,0.00510788044526353
"T+2",0.00741090310697029,-0.000802722891780574,0.00509616721182679,0.000605124953695209,0.00239584533611179,0.00330801534980731,0.000436970943212201,0.00384732059798157,-0.00124411162821648,-0.000916092801540337
"T+3",-0.00300613430215459,0.00133202333078709,0.00305734128689572,-0.00367272316696318,-0.000258681016329249,-0.00109658045426817,-0.000551627876990897,-0.00113260028894739,-0.00176670376669868,-0.00161519025314221
"T+4",0.000286633582586934,-0.000815320549181415,0.0017452532128415,-0.00233939087813829,-0.00104321327192212,-0.00254086084787358,0.000504334540638704,-3.09311864843638e-05,-0.00285061784989148,-6.33619441571374e-05
"T+5",0.00145780755558526,0.00118524371904764,0.000901202531242772,-0.00193927871043673,-0.00111390030134939,-0.00282112544509885,0.000682181562731512,-6.67817636322882e-06,-0.0033852838708824,-0.000333493600592248
"T+6",0.000524325605169229,-0.000667853706830833,0.000358233406303817,-0.00216890744527672,-0.00106559420804837,-0.00283948240173435,0.000496749724622147,-0.000168797164221396,-0.00355163628966282,-0.000609126067478638
"T+7",0.00053609000581742,0.00104786886114932,8.94695626635204e-06,-0.00219283466250522,-0.00103776851763595,-0.00282933850712271,0.000464771129945206,-7.7218368719752e-05,-0.00358012181481941,-0.000472186251565858
"T+8",0.000713182862371629,-0.000540605983575933,-0.000215745422337196,-0.00215907340945032,-0.00103066525470309,-0.00282435774822953,0.000497331213617944,-0.000109020371799118,-0.00357618237628755,-0.000447756144153147
"T+9",0.000665816992759241,0.000930054401259867,-0.000360287717055693,-0.00216021884589982,-0.00103040533766489,-0.00282308286888488,0.000503078554281157,-0.000102714166551511,-0.00357065740528365,-0.000485387032769937
"T+10",0.000643713596728878,-0.000431529317347425,-0.000453270287681071,-0.00216458276960504,-0.0010310058904419,-0.00282290225785491,0.000497361769379073,-0.000102132778365998,-0.0035680824580237,-0.000480523499485968
"T+11",0.000658480062018364,0.000829067764975079,-0.000513085018427816,-0.00216386839013024,-0.00103128977979785,-0.00282291145889373,0.000496329299739776,-0.000103319669837505,-0.00356731724159846,-0.000473374457453272
"T+12",0.000658984035371862,-0.000338032707835441,-0.000551563219129756,-0.00216337716156912,-0.00103135145136561,-0.00282292599648475,0.000497332951564076,-0.000102703437086883,-0.00356719982390643,-0.000476442798113901
"T+13",0.000656006932819466,0.000742505659726099,-0.000576315849640248,-0.00216353580448878,-0.00103134946693076,-0.00282293096459866,0.000497518346529168,-0.000102904542334409,-0.00356722543487647,-0.000477209730714752
"T+14",0.000656667817503949,-0.000257890785106839,-0.000592238962104237,-0.00216358103767127,-0.00103134243205283,-0.00282293196616427,0.000497342157468454,-0.000102869648323682,-0.00356725336478579,-0.000476306025059509
"T+15",0.000657073871580205,0.000668307744143167,-0.000602482136478508,-0.00216355402116468,-0.00103133961076701,-0.00282293204357388,0.000497308881098542,-0.000102863056115579,-0.00356726571022189,-0.000476382157699446
"T+16",0.00065684297210752,-0.000189196018505734,-0.000609071465135138,-0.00216355145208286,-0.00103133910480876,-0.00282293201181538,0.000497339808197137,-0.000102871597940286,-0.00356726920917256,-0.000476565053735985
"T+17",0.000656823433580984,0.000604707966153411,-0.000613310312445416,-0.00216355539254916,-0.00103133917043857,-0.00282293199500321,0.000497345778522072,-0.00010286748638895,-0.00356726967869728,-0.000476497450848191
"T+18",0.000656872954465752,-0.000130313341404085,-0.000616037119295728,-0.00216355522898102,-0.00103133924934006,-0.00282293199054831,0.000497340350225996,-0.000102868744549647,-0.00356726952453184,-0.000476474826212356
"T+19",0.000656864113492549,0.000550192529586706,-0.000617791246079412,-0.00216355472348599,-0.00103133927663456,-0.00282293198988099,0.000497339279470568,-0.000102868560654817,-0.00356726938437702,-0.00047649631608399
"T+20",0.000656856811187096,-7.98412336409137e-05,-0.000618919657786638,-0.00216355481036326,-0.00103133928044241,-0.00282293198989936,0.000497340232160797,-0.000102868499283398,-0.00356726932544979,-0.000476495495472512
"T+21",0.000656860376314228,0.000503463862946751,-0.00061964555342477,-0.00216355486673385,-0.00103133927934078,-0.00282293198994714,0.000497340424124366,-0.000102868559877424,-0.00356726930955487,-0.000476490873355805
