"","IBM","PG","MRK","CVX","BA","DIS","GS","HD","T","KO"
"T+1",-0.00200202675825021,-0.00121977779609521,-0.00028995871950635,0.000731863972282566,0.00230436770193871,0.00129641538090092,0.000610946447208964,0.000886875331017071,0.000272063688182207,0.000418471259733902
"T+2",-0.00289572742721706,-0.000492121685088295,0.000776759599335828,0.000729104508508767,0.000862913953457063,0.00144779254969009,0.000895154385883528,0.000638074860902136,7.09464446778461e-05,-0.00104246963934607
"T+3",-0.00274854514004597,0.000138945648776567,0.000743569756005004,0.000507070836595619,0.00232580546283589,0.00139559170132712,0.000122311294930176,0.000503898811371237,5.93686015866369e-05,-0.000731363911719756
"T+4",-0.00252869838640026,0.000240099664114025,0.000783430218587846,0.000382734735866408,0.00093379024143545,0.00144213929807867,0.000723177664665346,0.000600274068417027,4.51069938790869e-05,-0.000757993162111013
"T+5",-0.0023217869968321,0.000235201697867164,0.000813497729139468,0.000295249274606243,0.00225723075263265,0.00140005415163914,0.000221368304864896,0.000505599348122308,4.23499805461742e-05,-0.000722146559804936
"T+6",-0.00213371528752418,0.00023003351765204,0.000840231338023432,0.000236275779719356,0.000999001525133085,0.00143810919105543,0.000637652605832238,0.000595721293882086,4.10629662486159e-05,-0.000699649143383599
"T+7",-0.00196334832406432,0.000229161555571799,0.000863665125211121,0.000196224703611898,0.00219523250083755,0.00140369829736213,0.000292106662485783,0.000509694524944504,4.07067859723181e-05,-0.00067604724125181
"T+8",-0.00180907175244196,0.000229192625886775,0.000884229971901206,0.000169060268530913,0.00105794486453309,0.00143481400853323,0.000578918753000722,0.000591791809401251,4.0575350393135e-05,-0.000654012527142159
"T+9",-0.00166937064331531,0.000229234861297244,0.000902275435809721,0.000150631869931914,0.00213919354804093,0.00140667793364996,0.000340856078493697,0.000513442782660739,4.05342958527525e-05,-0.000632972159627634
"T+10",-0.00154286839115711,0.000229242354731642,0.000918110284020543,0.000138130522087821,0.00111122254205527,0.00143211970181282,0.000538455178174536,0.000588214535108593,4.0520206640234e-05,-0.00061297185744749
"T+11",-0.00142831801656507,0.000229242177133424,0.000932005314129327,0.0001296498710593,0.00208854108612867,0.0014091142339237,0.000374442042070122,0.000516856712479063,4.05156255750118e-05,-0.000593943092008338
"T+12",-0.00132459031487513,0.000229241832735438,0.000944198160485785,0.000123896783305907,0.00115937914378973,0.00142991670132334,0.000510577827887188,0.000584956477474037,4.05140896186887e-05,-0.000575841918443717
"T+13",-0.00123066276466161,0.0002292417685231,0.0009548973457707,0.000119994013821336,0.00204275736302695,0.00141110627538466,0.000397581072708388,0.000519966013527386,4.05135835942886e-05,-0.000558622503575395
"T+14",-0.00114560945158908,0.000229241769325813,0.000964285848049145,0.000117346460071478,0.00120290690998497,0.00142811541748291,0.000491371743573499,0.00058198914097548,4.05134152080455e-05,-0.000542242011310434
"T+15",-0.00106859194130669,0.000229241772127706,0.000972524230008407,0.000115550417303826,0.00200137439323792,0.00141273506852847,0.000413522694479712,0.000522797867288872,4.05133594942304e-05,-0.000526659547536592
"T+16",-0.000998851014401,0.000229241772676467,0.000979753384914472,0.000114332021031605,0.00124225076652193,0.00142664259734997,0.000478139722899536,0.00057928658407555,4.05133410001437e-05,-0.000511836237925492
"T+17",-0.000935699182202975,0.000229241772675408,0.000986096946176175,0.000113505487552996,0.00196396917425311,0.00141406685160495,0.000424505665574336,0.000525377030767057,4.05133348724617e-05,-0.000497735096832856
"T+18",-0.000878513909696339,0.000229241772652667,0.000991663401730643,0.000112944785253742,0.00127781287279352,0.00142543834564053,0.000469023529913023,0.000576825180118657,4.05133328400125e-05,-0.000484320941486274
"T+19",-0.000826731478722618,0.000229241772647989,0.000996547949410025,0.000112564417033305,0.00193015936276702,0.00141515578433378,0.000432072377154595,0.000527726051870315,4.05133321662906e-05,-0.00047156030297593
"T+20",-0.000779841430988089,0.000229241772647951,0.0010008341250201,0.00011230638352192,0.00130995673243993,0.00142445368896234,0.000462742934030122,0.000574583410689426,4.05133319428864e-05,-0.000459421342980939
"T+21",-0.000737381536093193,0.000229241772648135,0.00100459523097429,0.000112131339211116,0.00189959936649514,0.00141604615042181,0.000437285458719278,0.000529865466525579,4.05133318688208e-05,-0.000447873774287281
