"","IBM","HPQ","PG","PFE","JNJ","AXP","MRK","AA","BA","HD"
"T+1",0.000427058789554674,-0.00365807952040742,0.000583798955044882,-0.0010285998457891,0.000216911258482395,0.000618385432072275,-0.00171783452787199,0.00148507132498852,-0.00634827667185345,-0.00502842294778468
"T+2",0.000510432039347504,-0.00121286142831754,1.80203589509511e-05,-2.80384312742292e-07,0.00139886643744282,-0.000454730210936036,-0.00134997423511838,0.00217034019348791,-0.000507364429471602,-0.000378346433980193
"T+3",0.00054875092637629,-0.000181426804546913,0.000460320885997114,-0.00169521127493107,7.4721822601682e-05,-0.000767827984057221,-0.00161776081546738,0.00204520028158514,-0.00344379466592471,-0.00298702905073853
"T+4",0.000581601067160902,8.41118641053405e-05,4.53132030003539e-05,2.43730436560075e-05,0.00136805311330255,-0.00102016283889702,-0.00138525483170222,0.00190825167281675,-0.000784124343409123,-0.00154434085465126
"T+5",0.000609917815433103,0.000108439541211074,0.000435191378811267,-0.00168083214039081,9.83324414800514e-05,-0.00120394590944681,-0.00158421122194768,0.00177906303911638,-0.00307924559234788,-0.0023448138734598
"T+6",0.00063432763329558,9.19291672050238e-05,6.89183073882327e-05,7.76717022321096e-06,0.00134461973530402,-0.00133866289466305,-0.00141377345108454,0.00165764137824727,-0.00109262441818492,-0.0019010075787383
"T+7",0.000655369573981582,8.07250832068536e-05,0.000413015457158486,-0.00166424491438855,0.000121323463844591,-0.00143737135924829,-0.00155976794644362,0.0015435309230304,-0.00281187179237071,-0.00214710978095388
"T+8",0.000673508311064038,7.67394510788433e-05,8.97515927046612e-05,-8.66585143716474e-06,0.00132205245764822,-0.00150969805945404,-0.00143471037469293,0.00143629172270106,-0.00132399407008133,-0.00201064511042755
"T+9",0.000689144406035455,7.59056813326224e-05,0.000393443518463345,-0.00164797286811484,0.000143474407078669,-0.00156269393837879,-0.00154183351134917,0.00133551002607514,-0.00261163790687238,-0.00208631601795639
"T+10",0.000702623154023466,7.59111360374682e-05,0.000108138552729407,-2.47779986084983e-05,0.00130031015249011,-0.00160152556653453,-0.00145007283906678,0.00124079698900926,-0.00149728105202329,-0.00204435589628942
"T+11",0.000714242209014907,7.60053038181116e-05,0.000376169792839241,-0.00163201907933926,0.00016481561206346,-0.00162997863427435,-0.00152867416848133,0.00115178718177128,-0.00246167132842033,-0.00206762312964254
"T+12",0.000724258157010538,7.60534075576764e-05,0.000124366444481783,-4.05749835497503e-05,0.00127936264819358,-0.00165082702777964,-0.00146134500846645,0.00106813717930096,-0.00162706560820658,-0.00205472125838769
"T+13",0.000732892182266903,7.60679687741938e-05,0.000360924415179695,-0.00161637735717988,0.00018537667862676,-0.00166610325443156,-0.0015190185341179,0.000989524236183614,-0.00234935276233038,-0.00206187545173829
"T+14",0.000740334951754131,7.60702293075815e-05,0.00013868879414548,-5.6062968941349e-05,0.00125918089039386,-0.00167729659173412,-0.00146961593411014,0.000915645041406988,-0.00172426870122529,-0.00205790839291518
"T+15",0.000746750825694176,7.60698030939396e-05,0.00034746920898736,-0.00160104159753401,0.000205186125117916,-0.00168549827679836,-0.00151193373694876,0.00084621454810138,-0.00226523095040387,-0.00206010815953541
"T+16",0.000752281487161685,7.60693350052023e-05,0.000151329357874849,-7.12479990126625e-05,0.0012397368868447,-0.00169150789091742,-0.00147568470477623,0.000780964873748065,-0.0017970696689932,-0.00205888837092179
"T+17",0.000757049070900708,7.60691396161892e-05,0.000335593965374426,-0.00158600581557137,0.000224271427384599,-0.00169591131065096,-0.00150673528503571,0.000719644266612615,-0.00220222730382796,-0.00205956475370183
"T+18",0.000761158860451583,7.6069089848808e-05,0.00016248561750739,-8.61359997717113e-05,0.0012210036685705,-0.0016991378248606,-0.00148013764982543,0.000662016134415367,-0.00185159448649999,-0.00205918969390867
"T+19",0.000764701613149189,7.60690855168628e-05,0.000325113158997275,-0.00157126414352849,0.000242659056881125,-0.00170150198602965,-0.00150292093415915,0.000607858131491361,-0.00215504026171657,-0.00205939766763685
"T+20",0.000767755564335988,7.60690887289332e-05,0.000172331865796103,-0.000100732781309876,0.00120295525246001,-0.00170323427594691,-0.00148340498693575,0.000556961300917758,-0.00189243124753903,-0.00205928234450064
"T+21",0.000770388155049322,7.60690908647424e-05,0.000315863049618828,-0.00155681082841924,0.000260374517384558,-0.00170450357534862,-0.0015001221638997,0.00050912926829881,-0.00211969918125166,-0.00205934629212452
