"","HD","WMT","UNH","PFE","CAT","GS","PG","VZ","CVX","MRK"
"T+1",-0.00102772262075874,-0.00185568415750725,0.0128024177953102,-0.000824229895587485,-0.000920013673507883,0.000576025624117106,-0.00109679870288828,-0.000239773675279827,0.000158911567958207,3.2427104691154e-05
"T+2",0.0014395995705989,-0.0010507745438408,0.0117848161071579,0.00304810596142667,-0.000386934856016487,0.000790431570633801,0.000540175189648163,-0.00183397050890293,-0.000425171929691463,0.00159308132365258
"T+3",-0.000183035477758121,0.00152553494719016,0.0106818138676442,-0.000176342927415723,-0.000265263859963172,-0.00197166063854986,0.000201249294932971,0.00196444971697933,-0.000268014314942116,0.00108483719883321
"T+4",0.000993725235428277,0.000351283481243395,0.00967582705494025,0.00259430348093842,-0.000360727071561449,-0.000689800565013372,0.00030002517725552,0.000403988730819515,-0.0002492554401174,0.00138484297126949
"T+5",0.00013612907664402,0.000226133885622676,0.00877279907328466,0.000212717731930183,-0.000305507951335202,-0.00158299692092839,0.000256250535368381,0.000494578390612052,-0.000262616693199601,0.0011885492879776
"T+6",0.000761270699991147,0.000537869013302101,0.00796350622491316,0.00225988428124448,-0.000336534152216393,-0.0010326303378454,0.000281229319219449,0.000723966287105438,-0.000262086880710046,0.00131849746031505
"T+7",0.000305570960626505,0.000445715964920815,0.0072383398496656,0.000500178133323805,-0.000319158952951839,-0.00138333124794745,0.000265610113210608,0.00059700666883506,-0.000261240294308773,0.00123236304519894
"T+8",0.000637755465245427,0.00041131450334579,0.00658856613773414,0.00201278868755461,-0.000328885621154049,-0.00116196506248019,0.000275636445004151,0.000618325562100164,-0.000261392024038886,0.0012894636515588
"T+9",0.000395607975808822,0.000445259109236455,0.00600634784717888,0.000712576892824735,-0.000323440857910358,-0.00130206389158298,0.000269155259177357,0.00063023317956108,-0.000261429572308334,0.00125160973554445
"T+10",0.000572122550972311,0.000439885689462867,0.00548466149759238,0.00183021467898609,-0.000326488694234533,-0.00121346345726407,0.000273352417969928,0.000620732865488278,-0.000261414025307346,0.00127670440919038
"T+11",0.00044345140381586,0.000434342021496831,0.00501721372649628,0.000869514102265696,-0.000324782596058139,-0.0012695072241215,0.000270633097154162,0.000623248791379309,-0.000261413560811322,0.00126006827717335
"T+12",0.000537246854391347,0.00043768578518473,0.00459836546939503,0.00169531438348279,-0.000325737624633531,-0.00123405907639121,0.000272395147272907,0.000623693949328058,-0.000261414693111129,0.00127109694791787
"T+13",0.00046887421030539,0.000437639962743601,0.00422306394206028,0.000985471877937268,-0.00032520302493407,-0.00125648068892893,0.000271253348161338,0.00062303777377107,-0.000261414570839697,0.00126378565834165
"T+14",0.000518714777525041,0.000436907397109943,0.00388678168702193,0.00159563924423619,-0.000325502279684929,-0.00124229866673264,0.000271993233918072,0.000623277614880101,-0.000261414509633271,0.00126863256659701
"T+15",0.000482383256724799,0.000437200220779757,0.0035854619565734,0.00107115076688016,-0.000325334764802313,-0.00125126903003233,0.000271513786986774,0.000623276363207305,-0.000261414526376737,0.00126541938246698
"T+16",0.000508867293269591,0.000437251647352383,0.00331546977412176,0.00152199127076985,-0.000325428535196323,-0.00124559512909908,0.000271824469389151,0.000623234969378561,-0.000261414528305059,0.00126754951402911
"T+17",0.000489561627658664,0.000437166111965897,0.0030735480835757,0.00113445718999816,-0.000325376045013627,-0.00124918396423832,0.000271623146651748,0.000623255236203242,-0.000261414526891126,0.00126613737569892
"T+18",0.000503634585308098,0.000437187563465376,0.00285677845778423,0.00146757425127334,-0.000325405427627495,-0.00124691396737949,0.00027175360414065,0.000623252669408207,-0.000261414526951099,0.00126707353133318
"T+19",0.000493376035253721,0.000437198481396463,0.00266254589203242,0.00118123304409062,-0.000325388980018564,-0.00124834977749046,0.000271669067456969,0.000623250363497915,-0.000261414527040155,0.00126645292118981
"T+20",0.00050085405457558,0.000437189457406648,0.00248850725787976,0.00142736660031555,-0.000325398186954365,-0.00124744160413233,0.000271723847377732,0.00062325192977105,-0.000261414527023903,0.0012668643452479
"T+21",0.000495402916482801,0.00043719048820869,0.00233256303678335,0.00121579479025025,-0.000325393033155585,-0.0012480160386224,0.000271688349892025,0.000623251575004009,-0.000261414527019992,0.00126659159792434
