"","V","CVX","PG","VZ","IBM","BA","MCD","KO","MRK","HD"
"T+1",-0.00223048120353773,-0.00260770942820399,-0.00166335738426234,-0.000773927803724829,0.000147163605285618,0.00185873058049853,0.00376608540733497,0.000735846166532788,-0.00056275099842319,0.00345701118088669
"T+2",0.00404128516989845,-0.00143488833323311,-7.45466032519116e-05,-0.000363185650152725,-8.21346671201237e-05,0.000859695587931286,-0.00229137197894419,0.000338908396238234,-2.77894066624152e-06,0.00216526201775521
"T+3",-0.00216464901981783,-0.00152027168560886,-0.000173121558138049,-0.000148721104002015,-5.78079235791504e-05,0.000446621983211677,0.00115196424035979,0.000229021746853722,-1.78928349930582e-05,0.00160136052687713
"T+4",0.00408113454673125,-0.00144052548251162,5.13247711929886e-05,-5.13634785265016e-05,-6.16401380747156e-05,0.000400790373429909,-0.000514270620743613,0.000259267953709127,5.77727852865271e-09,0.00139881228068201
"T+5",-0.00220961367879842,-0.00145036081506434,3.62711627477787e-05,-6.74703783991974e-06,-6.23023647162363e-05,0.000416718586912487,0.000204763195966969,0.000258337939088539,-5.33654563731609e-06,0.00133519126247715
"T+6",0.00412664404813145,-0.00144471761781144,6.79838238356444e-05,1.368560964641e-05,-6.32792916361921e-05,0.000424350884641905,-7.47979756689074e-05,0.000257459866446192,-3.41446167102799e-06,0.00131753156966194
"T+7",-0.00225546246718422,-0.00144565639692695,6.56981973203986e-05,2.30434467596808e-05,-6.41847812180313e-05,0.000425373670300069,2.1764209441897e-05,0.000257625903235156,-4.07915150631783e-06,0.00131330587298884
"T+8",0.00417282505285534,-0.0014452437536364,7.017978940181e-05,2.73291767820159e-05,-6.50630309153696e-05,0.000425128479762456,-6.27249738123295e-06,0.00025763007298503,-3.84746479212607e-06,0.00131251739271918
"T+9",-0.00230197765904012,-0.00144532645471214,6.9834480049432e-05,2.92919686295722e-05,-6.59103472024261e-05,0.000424988932440537,-7.5466466579616e-07,0.000257623830465861,-3.92809321377146e-06,0.0013124553207795
"T+10",0.00421967683033267,-0.00144529551102533,7.04679280978703e-05,3.01908940747441e-05,-6.67283189995633e-05,0.000424967031137605,-3.01586286688124e-07,0.000257624647043656,-3.90002495572633e-06,0.00131249209624957
"T+11",-0.00234916845678243,-0.00144530250015215,7.04159846627429e-05,3.06025867144977e-05,-6.75179070172658e-05,0.00042497062074739,-1.59680496489345e-06,0.00025762473248188,-3.90979540285502e-06,0.00131251867889132
"T+12",0.00426720910145538,-0.00144530013656239,7.05055352167017e-05,3.07911349756713e-05,-6.82801023548018e-05,0.000424973145397383,-6.59014397187174e-07,0.000257624691823641,-3.9063943049342e-06,0.00131253043155724
"T+13",-0.00239704467219062,-0.00144530071343644,7.04977512269766e-05,3.08774868881395e-05,-6.90158546424257e-05,0.000424973600471594,-1.17321912682654e-06,0.000257624695175379,-3.90757822580933e-06,0.00131253468404733
"T+14",0.00431543174993539,-0.00144530053053938,7.05104132668397e-05,3.09170346025576e-05,-6.97260813524096e-05,0.000424973551952791,-9.30053432222191e-07,0.000257624696033446,-3.90716610318789e-06,0.00131253602766592
"T+15",-0.00244561626053778,-0.00144530057748577,7.05092507108972e-05,3.09351467864223e-05,-7.04116680394143e-05,0.000424973506770283,-1.03299476339237e-06,0.000257624695788753,-3.90730956297499e-06,0.00131253640292112
"T+16",0.00436435480308425,-0.00144530056320656,7.05110413856322e-05,3.09434418600865e-05,-7.10734695451322e-05,0.000424973497532851,-9.93757766700955e-07,0.00025762469579732,-3.90725962465592e-06,0.00131253649347081
"T+17",-0.00249489332169334,-0.00144530056699393,7.05108682743218e-05,3.09472408634319e-05,-7.17123110529977e-05,0.000424973498096054,-1.00696570621234e-06,0.000257624695804264,-3.90727700817329e-06,0.00131253651065572
"T+18",0.00441398843385419,-0.00144530056587242,7.05111215577908e-05,3.09489807426665e-05,-7.23289891183292e-05,0.00042497349889551,-1.00330086886246e-06,0.00025762469580291,-3.90727095697489e-06,0.00131253651215018
"T+19",-0.00254488610222118,-0.00144530056617629,7.05110958495445e-05,3.09497775779088e-05,-7.29242726613956e-05,0.000424973499079488,-1.00392233242835e-06,0.000257624695802883,-3.90727306339566e-06,0.00131253651142917
"T+20",0.00446434296295341,-0.00144530056608786,7.05111316817509e-05,3.09501425149635e-05,-7.34989039261795e-05,0.000424973499075253,-1.00405976737931e-06,0.000257624695802933,-3.90727233015108e-06,0.00131253651088263
"T+21",-0.00259560499751031,-0.00144530056611215,7.05111278731051e-05,3.0950309649958e-05,-7.40535994058599e-05,0.000424973499061279,-1.0038461781158e-06,0.000257624695802927,-3.90727258539335e-06,0.00131253651063779
