"","HPQ","JNJ","PG","CVX","AA","AXP","KO","CAT","MRK","MCD"
"T+1",0.00233296594790934,0.000412148400204118,0.00166168901756113,0.000356874465226447,0.00182843944433369,0.00125561509219897,-0.000352794643221863,0.00237941549026541,-0.000180612904479078,0.00166872000814791
"T+2",0.00245720851753674,0.00116731762646965,0.000568218880374356,0.00173226977089102,0.00312977433705657,0.00237819762305055,0.00203360744548611,0.0029787103114253,0.00161385614384844,0.000412424123603733
"T+3",0.00205492832033074,0.000399439540310058,0.00122487593931268,0.000215765872315696,0.00260595346521403,0.00200936512055959,-0.000122639908715026,0.00311878708699511,0.00115701734166469,0.00147255823586314
"T+4",0.00194694491921781,0.000961176291587132,0.000767327942484271,0.0012578440446887,0.00228481391121011,0.0023179368160505,0.00182238437352738,0.00310228566417646,0.00166092179575374,0.000746547978903375
"T+5",0.00196071601119528,0.000536815121773029,0.00108799073897778,0.000481418649704585,0.00219552257458749,0.00212002780808107,6.7725264295389e-05,0.00311360174274691,0.00125827042376419,0.00124876539138136
"T+6",0.00197459363229283,0.00085625287648208,0.000863214323213425,0.0010506361031223,0.00218498195297046,0.00225456801250189,0.00165064226090123,0.00310938083402572,0.0015939840129782,0.000901541159083237
"T+7",0.00197654648040895,0.000615701843849655,0.00102077801127829,0.00063201299173946,0.00218792048180769,0.00216435934128657,0.000222657206290916,0.00311118483243446,0.00131583910510843,0.00114161255856271
"T+8",0.00197564940218781,0.000796839806687844,0.000910329046606686,0.000939694097685447,0.0021899858005987,0.00222503858043818,0.00151087464613455,0.00311044119407773,0.00154649951744948,0.000975627046203699
"T+9",0.00197524412315211,0.000660439988661735,0.00098775154199906,0.000713526329136162,0.00219059508037509,0.00218425310885152,0.000348744714458988,0.00311075058446187,0.0013552428850869,0.00109038953979623
"T+10",0.00197523566777795,0.000763151205988511,0.00093347993508407,0.000879772014250661,0.0021906772598547,0.00221167182721401,0.00139712826854667,0.00311062217033252,0.00151383022182369,0.00101104267575497
"T+11",0.00197527343234754,0.000685808032652149,0.00097152323635257,0.000757571777267593,0.00219066142207075,0.00219323989022781,0.000451357880462535,0.00311067550219141,0.00138233218945689,0.00106590315009151
"T+12",0.0019752832545588,0.000744048666730828,0.000944855649861655,0.000847395970202475,0.00219064822543465,0.00220563067954075,0.00130455862315736,0.00311065335638465,0.00149136825860273,0.00102797258181056
"T+13",0.00197528188680475,0.000700192547128902,0.000963549089850768,0.000781370017605777,0.00219064409315638,0.00219730104411518,0.000534867039971259,0.00311066255270568,0.00140095729635013,0.00105419780183492
"T+14",0.00197528059707677,0.000733216899573176,0.000950445365644394,0.000829902891924969,0.00219064346978781,0.00220290059560163,0.00122922313178192,0.00311065873385973,0.00147592461893737,0.00103606566734561
"T+15",0.00197528042421718,0.000708349039300266,0.000959630811885252,0.000794228436459109,0.00219064355008522,0.00219913632845149,0.000602828881452695,0.00311066031967042,0.00141376291521867,0.00104860223713733
"T+16",0.00197528050964279,0.000727074931824455,0.000953191999428969,0.000820451214091124,0.00219064363382045,0.00220166683604982,0.00116791322574401,0.0031106596611485,0.00146530640478991,0.00103993444448252
"T+17",0.00197528054695002,0.000712974038262274,0.000957705477028215,0.000801175963553028,0.00219064366168469,0.00219996571644091,0.00065813792688819,0.0031106599346056,0.00142256736840301,0.00104592736206324
"T+18",0.00197528054744896,0.000723592234377365,0.000954541620311281,0.000815344381883896,0.00219064366631554,0.00220110928460497,0.00111801769165048,0.0031106598210501,0.00145800589316109,0.00104178385487985
"T+19",0.00197528054390608,0.000715596564582301,0.000956759420024513,0.000804929779095533,0.00219064366594969,0.0022003405272886,0.000703149810620346,0.00311065986820504,0.00142862083577095,0.00104464867848998
"T+20",0.00197528054301349,0.000721617430535307,0.000955204787179831,0.000812585111448536,0.00219064366542241,0.00220085732010436,0.00107741145876961,0.00311065984862353,0.00145298645493022,0.00104266793754905
"T+21",0.00197528054314869,0.000717083623142905,0.000956294553432096,0.000806958001646476,0.00219064366523557,0.00220050990901801,0.000739781606760817,0.00311065985675493,0.00143278287359524,0.00104403742314712
