"","CSCO","PG","XOM","PFE","WMT","MRK","MCD","CVX","VZ","KO"
"T+1",0.00275295982017601,0.000421627709470658,0.00567203132359147,0.00258653793635417,4.41973147661079e-05,0.000154426208974778,0.000530327327812798,-0.00516748687827206,-0.00215738485638079,0.00719856833291812
"T+2",-0.00896299462594055,0.000420346096304144,0.00575411860702408,0.000540807551836382,0.00042775623286314,0.00121980651205091,0.00104290060802815,0.00551095366146925,-0.00295396499964311,-0.0024585215233458
"T+3",0.00867428099611428,0.000471619979867056,0.00557767608859121,0.000633395324133028,0.00038099134134164,0.00111105383147941,0.000699959416605685,-0.00388916545093801,0.00483424193157936,0.00516271037645563
"T+4",-0.00832431679798041,0.000512310048789314,0.00542280522104917,0.00039994608055094,0.00038986214498437,0.00106845379002048,0.000606012455417186,0.00407358472190944,-0.00305313046682614,-0.00137217849165578
"T+5",0.00729271450912128,0.000546280036155901,0.00527058202781862,0.00039011010364224,0.000391499445328672,0.00102525936583107,0.000611415050806869,-0.00273060651728924,0.00339201579326847,0.00434849456563474
"T+6",-0.00695909234987588,0.000574571845283245,0.00512217737820637,0.000361654423934718,0.000394037224062107,0.000984871937718334,0.000618427110075242,0.00307199271966999,-0.00153803418579639,-0.000683739063025134
"T+7",0.0060342297459782,0.000598137212518997,0.00497741438985585,0.000357960111520991,0.000396423618293949,0.00094693965447415,0.000619324807078404,-0.00187871122838695,0.0021420661737105,0.0037478470912834
"T+8",-0.00581006859330046,0.000617765638551305,0.00483620915278199,0.000354269518322342,0.00039879515252101,0.000911322399063308,0.000619032558683771,0.00234472524291187,-0.000578701308309665,-0.000155784516500325
"T+9",0.00498659549855195,0.000634114851197561,0.00469847386400714,0.000353504636773799,0.000401134601312733,0.000877878394231467,0.000618922807230779,-0.00125836677766843,0.00142503062432228,0.00328299202843255
"T+10",-0.00485506888984023,0.000647732690487064,0.00456412327835227,0.000353000552703332,0.000403444624662145,0.000846475061491498,0.000618922136313898,0.0018154810780315,-4.83084409767593e-05,0.000253673568651711
"T+11",0.00411606472148753,0.000659075472003308,0.00443307421856413,0.000352865329081022,0.000405725304465951,0.0008169878825693,0.000618929087526567,-0.000806864507728104,0.00103433618168737,0.00292229670320342
"T+12",-0.00406153919276154,0.00066852327717908,0.00430524555319049,0.000352793741604091,0.000407977050749369,0.000789299938566271,0.000618930365681417,0.00143029709781627,0.000238992861755254,0.000571419908702349
"T+13",0.00339272557090653,0.000676392689325618,0.00418055814437887,0.000352771395342991,0.000410200225749964,0.000763301444601914,0.000618930144943961,-0.000478258511329141,0.000823212934127818,0.00264238396771687
"T+14",-0.0034021820421284,0.000682947401915467,0.00405893479901537,0.000352760949202017,0.000412395192618477,0.000738889314602854,0.000618930023387095,0.00114995844432068,0.000394092581031854,0.00081800410097853
"T+15",0.00279169098554254,0.000688407054597964,0.00394030022092608,0.000352757379550567,0.000414562309185145,0.000715966752553362,0.000618930016011984,-0.000239097473693817,0.00070928364094383,0.00242515991424118
"T+16",-0.00285431117764251,0.000692954593030032,0.00382458096426234,0.000352755827750721,0.000416701928832175,0.000694442868691814,0.000618930022532677,0.000945926632070841,0.000477775937043447,0.00100936386198406
"T+17",0.00229228131531784,0.00069674239914038,0.00371170538803083,0.000352755267927474,0.000418814400446044,0.000674232319125619,0.000618930024166244,-6.50349233877841e-05,0.000647817733968085,0.00225658485072838
"T+18",-0.00239907613071581,0.000699897397244059,0.00360160361174119,0.000352755034774802,0.00042090006848801,0.000655254967435977,0.000618930024036383,0.000797431301224533,0.000522922638688463,0.00115786714174485
"T+19",0.00187731348368591,0.000702525307106454,0.00349420747214345,0.000352754947887462,0.000422959273048523,0.000637435566930671,0.000618930023908075,6.16486351205291e-05,0.000614657595388053,0.00212576346080677
"T+20",-0.00202081373099136,0.000704714186471174,0.00338945048102866,0.000352754912610046,0.000424992349902903,0.000620703462285016,0.000618930023893646,0.000689355687627201,0.000547278644230218,0.0012731119773558
"T+21",0.00153250978533034,0.000706537381757228,0.00328726778406647,0.000352754899205595,0.000426999630566068,0.000604992309387936,0.000618930023899348,0.000153849536261694,0.000596768204529352,0.00202424052068641
