"","PFE","PG","CVX","JNJ","HPQ","AA","HD","MRK","BA","AXP"
"T+1",0.00232176253855723,-0.00126931027184245,0.000165848854269626,0.000121639069599651,0.0036958842288323,0.00144758071385718,-0.00242031752918612,-0.00906222164591025,-4.8713334393948e-05,-0.00932704034339308
"T+2",0.00237241602014453,-0.000396627387513494,0.00155025687014778,0.000166749668241862,0.0056123156770715,-0.00077382782982261,-0.00229679523882958,0.00251675985515729,0.000227437418610866,-0.00684008957391632
"T+3",0.00216677814876913,0.00106622975693374,0.000777313265970684,0.000169948045770136,0.00211420941320939,0.000834600265147079,-0.00117441914602172,-0.00128007038373064,0.000197183864968809,-0.00569868888631927
"T+4",0.00196744754055399,-8.81975567929549e-05,0.000996410763459602,0.000171972717686662,0.000751180879973732,-0.00039899811090532,-0.00138726005230875,2.45821949262534e-05,0.000168430358208574,-0.00471127385201496
"T+5",0.00178162320658998,0.00058034168575515,0.000922366458703957,0.00017391389858635,0.000715283530260774,0.000546238062829133,-0.00126886451732761,-0.000409368990400983,0.000149392029617325,-0.00392529080700253
"T+6",0.00160861130349457,0.000227815601697654,0.000946068281264689,0.000175802126453465,0.00086260154209111,-0.000178053251083888,-0.00130669907785876,-0.000261734920411066,0.000137033337050163,-0.00329432140820203
"T+7",0.00144753531438969,0.00040696565876046,0.000938358555466138,0.000177639580767744,0.000914776038818491,0.000376937977550758,-0.00129117756132515,-0.000311180141922119,0.000129021281308596,-0.00278824540971664
"T+8",0.00129757200753012,0.000317364002470074,0.000940854347678828,0.000179427646457239,0.000914584990349038,-4.83263588775297e-05,-0.00129681399421161,-0.000294438938361901,0.000123827581338764,-0.00238230352138325
"T+9",0.00115795472222838,0.00036185867529244,0.000940045249846861,0.000181167651555675,0.000908436076748806,0.000277534207013266,-0.00129464580988087,-0.000300064525041358,0.000120460860120377,-0.00205668603181597
"T+10",0.00102796968300815,0.000339835360952698,0.000940307434608082,0.000182860887875499,0.000906455444960086,2.78421935832311e-05,-0.00129545708649859,-0.000298164205743874,0.000118278445414104,-0.00179549874857406
"T+11",0.000906952357798998,0.000350719796085159,0.000940222463853098,0.000184508612493086,0.000906527615762743,0.000219169737007549,-0.00129514949795427,-0.000298803798882646,0.000116863735519274,-0.00158599283528597
"T+12",0.000794284060827243,0.000345344175002766,0.000940250000743172,0.000186112048696075,0.000906782185070955,7.2564211384514e-05,-0.00129526538389917,-0.00029858798521667,0.000115946676045144,-0.00141794204943908
"T+13",0.000689388789670192,0.000347998246364671,0.000940241076625894,0.000187672386891921,0.000906856687881553,0.00018490130492854,-0.00129522159135571,-0.000298660678077423,0.000115352209234627,-0.00128314362706141
"T+14",0.000591730280516818,0.000346688062122547,0.000940243968731612,0.000189190785491676,0.000906851258010222,9.88225399414142e-05,-0.00129523811645234,-0.000298636162968613,0.000114966857140491,-0.00117501789241389
"T+15",0.000500809266586834,0.000347334791323182,0.000940243031464232,0.000190668371770007,0.000906840797802504,0.000164780751498712,-0.00129523187642166,-0.000298644423508453,0.000114717059786243,-0.00108828709626142
"T+16",0.000416160925692407,0.000347015564892626,0.000940243335211729,0.000192106242702096,0.000906838023990747,0.000114239997661364,-0.00129523423194069,-0.000298641638425399,0.000114555133280228,-0.00101871780245941
"T+17",0.000337352503893492,0.000347173133197753,0.000940243236773917,0.000193505465778045,0.000906838340750696,0.000152967060420312,-0.00129523334262746,-0.000298642577047435,0.000114450167423287,-0.000962914248764357
"T+18",0.000263981103098034,0.00034709535892695,0.000940243268675423,0.000194867079795392,0.000906838767523834,0.000123292287567455,-0.00129523367835756,-0.000298642260625694,0.000114382125251597,-0.000918152595528955
"T+19",0.000195671621296409,0.000347133747473863,0.000940243258336854,0.000196192095630325,0.000906838869585752,0.00014603070564346,-0.00129523355160948,-0.000298642367274625,0.000114338018174656,-0.000882247971760455
"T+20",0.000132074834899829,0.000347114799325769,0.000940243261687355,0.000197481496988166,0.000906838853043543,0.000128607298254196,-0.00129523359945982,-0.000298642331324039,0.000114309426579357,-0.000853447828897591
"T+21",7.28656133789018e-05,0.000347124151908887,0.000940243260601532,0.000198736241133686,0.000906838835748604,0.000141958056606758,-0.00129523358139506,-0.000298642343441574,0.000114290892607521,-0.000830346396773713
