"","XOM","JNJ","GS","UNH","VZ","PG","PFE","CAT","CVX","IBM"
"T+1",-0.00250855413509994,-0.000258667453363735,0.00089543413558214,0.00423445703076241,-0.00102982869185506,-0.000640728003226365,0.000385170550902945,0.00154039468363243,0.00197457074673173,-0.00217659588733914
"T+2",0.00228871496344601,0.000304774748749959,-0.000564956648103086,0.00401662354965474,0.00181352812537186,-0.000169142061221491,0.000422809618054796,0.00247949285521862,0.000965043070757488,0.000845517490272164
"T+3",-0.00133822972662802,-0.000493462135901284,1.56178877368086e-05,0.00367421882189493,-0.000334989365347365,-0.000113417071983343,0.00075473026408064,0.00182982509335852,0.001512260549805,-0.00063344558532909
"T+4",0.00177004052777773,-0.000227192757413654,-0.00029041081215527,0.00336538515014297,0.00143945756734207,-0.000153842988764695,0.000540101949321866,0.00207167519972223,0.00154684189321259,-0.000164268113165205
"T+5",-0.000937223931916076,-0.000249068239503842,-0.000125540072588933,0.00309509117384446,-2.31130110760234e-05,-0.000157767262392973,0.000728013469300009,0.0019978729558335,0.00148677025643646,-0.000271012668239495
"T+6",0.0014253277851105,-0.000269285364801712,-0.000214489973050515,0.00285904585936908,0.00118244868844334,-0.000154317283355415,0.000573969863199216,0.0020180359649297,0.0014907423345112,-0.000257463264272008
"T+7",-0.000636873082182619,-0.000258576539424927,-0.000166495915785686,0.00265294312109798,0.000188734146696203,-0.000154051866298039,0.000701899820519617,0.00201294536871085,0.00149636747849543,-0.000255364819603003
"T+8",0.00116320886874638,-0.000260760182627904,-0.000192391878212563,0.00247298688734007,0.00100782835882422,-0.00015434502992039,0.000595934276326735,0.00201414784522716,0.00149526086499544,-0.00025747378836063
"T+9",-0.000408076133543128,-0.000261037391248669,-0.000178419291463296,0.00231586031393295,0.000332669346992791,-0.000154361896238013,0.000683752589026609,0.0020138815315865,0.00149482579319943,-0.000256625851685439
"T+10",0.000963493354736323,-0.000260683927739928,-0.000185958427569178,0.0021786671869616,0.000889186148738,-0.000154337087678211,0.000610981359500883,0.0020139364525424,0.00149499283473075,-0.000256864399031081
"T+11",-0.000233745173751128,-0.000260798793251182,-0.000181890564235464,0.00205887870314873,0.000430463173561331,-0.00015433612795594,0.000671285000162156,0.0020139261178894,0.001495016321629,-0.000256817891847562
"T+12",0.000811320434502562,-0.000260790356101534,-0.000184085445966089,0.00195428686851609,0.000808577126805956,-0.000154338218864968,0.000621313141245175,0.00201392780254103,0.00149499637091989,-0.000256821033350671
"T+13",-0.000100913928354368,-0.000260781223801229,-0.000182901161879764,0.00186296380036029,0.000496907187921347,-0.000154338261154704,0.000662723390915081,0.00201392760267664,0.00149499646721913,-0.000256823280376495
"T+14",0.00069537247344153,-0.000260785902672436,-0.000183540161593304,0.00178322619171556,0.000753808976312877,-0.000154338085629276,0.000628407907743823,0.00201392760158483,0.00149499848800494,-0.000256821941838787
"T+15",2.96668903031216e-07,-0.000260784981408866,-0.000183195378919434,0.00171360428390216,0.00054205121387047,-0.000154338085278296,0.000656844162903079,0.00201392761288714,0.00149499822604348,-0.000256822405965495
"T+16",0.000607026073003994,-0.000260784846807561,-0.000183381412010971,0.00165281477528806,0.000716597877151283,-0.000154338099955095,0.000633279855273907,0.00201392760785503,0.00149499805283018,-0.000256822290296089
"T+17",7.74139538694925e-05,-0.000260785003185023,-0.000183281034834942,0.00159973716690868,0.000572723398543909,-0.000154338099718229,0.000652806919991235,0.00201392760951043,0.00149499810113494,-0.00025682230856104
"T+18",0.000539710646329558,-0.000260784953678774,-0.000183335194970562,0.00155339310893713,0.000691315557256456,-0.000154338098495837,0.000636625402487349,0.00201392760903693,0.00149499811275648,-0.000256822309106032
"T+19",0.000136173370391127,-0.000260784956872284,-0.000183305971989737,0.00151292836730976,0.000593562986792016,-0.000154338098537806,0.000650034561136313,0.00201392760916068,0.00149499810638454,-0.000256822307365167
"T+20",0.000488419743180991,-0.000260784960990251,-0.000183321739723672,0.00147759707810812,0.000674138002342301,-0.000154338098639212,0.000638922776618706,0.00201392760913055,0.00149499810599549,-0.000256822308161161
"T+21",0.000180945032560833,-0.000260784958947461,-0.000183313231986733,0.00144674799946714,0.000607722018598012,-0.000154338098633865,0.000648130793198892,0.00201392760913743,0.00149499810669328,-0.000256822307917896
