"","JNJ","CVX","PG","HPQ","MCD","AXP","KO","CAT","MRK","AA"
"T+1",0.000616406883932511,-0.00119401287753255,0.00060801781022349,0.00465430036886178,0.00192613581457079,-0.000710969186934429,0.000641808090655304,0.0060947262430975,0.000281052421268616,0.00280936729530621
"T+2",0.000723343736387517,0.00188980262273503,0.000889153442644525,0.00290341465972936,0.00146223716484454,0.00540041250426209,0.000633857323081564,-4.46215274743024e-05,0.00356862099976131,0.00268391640961678
"T+3",0.000735175314343528,0.00050228713895494,0.000701081695043769,0.00223457534059702,0.00117609052179835,0.00258710479231011,0.00065433999932079,0.00560902172566852,0.000661621432895256,0.0018757761659298
"T+4",0.000735776653891173,0.00139360911766979,0.000818724239117269,0.00215338894965186,0.0010630134714626,0.00390007478345856,0.000671471664043691,0.000392578725148647,0.00341444040547143,0.00151125618911968
"T+5",0.000735899090489873,0.00086912584183229,0.000745184497585087,0.00216558770606579,0.00101961868280799,0.00328717932164719,0.00068834981010532,0.0052056233503634,0.00081447592812729,0.0013873288182587
"T+6",0.000735898056045605,0.00118381520283584,0.000791154756138351,0.00217253555007567,0.00100300632514087,0.00357328039334751,0.000704691822341815,0.000764781460927548,0.00327031377954094,0.00135003361889762
"T+7",0.000735899896322564,0.000995837279822339,0.000762418395520684,0.00217366836998381,0.000996648134856366,0.00343972771972042,0.000720542040852643,0.00486220382506595,0.000950621484545266,0.00133957640555158
"T+8",0.000735899736097506,0.00110823764868231,0.000780381714566319,0.00217361340888068,0.000994214653977827,0.00350207043148237,0.000735912615510924,0.0010816436411783,0.00314171609240089,0.00133678154301437
"T+9",0.00073589977518602,0.00104104376714721,0.000769152706292573,0.00217354503462995,0.000993283285180146,0.00347296870252158,0.000750818317546069,0.00456984525521963,0.00107209006197505,0.00133606094148791
"T+10",0.000735899769797016,0.00108121490586689,0.000776172045340748,0.00217353074076841,0.000992926821428898,0.00348655346013914,0.000765273181843393,0.00135139351569771,0.00302698141685576,0.00133588046457674
"T+11",0.000735899770784135,0.00105719930412566,0.000771784202757318,0.00217353050181928,0.000992790391687177,0.00348021206235564,0.000779290846847083,0.00432095569866761,0.00118046414601615,0.00133583637452691
"T+12",0.000735899770628758,0.00107155664314677,0.000774527076752266,0.00217353113340657,0.00099273817579049,0.00348317224221167,0.000792884535776923,0.00158103592598994,0.0029246153097098,0.00133582584243682
"T+13",0.00073589977065521,0.00106297334542332,0.000772812485216878,0.00217353130152696,0.000992718191146143,0.0034817904230798,0.00080606707216866,0.00410907201284569,0.0012771553428552,0.00133582337927495
"T+14",0.000735899770650889,0.00106810472873537,0.000773884289513626,0.00217353131267973,0.000992710542402465,0.0034824354595999,0.000818850891673916,0.00177653420638314,0.00283328442093395,0.00133582281509902
"T+15",0.00073589977065161,0.0010650370157503,0.00077321429644133,0.00217353130731926,0.000992707614990857,0.00348213435498884,0.000831248053820058,0.00392869202045297,0.00136342308508278,0.00133582268861606
"T+16",0.000735899770651491,0.00106687099743758,0.000773633114240705,0.00217353130545137,0.000992706494579573,0.00348227491135112,0.000843270253383676,0.00194296503938155,0.00275179913759996,0.00133582266090406
"T+17",0.000735899770651511,0.00106577458169064,0.000773371308027587,0.00217353130524739,0.000992706065763399,0.00348220929930052,0.000854928831423043,0.00377513162938566,0.00144039103658548,0.00133582265498729
"T+18",0.000735899770651507,0.00106643005578775,0.000773534965095958,0.0021735313052871,0.00099270590164214,0.00348223992716477,0.000866234785976596,0.00208465028651945,0.00267909808881989,0.00133582265376208
"T+19",0.000735899770651508,0.00106603819139402,0.000773432661809459,0.0021735313053068,0.00099270583882784,0.0034822256300035,0.000877198782437862,0.00364440319663683,0.00150906172861418,0.00133582265351798
"T+20",0.000735899770651508,0.00106627246106806,0.000773496612377147,0.00217353130530977,0.000992705814786858,0.00348223230395304,0.00088783116361658,0.00220526921808917,0.00261423432106372,0.00133582265347185
"T+21",0.000735899770651508,0.00106613240680171,0.00077345663638764,0.00217353130530955,0.000992705805585627,0.00348222918853721,0.000898141959495524,0.00353311197752634,0.0015703296180621,0.00133582265346381
