"","INTC","GS","CSCO","CVX","WMT","VZ","HD","MRK","NKE","BA"
"T+1",-0.000176858172856801,0.00239367460932086,0.000495408653531404,0.000928347642909297,-0.00217955667055645,-0.00016370996270321,0.000648940895968202,0.00086363190130351,0.00067409174417451,0.0009398541970807
"T+2",-0.000161924334582844,0.000449913103890295,0.000687486432097458,0.000770478498380065,-0.00144300090084796,-0.000969060065568059,0.000534736116083551,0.000761277099329489,0.000360818466428409,0.00247902764502473
"T+3",0.000225402154726701,0.00163972155105732,0.000726834614837195,0.000537573198633446,-0.000908567617112761,-8.64660030416014e-05,0.0004572438718556,0.000758624592849079,-4.11601050298213e-05,0.00241416474072154
"T+4",0.000413249784356098,0.00134834700039732,0.000758472108189826,0.000793598544953972,-0.0005364915330202,-0.000357417802059826,0.000457032027671786,0.000761836628935919,-0.000217401975259758,0.00207639709623386
"T+5",0.000488458389475447,0.00150867300709691,0.000777940361681245,0.000546245265648447,-0.000277496379517643,-0.00020003292605517,0.000460676216029193,0.000762666706623983,-0.000283841264077682,0.0018088380789551
"T+6",0.000517199118718535,0.00146573920453453,0.000790305320848123,0.000782619601036906,-9.7214876789848e-05,-0.000263221613278969,0.00046094980728694,0.000762735919346925,-0.000307876214642379,0.00164975310354126
"T+7",0.000528039140913425,0.00148749453090547,0.000798126273032434,0.000556962652924689,2.827557996066e-05,-0.000232175827969799,0.000460797502390213,0.000762720729141138,-0.000316461260790573,0.00156748090144058
"T+8",0.000532111961513046,0.00148124537436181,0.000803075749191877,0.000772368335672059,0.000115627052501782,-0.000245778071339481,0.000460773565919054,0.000762714690934272,-0.000319515331852777,0.00152875641247495
"T+9",0.000533640467493828,0.00148421491450157,0.000806207799299619,0.000566749958795313,0.000176430717997016,-0.000239425962519059,0.0004607790270556,0.000762713882692914,-0.000320600373111953,0.00151189380666157
"T+10",0.000534213913603552,0.00148331345887981,0.000808189792089182,0.000763025578968996,0.000218754970011379,-0.000242287708270947,0.000460780552445319,0.000762713923812549,-0.000320985699550777,0.0015050860473141
"T+11",0.000534429030532379,0.00148372079243661,0.000809444015587798,0.000575668218711474,0.000248216060785846,-0.000240972271517325,0.000460780404880042,0.00076271396330483,-0.000321122520145587,0.001502564422216
"T+12",0.0005345097249782,0.00148359162308738,0.000810237700019955,0.000754512540690552,0.000268723354555073,-0.000241570145074876,0.000460780322171179,0.000762713970761917,-0.00032117109983091,0.00150173408835107
"T+13",0.000534539994729797,0.00148364772488567,0.000810739950987377,0.000583794446452021,0.000282998083924627,-0.000241296684633885,0.000460780323157436,0.000762713970987156,-0.00032118834834184,0.001501512339009
"T+14",0.000534551349358288,0.00148362930970098,0.000811057780120334,0.00074675554790771,0.000292934446121758,-0.00024142131940206,0.000460780327134635,0.000762713970760424,-0.00032119447250101,0.00150148207924736
"T+15",0.000534555608642909,0.00148363706234713,0.000811258905382953,0.000591198981358827,0.000299850955090618,-0.000241364401664825,0.000460780327375734,0.000762713970700414,-0.00032119664690715,0.0015014979654713
"T+16",0.000534557206361521,0.00148363444709731,0.000811386179339525,0.0007396874560949,0.000304665402809738,-0.000241390365665019,0.000460780327205352,0.000762713970695206,-0.000321197418937984,0.00150151669774813
"T+17",0.000534557805688594,0.00148363552133507,0.000811466719495498,0.000597945917189722,0.000308016646471026,-0.000241378514330964,0.000460780327181643,0.000762713970696257,-0.000321197693050304,0.00150152926811833
"T+18",0.000534558030504736,0.00148363515103218,0.000811517686063198,0.000733247083740982,0.000310349382172512,-0.0002413839220052,0.000460780327187974,0.000762713970696691,-0.000321197790374862,0.00150153621369562
"T+19",0.00053455811483648,0.00148363530020983,0.000811549938186276,0.000604093655525571,0.000311973154241324,-0.000241381454038799,0.000460780327189552,0.00076271397069675,-0.000321197824930294,0.00150153964160269
"T+20",0.00053455814647052,0.00148363524789808,0.000811570347632899,0.000727378682883215,0.000313103430478695,-0.000241382580250534,0.000460780327189367,0.000762713970696748,-0.000321197837199323,0.00150154119652312
"T+21",0.000534558158336901,0.00148363526865079,0.000811583262922551,0.000609695411284533,0.000313890193841178,-0.000241382066292422,0.000460780327189279,0.000762713970696745,-0.000321197841555486,0.00150154185065406
