"","CAT","JNJ","CVX","WMT","PG","KO","MCD","DIS","AA","MRK"
"T+1",0.00200520443091223,-0.000705784329655825,0.00560238460004155,0.000414718923870885,0.000709175424006287,0.0031287966413535,0.00363884072332001,0.000386598942782182,0.00244348922483881,0.00192574150113889
"T+2",-8.46260593073964e-05,-1.44594528918133e-06,-0.00369640586216528,0.000149201060967166,-0.00124599475829029,-0.0027655810932543,-0.00113351270217469,-0.00176188019073771,-0.00501371067023445,-0.00145017332840311
"T+3",0.00276927844056968,0.000209499983626612,0.00595292309639882,0.000134763270404795,0.00127417084163456,0.00376687993465239,0.00249507794723679,0.00103559653013506,0.00457858929077708,0.00104196996427792
"T+4",-6.09608906783634e-05,0.000280448229332762,-0.00246940405705912,0.000116799798043217,-0.000455348313904843,-0.00209133234365335,-0.000527607940106745,-0.00108205590633667,-0.00348468553691928,-0.00107434390354081
"T+5",0.00277454448382595,0.000307186222326827,0.0050297837410211,0.000111435966170403,0.000919494263980214,0.00324139111676766,0.00200495893117169,0.000613319218228589,0.00353046609869084,0.000686560075352672
"T+6",-6.51712094794773e-05,0.000318210481296414,-0.00163111210362586,0.000109100284162147,-0.000129737342483835,-0.00160737364732794,-0.000117699029793448,-0.000734365816491196,-0.00255267197184476,-0.000782752811710519
"T+7",0.0027788001646287,0.000323034537468925,0.0042869689103049,0.000108215391913486,0.000679759977015122,0.0028017441471096,0.00166143302161578,0.000337881232169675,0.00272392853275284,0.000442773483698829
"T+8",-6.94318318780645e-05,0.00032522038480677,-0.000970942968488615,0.000107863821989755,5.70517626342433e-05,-0.00120756300065607,0.000170229597775345,-0.000515127498089852,-0.00185293393185836,-0.000579470727776789
"T+9",0.00278306722270006,0.000326229795829808,0.0037004632954792,0.00010772645869647,0.000536450302444563,0.00243818949903958,0.00142010186916331,0.000163479059698068,0.00211699499940388,0.000273204002029517
"T+10",-7.37052806752613e-05,0.000326700576450333,-0.00044985817929752,0.000107672475460415,0.000167458685201027,-0.000876974509274562,0.000372504554913254,-0.000376381854543926,-0.0013264843780948,-0.000438030117595771
"T+11",0.00278734707380171,0.000326921258258701,0.00323750458006701,0.0001076513033986,0.000451486675295503,0.00213757802463604,0.00125056238389557,5.31009812157686e-05,0.00166035763567613,0.000155225295068232
"T+12",-7.79915435993419e-05,0.000327024969117189,-3.85414060343656e-05,0.000107642993878033,0.000232862042468087,-0.000603621793762094,0.00051460636285371,-0.000288571283716426,-0.000930401365842201,-0.000339621594480723
"T+13",0.00279163975815674,0.000327073771290323,0.00287206924285498,0.000107639733401951,0.000401144500055328,0.00188901230698626,0.00113145783553638,-1.67561439953096e-05,0.00131679891275685,7.3140663012378e-05
"T+14",-8.22906590054321e-05,0.000327096750394586,0.000286130466555835,0.000107638453950834,0.000271612189030936,-0.000377595445758901,0.000614435447687528,-0.00023299690373576,-0.000632401722681266,-0.000271153066778181
"T+15",0.00279594531424853,0.000327107573864682,0.00258361376526447,0.000107637951893589,0.000371317320976352,0.00168348151024623,0.00104778474062898,-6.0967979138319e-05,0.00105831679198925,1.6029615782291e-05
"T+16",-8.66026654319746e-05,0.000327112672684184,0.00054240940411956,0.000107637754884,0.000294571121868785,-0.000190701710661941,0.000684567181570867,-0.000197824466941469,-0.000408196733544568,-0.000223515534265691
"T+17",0.00280026378067334,0.000327115074875319,0.00235592214926109,0.000107637677576809,0.000353645104227305,0.00151353487075224,0.000989002881263955,-8.89491815924651e-05,0.000863843468246668,-2.37058577216803e-05
"T+18",-9.09276015330621e-05,0.000327116206657524,0.000744702548032145,0.000107637647241182,0.000308173987587787,-3.61654429785052e-05,0.000733835990412209,-0.000175564204015633,-0.000239512380028988,-0.000190371335326345
"T+19",0.0028045951961432,0.000327116739902583,0.00217619433673848,0.000107637635337376,0.00034317454738,0.00137301159767881,0.000947707564122475,-0.000106658188428004,0.000717528227814858,-5.13521351272389e-05
"T+20",-9.52655060786941e-05,0.000327116991146266,0.000904382139586296,0.000107637630666279,0.000316233507093694,9.1615501723236e-05,0.000768448217862377,-0.000161475919248017,-0.00011259990038018,-0.000167310990564847
"T+21",0.00280893959948617,0.000327117109522801,0.00203432663356543,0.000107637628833324,0.000336970879755737,0.00125681753621301,0.00091869685850281,-0.00011786603139383,0.000607445522533615,-7.0587256468105e-05
