"","BA","PFE","WMT","HD","PG","VZ","CSCO","UNH","CVX","MRK"
"T+1",0.0013328726023075,-0.00101224443114726,0.00357222101203089,0.00294076381434428,0.0003168505750804,-0.000875777696957891,-2.20195122122559e-05,0.0022215476348758,-0.00296095169966446,0.00694727717790495
"T+2",0.00210487045986163,0.000453537390571485,0.00137120162260846,0.000994074470121927,0.000128362334147708,0.000535015831815232,0.000791189251159023,0.0022538163945278,0.00194281112064084,0.00635830145619856
"T+3",0.00220621498809095,0.000301687470026026,0.000747486631944627,0.00110389522214602,8.85991917391812e-05,-2.12328315497998e-05,0.000472220808738849,0.0022367766962163,-0.000263657720321801,0.00594831033783104
"T+4",0.00222507208279887,0.000524239528818379,0.00089252224680707,0.00129392073347487,8.20985709345416e-05,0.000272110017601243,0.00058623769089639,0.00222167511721422,0.000888348591462248,0.00553692810471065
"T+5",0.00223351051549469,0.000451918991437844,0.00103769916135316,0.0012710960968528,8.12364174006204e-05,0.000136300044544712,0.000544801089100275,0.00220704661999386,0.000262289270082323,0.00516173025037904
"T+6",0.0022403742725046,0.000497444378518401,0.00106180501465338,0.00125329351783285,8.11495776371783e-05,0.000202779361685337,0.000559814361509985,0.00219291468161496,0.000605795966499978,0.00481175711260975
"T+7",0.00224676130267755,0.000477404286319214,0.00104672920441276,0.00125669917867146,8.11454795588133e-05,0.000171020440380245,0.000554371731055083,0.00217926136840224,0.000416901716758467,0.00448708340517178
"T+8",0.00225281992656767,0.000487966626887947,0.00103805518172407,0.00125828883763717,8.11463207642831e-05,0.000186353403208478,0.000556344598708663,0.00216607050055601,0.000520827665613587,0.00418548608994427
"T+9",0.00225858145871799,0.000482902473614293,0.00103762483906678,0.00125784647987198,8.11466395382064e-05,0.000178984646597049,0.000555629451932386,0.00215332641393357,0.000463642921177928,0.00390541321858739
"T+10",0.00226406224003564,0.000485451812000152,0.00103885224187129,0.00125771306188023,8.11467066686025e-05,0.000182533003025907,0.000555888685316589,0.00214101397585793,0.000495109393864486,0.0036453089109696
"T+11",0.00226927616832752,0.000484200625812383,0.00103931703538068,0.00125776601226154,8.11467176308257e-05,0.000180825802631617,0.000555794715810036,0.00212911856617764,0.000477794548232193,0.0034037538630739
"T+12",0.00227423626297874,0.000484822820150595,0.00103927399139524,0.00125777623371236,8.1146719082992e-05,0.000181647486890805,0.000555828778811502,0.00211762605993376,0.000487322286138494,0.00317942425416808
"T+13",0.00227895488482604,0.00048451551854612,0.00103918684090421,0.00125777025016172,8.11467192289708e-05,0.000181252070614999,0.00055581643131564,0.0021065228105867,0.000482079512330275,0.00297109194804565
"T+14",0.00228344378991445,0.000484667833073463,0.00103916543440729,0.0012577695859407,8.11467192357953e-05,0.000181442368914388,0.00055582090715884,0.00209579563381195,0.00048496442368377,0.00277761610220118
"T+15",0.00228771416159832,0.000484592476736054,0.00103917224123033,0.0012577702318211,8.11467192343639e-05,0.000181350788648912,0.000555819284710646,0.00208543179184463,0.000483376959878388,0.00259793729325369
"T+16",0.00229177663874725,0.000484629794209622,0.00103917781543569,0.00125777025912719,8.11467192338248e-05,0.000181394861860514,0.000555819872831816,0.00207541897835427,0.000484250484584883,0.00243107163247521
"T+17",0.00229564134229308,0.000484611323232381,0.00103917854594895,0.00125777019214759,8.11467192337114e-05,0.000181373651650165,0.000555819659643801,0.00206574530383196,0.000483769815097515,0.00227610539682864
"T+18",0.0022993179004496,0.000484620468132385,0.00103917790401041,0.00125777019351893,8.11467192336929e-05,0.000181383859078716,0.000555819736922315,0.00205639928147232,0.000484034310370993,0.00213219002143634
"T+19",0.00230281547270008,0.000484615941135204,0.0010391775812884,0.00125777020020563,8.11467192336905e-05,0.000181378946751979,0.000555819708909629,0.00204736981353381,0.000483888768056505,0.0019985374539359
"T+20",0.00230614277261663,0.000484618182288113,0.00103917757804423,0.0012577701996545,8.11467192336902e-05,0.000181381310811188,0.000555819719063946,0.0020386461781609,0.000483968854800696,0.0018744158390518
"T+21",0.00230930808956846,0.000484617072813965,0.00103917762783982,0.00125777019901251,8.11467192336902e-05,0.000181380173106982,0.000555819715383109,0.00203021801665262,0.000483924785922049,0.00175914551114581
