"","JNJ","HPQ","CVX","PG","AXP","MCD","KO","CAT","AA","MRK"
"T+1",-3.97921951068025e-05,0.00472932454861437,0.00205758837530667,0.00175343468298829,0.00330015469304999,0.000885270672552313,0.00170053322078866,-0.000384587071534159,-0.00217187498737826,0.000722090437992538
"T+2",7.49766978689161e-05,0.00447128000955156,-0.000535766056273415,0.000484211227519706,0.00148829396155289,0.00013181628987509,0.00193592876383305,-0.000345600755265976,0.00695912327284449,0.0024864734561748
"T+3",0.000776914858033354,0.00243095611130229,0.00117753930855552,0.000561128493671751,0.00255977515254246,0.000202460468037977,0.00133099315232543,-0.000124776624575952,-0.00175434517403796,0.0026242905050141
"T+4",0.000359837541727791,0.00199106704538009,0.000266295034194398,0.000533810515475381,0.00200636034444694,0.000196100582705913,0.00130699372190609,4.79576033506399e-05,0.00660703620745633,0.0025675404594497
"T+5",0.000684938696907028,0.0020194898611912,0.000767681570585715,0.000523712209363125,0.00229478047455299,0.00019693329330339,0.00133368219944178,0.000185082998285236,-0.00141635745151964,0.00249432851584399
"T+6",0.000444582642597585,0.00205316091474429,0.000493383185715119,0.000517026580220497,0.00214456145047692,0.000197091512870658,0.00133535360723104,0.000293913162483125,0.00628271113378258,0.0024260868641236
"T+7",0.00062396467478662,0.00205891955494368,0.00064358967517937,0.000513023376377646,0.002222804115932,0.000197310345946271,0.00133418974539702,0.000380287054224545,-0.00110514238468662,0.0023647479769505
"T+8",0.000490316719374714,0.00205811515046235,0.000561349352157179,0.000510592505736549,0.00218205098495726,0.000197521130906428,0.00133408874191514,0.000448838348881861,0.00598407613644379,0.00230988573327183
"T+9",0.000589921327220176,0.00205757775618925,0.000606378372918442,0.00050911939841984,0.00220327748636862,0.000197730307650109,0.00133413887382731,0.000503244604174379,-0.000818578939851212,0.00226085010394204
"T+10",0.000515692538218358,0.0020575076327806,0.000581723755812684,0.000508226434479576,0.00219222154184491,0.000197937298541195,0.00133414452977954,0.000546424541616752,0.0057090962826165,0.00221702650241556
"T+11",0.000571010947988102,0.00205752533913693,0.000595222841223545,0.000507685162994146,0.00219798009371715,0.000198142181397496,0.00133414239934005,0.000580694626692508,-0.000554714440126523,0.00217786146727617
"T+12",0.000529785421588786,0.00205753365077416,0.000587831719168043,0.000507357068445238,0.00219498071907379,0.000198344972549559,0.00133414209762097,0.00060789333981401,0.00545589782736279,0.00214285984647169
"T+13",0.000560508368828317,0.00205753440835218,0.000591878562692037,0.000507158192388334,0.00219654296049331,0.000198545693832232,0.00133414218679762,0.000629479804914125,-0.000311750881899651,0.00211157905912782
"T+14",0.000537612374197167,0.00205753406142929,0.000589662804065967,0.000507037642714055,0.0021957292581243,0.000198744366327614,0.00133414220235056,0.000646612066776548,0.00522275544674632,0.00208362356454718
"T+15",0.000554675404370669,0.00205753393685813,0.000590875993126217,0.000506964570953027,0.00219615307965218,0.000198941010952122,0.00133414219868257,0.00066020921643312,-8.80326830216102e-05,0.00205863986881667
"T+16",0.000541959337528916,0.00205753393056853,0.000590211738600272,0.000506920278155841,0.00219593232978793,0.000199135648404056,0.00133414219790144,0.000671000697456926,0.00500808048127289,0.00203631205593885
"T+17",0.000551435869794071,0.00205753393689976,0.000590575436303872,0.000506893429865143,0.00219604730861595,0.000199328299170876,0.00133414219804918,0.000679565438276034,0.000117964598523384,0.00201635779323753
"T+18",0.000544373570980732,0.00205753393870511,0.000590376301763667,0.000506877155645424,0.00219598742123646,0.000199518983530884,0.0013341421980876,0.000686362909831299,0.00481041011057855,0.00199852476130884
"T+19",0.00054963668444185,0.00205753393871531,0.000590485333425704,0.000506867290949363,0.00219601861392023,0.000199707721555402,0.0013341421980818,0.000691757774722194,0.000307644652344401,0.00198258746347284
"T+20",0.000545714397374044,0.00205753393860547,0.000590425635578639,0.0005068613114167,0.00219600236703267,0.000199894533110885,0.00133414219807994,0.000696039450188491,0.00462839738560027,0.00196834437439358
"T+21",0.000548637445861586,0.00205753393858029,0.000590458321799115,0.000506857686894399,0.00219601082931688,0.000200079437861005,0.00133414219808016,0.000699437634419132,0.000482299980549231,0.00195561539181404
