"","IBM","JNJ","HPQ","PFE","AXP","KO","MRK","AA","MCD","BA"
"T+1",-0.00113488146201045,-0.00395460532783079,-0.00375494055075267,-0.00567767986177741,-0.00891686655105701,-0.00284302561644673,-0.013480674321201,-0.00762034720264383,-0.00320668136598619,-0.00496892087811906
"T+2",-0.000887033501890463,0.000144833473347472,-0.00253639758303191,-0.000272350311451892,-0.00810886134894204,-0.000747103880315435,-0.0115718125598791,-0.0105943820113706,-0.0012172205226903,-0.00289598594866953
"T+3",-0.000496994026276435,0.0021952353441766,-0.00154533212910476,-0.000324686983409206,-0.00405337148030085,-0.000676239995629988,-0.00971021751607935,-0.00520690925203928,0.00114257651281387,-0.000758051141068377
"T+4",-0.000227369414024648,0.00053814117585256,-0.000936437881435472,-0.00125783521023791,-0.0025745571748051,-0.00104798997339161,-0.00825947047146229,-0.00209762565665637,0.0013477649006847,-0.00242991159679082
"T+5",-4.65677564332774e-05,0.000639745975384921,-0.000569677145499325,-0.00113705214438344,-0.0023963532668087,-0.000789832120524762,-0.00713222085016967,-0.00112761761275437,0.000971877597145107,-0.00146863981978244
"T+6",7.44658855270562e-05,0.000986880903021717,-0.000349123993352832,-0.000989333207989455,-0.00246992839794425,-0.000919789720791617,-0.00625637086879864,-0.000990796175096527,0.000845193561212196,-0.00198058874484528
"T+7",0.000155481311902451,0.000843037606598844,-0.00021651154152491,-0.0010280048311288,-0.00251527184932205,-0.000865227429699195,-0.0055758537167935,-0.00103317463155957,0.000882626050291491,-0.0017144643983355
"T+8",0.0002097097311896,0.000812825793052752,-0.000136776289738989,-0.00104904889911585,-0.00252561023909036,-0.00088483697966423,-0.00504710610054806,-0.00107079670145167,0.000914371887449536,-0.00185167433409011
"T+9",0.000246008009988599,0.000856496130826892,-8.88343038932097e-05,-0.00103980927709485,-0.00252522489261766,-0.000878990545101176,-0.00463628024432538,-0.00108518093325902,0.000915211373089149,-0.001781130717673
"T+10",0.000270304588009531,0.000848321184717664,-6.00084863138199e-05,-0.00103725782839818,-0.00252408453218315,-0.000880222575560375,-0.00431707713313364,-0.00108819465539507,0.000909696048730158,-0.00181736354509692
"T+11",0.000286567720104402,0.000841079588106026,-4.26765435732702e-05,-0.00103916899621735,-0.00252368388706999,-0.000880225035706811,-0.00406906298151401,-0.00108807149230632,0.00090822815668687,-0.00179875992283418
"T+12",0.000297453593221676,0.000845477585919655,-3.22554605227803e-05,-0.0010393836768231,-0.00252363960433061,-0.000880034873766682,-0.00387636116487457,-0.00108765853639077,0.000908870725849083,-0.0018083107434418
"T+13",0.000304740149884546,0.000845623213737217,-2.59896325330519e-05,-0.00103902583301831,-0.00252366107141289,-0.000880172096176446,-0.0037266358774519,-0.00108746095712,0.000909288424434448,-0.00180340770094284
"T+14",0.000309617471843861,0.00084455786615099,-2.22222121789012e-05,-0.00103903135273025,-0.00252367356097039,-0.000880101880353331,-0.00361030245577095,-0.00108740751274185,0.000909272454339246,-0.00180592470703635
"T+15",0.000312882150977701,0.000844893760557961,-1.99569958103492e-05,-0.00103909288308947,-0.00252367629328936,-0.00088013170576958,-0.00351991381646386,-0.00108740302286293,0.00090919343617492,-0.00180463259356656
"T+16",0.000315067393193786,0.000845023090379496,-1.85950014709859e-05,-0.00103908455931062,-0.00252367614289051,-0.000880120860754495,-0.00344968373126793,-0.00108740692188663,0.000909177446510362,-0.00180529590313821
"T+17",0.000316530104641739,0.000844900726774366,-1.77760825340528e-05,-0.00103907486198268,-0.00252367582287172,-0.000880124147647281,-0.00339511642165426,-0.00108740944342409,0.000909187856080589,-0.00180495539177967
"T+18",0.000317509183649193,0.00084491332366598,-1.72836955938978e-05,-0.00103907746926357,-0.00252367571449573,-0.000880123427537827,-0.00335271876158926,-0.00108741028462586,0.00090919322018525,-0.00180513019396095
"T+19",0.000318164538951278,0.000844937190073964,-1.69876407734498e-05,-0.00103907884253626,-0.00252367570362559,-0.000880123446021638,-0.0033197766650902,-0.00108741042357366,0.000909192626614845,-0.00180504045892133
"T+20",0.000318603206891967,0.000844926005672392,-1.68096334999772e-05,-0.00103907822504201,-0.00252367570985793,-0.000880123542754286,-0.00329418134402555,-0.00108741039723512,0.000909191519112617,-0.00180508652457716
"T+21",0.000318896833206695,0.000844924377616605,-1.67026040337412e-05,-0.00103907806028292,-0.00252367571329325,-0.000880123469933627,-0.003274294314054,-0.00108741036759578,0.000909191361574836,-0.00180506287668403
