"","UNH","JNJ","WMT","PG","CSCO","GS","VZ","NKE","MRK","KO"
"T+1",0.00090899377118264,0.00323230485803118,-0.00244615359659388,0.00202420151274305,-0.000826776073871206,-0.0015066212099422,-0.00130543563845625,-0.00229796585733293,0.00121624251901914,0.000747891885377172
"T+2",0.00270485634291675,-0.00165769594264303,0.00251033128073714,0.0024750565448387,0.000671243058089277,0.00179679826515436,-0.000245207878934252,-0.000430290827961653,-0.000640500096640685,0.000767487285171955
"T+3",0.00125232057371928,0.000877004556003104,-0.0014578221216878,0.00241738837109231,0.000700041845886139,0.00156658824915379,-0.000170261985173446,0.000226955365673148,0.000510340588606737,0.000880809545348124
"T+4",0.0012856516012507,9.46691534201717e-05,0.00211697479615273,0.00234144568776268,0.000525263775913637,0.000854819074816387,-0.000183684850109965,-0.000206193622893377,4.84390865426547e-06,0.000867233706425045
"T+5",0.0013672559042358,0.000485773785311391,-0.00107901086756205,0.00226812218556293,0.00045525708415504,0.000402381351411669,-0.000202948164849648,0.000244743938274185,0.000272256552834134,0.000872102927580468
"T+6",0.00135754966406988,0.000361001363083364,0.00177964001247749,0.00219815763275776,0.000450315366959645,0.000209438679480944,-0.000220695309329811,-0.000202706946153207,0.000144774689528234,0.000871115391992409
"T+7",0.00135371010622747,0.00042145890791657,-0.000777208165178799,0.0021314333760852,0.000457116390500374,0.00015208342410056,-0.000236481345012913,0.000243136758862791,0.000209125425469827,0.000871374995580129
"T+8",0.00135464175037799,0.000401611343568242,0.00150970423667103,0.0020678008585041,0.000460314254733192,0.000144817570607503,-0.000250472869834657,-0.000200941915321364,0.000177657788760222,0.000871314950921194
"T+9",0.00135477723456964,0.000410972150170252,-0.00053577027036656,0.00200711688596084,0.000460686625420964,0.000149406548607711,-0.000262869269528017,0.000241393107478145,0.000193317812326372,0.000871329713376101
"T+10",0.0013547099759229,0.000407821943047763,0.0012937558555554,0.0019492448342791,0.000460431697594405,0.000153788252607768,-0.000273851973310508,-0.000199203843948078,0.000185599886021946,0.000871326189910045
"T+11",0.00135470846527524,0.000409273394607697,-0.000342620365483085,0.00189405440724841,0.000460288628398176,0.000156042555289553,-0.000283582160972336,0.000239661976947465,0.000189424103778248,0.000871327042969517
"T+12",0.00135471253435615,0.000408774323539497,0.00112099750742288,0.00184142134608992,0.000460265851340781,0.000156864087646716,-0.000292202671364254,-0.00019747950532424,0.000187534839418371,0.000871326837856758
"T+13",0.00135471223553369,0.000408999667952013,-0.000188100761266811,0.00179122714981453,0.000460274931156683,0.000157053418715692,-0.000299840057069433,0.000237944414249461,0.000188469723114552,0.000871326887339234
"T+14",0.00135471202646962,0.000408920727485404,0.000982791114823733,0.0017433588084284,0.000460281206462227,0.000157046498563543,-0.000306606438349783,-0.000195768690987038,0.000188007526362103,0.000871326875420993
"T+15",0.00135471206379272,0.000408955752747224,-6.44853336181987e-05,0.0016977085484962,0.000460282466096718,0.0001570100322457,-0.000312601148762041,0.000236240321841102,0.000188236146806007,0.000871326878293822
"T+16",0.00135471207244472,0.00040894328312886,0.000872226229470939,0.00165417359049405,0.00046028216689104,0.000156986036422534,-0.000317912193386353,-0.000194071294089252,0.000188123093798839,0.000871326877601601
"T+17",0.00135471206944359,0.000408948732523438,3.44068039216724e-05,0.00161265591740604,0.000460281896987746,0.00015697558850487,-0.00032261754077788,0.00023454959414735,0.000188179007236673,0.000871326877768425
"T+18",0.00135471206922405,0.00040894676505209,0.000783774504169551,0.0015730620540432,0.000460281831488411,0.000156972398355313,-0.000326786267580437,-0.000192387209395656,0.000188151356087524,0.000871326877728224
"T+19",0.00135471206942008,0.00040894761363724,0.000113520350290693,0.00153530285658839,0.000460281840053681,0.000156971946728741,-0.000330479572603069,0.000232872126353055,0.000188165031193378,0.000871326877737912
"T+20",0.00135471206941425,0.000408947303511709,0.000713013270312816,0.00149929331189289,0.000460281851430124,0.000156972169211076,-0.000333751675246454,-0.000190716332502351,0.000188158268232859,0.000871326877735578
"T+21",0.00135471206940337,0.0004089474357559,0.000176811056455879,0.00146495234607313,0.000460281854692583,0.000156972398277333,-0.000336650611468412,0.000231207814464578,0.000188161612872184,0.00087132687773614
