"","JNJ","IBM","HPQ","PFE","KO","MCD","AXP","HD","DIS","MRK"
"T+1",0.000874729928219846,-0.00277390194176483,0.00317846837736598,0.00172531034265471,0.00225182447577925,0.00243154095129506,0.0082712357307654,-0.000729485132430625,0.00466207955768559,0.0010467101141989
"T+2",0.00162395504079204,9.08154715355328e-05,-0.000843741432646042,-0.00205629493277858,-0.00238450194512383,-0.0020179012972882,-0.0146356569580372,-0.00102416017841518,-0.00602742953160583,-0.00402110803990192
"T+3",4.13797055084432e-05,0.000406917128912214,-0.000673506241041649,-0.00245765100114182,-0.00132684674797296,-0.000125220473672432,-0.00450883701001168,0.000391891099983852,0.00032462325435643,-0.00238974735960937
"T+4",0.000400068716514565,3.74532121683279e-05,-0.000304439677387986,-0.00178642340974692,-0.000890563961722555,0.000543679653501546,-0.00150903765201164,-0.000234768915847427,0.000894235360312067,-0.00159600291954276
"T+5",0.000540700144442991,0.000218299580326664,-0.000382643319365185,-0.0018621727605662,-0.001180972117449,0.000180053334575951,-0.0033292459192012,-0.000152824763319314,-0.000804429541473154,-0.00196591700780309
"T+6",0.000442021968709331,0.000144486388338911,-0.000406098649814062,-0.0019510466477685,-0.00116825155881149,8.3739289944698e-05,-0.0036894436993509,-9.64468938723909e-05,-0.000408905607744085,-0.00208031327974252
"T+7",0.000449634369359622,0.000172555453292481,-0.000394471184349741,-0.00192095606003459,-0.00112584386405423,0.000151872405997076,-0.00337410412082126,-0.000135632258002117,-0.000126182049797724,-0.00200212369361787
"T+8",0.000462844031700563,0.000162226956598978,-0.000394087813338752,-0.00191331962908889,-0.0011398054821267,0.000164894067857158,-0.00333724866354299,-0.000125619630822351,-0.000309369332581832,-0.00198779449590085
"T+9",0.000457671875869318,0.000165965297714608,-0.000395300332324681,-0.00191957550216484,-0.00114258823441688,0.00015239750697392,-0.00339019121819213,-0.00012441230455744,-0.000319680747230081,-0.00200346711183115
"T+10",0.000457153710273944,0.000164623805491756,-0.000395136535959993,-0.00191947586532806,-0.00113959320573492,0.000150813245001723,-0.00339259600020101,-0.000126506384883669,-0.000272607666168288,-0.00200475205210969
"T+11",0.000458122169391526,0.000165103004631788,-0.000395043986546033,-0.00191852269807222,-0.00113999626617775,0.00015306214142095,-0.00338395740466581,-0.000125696922135259,-0.000284878409738955,-0.00200174825570457
"T+12",0.000457912043575467,0.000164932246466203,-0.000395075562356183,-0.00191873447996693,-0.0011403570324378,0.000153215796879085,-0.00338414304709704,-0.000125762505493517,-0.000292303008669996,-0.00200177167875812
"T+13",0.000457823162120372,0.000164993014359036,-0.000395079454085165,-0.00191883922433142,-0.00114019156558189,0.000152818136186915,-0.00338551440569708,-0.000125854421420709,-0.000287041433497885,-0.00200232398935678
"T+14",0.000457882925189306,0.000164971404237774,-0.000395075687208809,-0.00191878469318638,-0.00114018104708808,0.000152812867424386,-0.0033853940566897,-0.000125800871498616,-0.000286911822579925,-0.0020022717581821
"T+15",0.000457878897636784,0.000164979086206587,-0.000395075929244427,-0.00191877961936877,-0.00114021021499465,0.000152882008502936,-0.00338518236141567,-0.000125812294608828,-0.000288211724025511,-0.00200217436141645
"T+16",0.000457870721957162,0.000164976355990688,-0.000395076261142695,-0.00191878915156129,-0.00114020366360775,0.000152879210806449,-0.0033852156256145,-0.000125815016101278,-0.000287835742884332,-0.00200219244892425
"T+17",0.000457873815659862,0.000164977326215024,-0.000395076182027425,-0.00191878797841859,-0.00114020089000355,0.000152867388556139,-0.00338524733439772,-0.000125811989707158,-0.000287642341572704,-0.00200220885428311
"T+18",0.000457874168699645,0.000164976981452057,-0.000395076162395824,-0.00191878673636837,-0.00114020270891231,0.000152868507369182,-0.00338523991132598,-0.000125813011133858,-0.000287792884398328,-0.00200220409325002
"T+19",0.00045787357644576,0.000164977103957267,-0.000395076173477374,-0.00191878717472032,-0.00114020263573945,0.000152870494459149,-0.00338523532309158,-0.000125812986727471,-0.000287792038245753,-0.00200220147866762
"T+20",0.000457873699266406,0.000164977060428071,-0.000395076173573773,-0.00191878727777256,-0.00114020236829694,0.000152870194102183,-0.00338523681520509,-0.000125812843074931,-0.000287756271842942,-0.00200220258409723
"T+21",0.000457873755331036,0.000164977075894942,-0.000395076172462919,-0.00191878718832576,-0.00114020245522904,0.000152869866137292,-0.00338523745149857,-0.000125812914898904,-0.000287767672918625,-0.00200220297072406
