"","INTC","GS","CVX","CSCO","WMT","VZ","HD","NKE","MCD","MRK"
"T+1",0.00100614439790758,0.00148221391929885,0.00130581971865922,0.00116961634318383,0.00363096091414498,-0.0013851092197769,-3.58690089783732e-05,-0.000830786000614386,0.000476029722109878,0.00114919285426382
"T+2",0.00138004408719741,0.00190770295991028,0.000639373925261671,0.00094773781799486,0.00172021365960596,-0.000463964913877875,0.0012248516739171,8.4813297882869e-05,3.07319546911148e-05,0.00106087947389225
"T+3",0.00108897583529217,0.0019710375036104,0.00164570604212526,0.00105224556685698,-0.000250849375766535,-5.6256865400112e-05,4.62883022729662e-05,-0.000548906227857453,-5.20510999970909e-06,0.00106572948253168
"T+4",0.000924898038804847,0.00196311179677739,0.000710343424235812,0.00108148564431921,0.000473119243304373,-1.49334744120695e-05,0.00116072616867423,-3.33664816936621e-05,-1.97379814238053e-06,0.00106148947722704
"T+5",0.000857556457911668,0.00197624091062334,0.00155404406804055,0.00109880643139308,0.000631490716345211,2.50524104730992e-05,0.000106970718210335,-0.0004514948904663,4.863116683626e-06,0.00105833370554906
"T+6",0.000832153829900623,0.00196458988801337,0.000794859236482212,0.0011072744067163,0.000482770730449263,2.35230771565164e-05,0.00110334814447049,-0.000112354075486437,1.18926205040337e-05,0.00105524040940333
"T+7",0.000822844476146739,0.00197556385262402,0.00147785921195971,0.00111158032053026,0.000489371046366289,2.83151364078052e-05,0.000161224452962049,-0.000387428394194749,1.8790430247624e-05,0.00105230322342291
"T+8",0.000819469133469774,0.00196530205495716,0.000863408857910831,0.001113751222706,0.000511569749394971,2.73937229187857e-05,0.001052048579152,-0.000164317878817706,2.55289301231821e-05,0.00104950508946586
"T+9",0.000818250278087822,0.00197490613218923,0.00141618886934366,0.00111484773119442,0.000505784406969501,2.80831226172041e-05,0.000209730706292332,-0.000345280981050619,3.21089234928893e-05,0.00104684034145178
"T+10",0.000817810828207453,0.00196591853567066,0.000918889607338435,0.00111540135172858,0.000503495358630333,2.78706902337315e-05,0.00100618353921387,-0.000198503298633565,3.85338626475578e-05,0.0010443025296407
"T+11",0.000817652482759268,0.0019743293249772,0.00136627654003395,0.00111568089516234,0.000504902232319404,2.79823246869529e-05,0.000253098349515631,-0.000317553468474217,4.48073748281614e-05,0.00104188561647336
"T+12",0.000817595439922865,0.00196645833580913,0.000963792396799685,0.0011158220443741,0.000504965334718292,2.79407251419184e-05,0.000965177306988187,-0.000220992855813655,5.09330264109029e-05,0.00103958384156217
"T+13",0.000817574892481326,0.00197382417019593,0.00132588049930462,0.00111589331479578,0.000504728544804477,2.79599248994703e-05,0.000291871751904333,-0.000299312373793875,5.69143020817591e-05,0.00103739171997688
"T+14",0.000817567491328454,0.00196693107023726,0.00100013401666949,0.00111592930131417,0.000504769063642899,2.79521936258923e-05,0.000928515154646997,-0.000235788057536515,6.2754604623195e-05,0.00103530402797799
"T+15",0.000817564825481615,0.00197338177556949,0.0012931863710966,0.00111594747196211,0.000504798003422219,2.79555856710358e-05,0.000326537613847888,-0.000287312107480033,6.84572566390814e-05,0.00103331579068789
"T+16",0.000817563865265981,0.00196734507226898,0.00102954674023845,0.00111595664685451,0.000504785395286445,2.79541762945825e-05,0.000895736883117656,-0.0002455213747498,7.40255024246893e-05,0.00103142227022415
"T+17",0.000817563519405067,0.00197299434391647,0.00126672570812253,0.00111596127952647,0.000504783492296166,2.79547823519415e-05,0.000357531076125001,-0.000279417494019234,7.94625098104541e-05,0.00102961895441045
"T+18",0.000817563394829216,0.00196770763881299,0.00105335163145791,0.00111596361869825,0.000504785899806152,2.79545273465226e-05,0.000866431045466546,-0.000251924630734344,8.4771371963999e-05,0.00102790154602422
"T+19",0.000817563349958178,0.00197265504665512,0.00124531003737665,0.00111596479981461,0.000504785688071932,2.79546361286322e-05,0.000385241181977467,-0.000274223865805872,8.99551091498508e-05,0.00102626595255652
"T+20",0.000817563333796059,0.00196802516019894,0.00107261788011529,0.00111596539619486,0.000504785351099607,2.79545901256641e-05,0.000840229782240556,-0.00025613713982093,9.50166704476971e-05,0.00102470827645977
"T+21",0.000817563327974618,0.00197235790358318,0.00122797748021639,0.00111596569732472,0.000504785456625985,2.79546096872487e-05,0.000410015760547924,-0.000270807134365813,9.99589354301462e-05,0.00102322480586008
