"","GS","PFE","CSCO","VZ","WMT","CVX","HD","MRK","NKE","UNH"
"T+1",-0.00330951735337292,-0.00100380223396227,0.0013580637761205,0.00240821682584116,0.000671068950584054,0.00134923056450123,0.000956561117784238,-0.000267470679469885,0.000190976785653671,0.00109704931341528
"T+2",-0.00331102963281707,-0.000580533957568725,0.0012707225310536,0.000385909859041877,0.000114095861214908,0.000814947034816056,0.00114067330363115,9.01515288483219e-05,-0.000348189773618124,0.000648788427008652
"T+3",4.80894315733165e-05,-0.000297619130131129,0.00145879934957258,5.95373623831628e-05,0.00094234265433203,0.000525430998969234,0.000805212742928301,0.000190629018126,0.000129793415922467,0.00119935070476897
"T+4",0.000428557603833108,-0.000528653809639075,0.00159547951326999,-9.9334401574591e-05,0.000860283969265635,0.000379329590224209,0.000784390685968572,0.000279729848864387,-0.000283277659544728,0.00095906929972927
"T+5",0.000847552660602614,-0.000362317881048501,0.00170524400798979,-9.73664661823054e-05,0.000758662708301466,0.000305650905038108,0.000817823030237806,0.000349500396343155,7.36133092338589e-05,0.00107833400996005
"T+6",0.000937604988589185,-0.000481101628882354,0.00179279747277459,-0.000117024255351168,0.000790082451929472,0.000268495121308155,0.000820145758731509,0.0004045788966261,-0.000234737711802166,0.00102047491637916
"T+7",0.000994694411147823,-0.000396323773131977,0.00186266512016538,-0.000111676859702299,0.000798396957603896,0.000249757651034978,0.000816815622143441,0.000448034933911508,3.16751665925166e-05,0.00104865359400501
"T+8",0.00101124025449589,-0.000456828695731081,0.00191841788831455,-0.000115435997578402,0.000792318777760585,0.000240308441335591,0.000816559365487128,0.000482322346306884,-0.000198503483450079,0.00103493909345487
"T+9",0.00101950339659039,-0.000413647188497169,0.00196290739219294,-0.000113814339472988,0.000792320857418748,0.000235543253578617,0.000816890897005533,0.000509375516536563,3.69075769256547e-07,0.0010416146728002
"T+10",0.0010222911968041,-0.000444465213365405,0.00199840905031483,-0.000114688932374862,0.000793183366189475,0.000233140193949123,0.000816918912968615,0.000530720788737017,-0.000171455265033544,0.00103836537558335
"T+11",0.00102353173366545,-0.000422470829544424,0.00202673860289545,-0.000114266141651891,0.000793015273811589,0.00023192834336161,0.000816885925226686,0.000547562461481789,-2.30003740812156e-05,0.00103994695632678
"T+12",0.00102398425703119,-0.000438167906864644,0.0020493449709205,-0.000114481450518729,0.000792925525871427,0.000231317213355333,0.000816882885532398,0.00056085074089172,-0.000151264242545354,0.00103917712948505
"T+13",0.0010241743495301,-0.000426965127173863,0.00206738436190089,-0.000114374526868918,0.000792966849835673,0.000231009023642492,0.000816886166050874,0.000571335350843604,-4.04452601066499e-05,0.00103955183904501
"T+14",0.00102424652675743,-0.000434960390893303,0.00208177940433239,-0.000114428270350093,0.000792971551876632,0.000230853605158494,0.000816886493724603,0.000579607832363027,-0.00013619199701552,0.00103936945094894
"T+15",0.00102427597667633,-0.000429254285470559,0.00209326633572768,-0.00011440141345958,0.000792964770392558,0.000230775228417929,0.000816886167669224,0.000586134918330291,-5.34675627448203e-05,0.00103945822748746
"T+16",0.00102428739035116,-0.000433326651340905,0.00210243265764081,-0.000114414871987821,0.000792965422154981,0.000230735703431559,0.000816886132543201,0.000591284866519842,-0.000124940829054885,0.00103941501592948
"T+17",0.00102429197910748,-0.000430420262034486,0.00210974718355932,-0.000114408136692973,0.000792966258118372,0.000230715771184616,0.000816886164932068,0.000595348236680444,-6.31884841514064e-05,0.00103943604894985
"T+18",0.00102429377626086,-0.000432494510535088,0.00211558401647001,-0.000114411509533551,0.000792966002955438,0.000230705719455199,0.000816886168679235,0.00059855428389769,-0.000116542028741563,0.0010394258112272
"T+19",0.00102429449338242,-0.000431014149031987,0.00212024168243592,-0.000114409821036467,0.000792965933915298,0.000230700650419854,0.00081688616546371,0.000601083893151327,-7.04449821470865e-05,0.00103943079439002
"T+20",0.00102429477574266,-0.0004320706618747,0.00212395839877539,-0.000114410666450738,0.000792965983571978,0.000230698094131451,0.000816886165065679,0.000603079784834289,-0.00011027247104321,0.00103942836885921
"T+21",0.00102429488798348,-0.000431316643761908,0.00212692425773764,-0.000114410243190278,0.00079296598371306,0.000230696805008383,0.000816886165384727,0.000604654567028175,-7.58618311224969e-05,0.0010394295494748
