"","CVX","MCD","WMT","CSCO","PG","HD","BA","NKE","GS","VZ"
"1",0.0010281048016724,0.00239386731648665,0.000694098142034983,0.000311611567775422,0.00119553073893474,0.000522080405207554,0.00257691740446371,0.00121283955099662,-0.000726079857362647,-0.000343549452575817
"2",0.00092755074728551,0.00404901447521131,0.000729244044954486,0.000371912881532824,-0.00036130317752998,0.00110790801904206,-0.00162508608138633,0.00100929873058306,-6.506252276379e-05,0.00103407228512653
"3",0.000911390938041346,0.0034034418474569,0.000626717850917294,0.000413164075105539,0.000110522713998,0.00114214561015848,0.00103382908998921,0.000786485697628561,-0.000509700810927964,0.000870164931424319
"4",0.000910951381605272,0.00264953934274279,0.000544763677015404,0.000442925826401928,0.000550789495800417,0.00110967742311304,-0.000724681225539586,0.000601286729852049,-0.000790741888669727,0.000904046869403586
"5",0.000910904101802614,0.00207735424820986,0.000483131838372123,0.000464349397445322,0.000678800512006824,0.00111029630221947,0.000436719207359704,0.000453134658535834,-0.000900938939312622,0.000908642641297523
"6",0.000910902433289059,0.00167463670628849,0.00043692701050148,0.000479772313914012,0.000671483433410507,0.00111191206752281,-0.000330355433327035,0.000335368788362634,-0.000935804263125127,0.000914651367784962
"7",0.000910902290818135,0.00139616375530768,0.000402293358916838,0.000490875290522543,0.000649392521310861,0.00111176244904252,0.000176276656843754,0.000241857965245351,-0.000945171455541505,0.000918697120884984
"8",0.000910902284885231,0.00120444800724923,0.000376333313804337,0.000498868338417548,0.000640565718051501,0.0011116907156567,-0.000158340173904885,0.0001676203350005,-0.00094727689363253,0.000921700869794566
"9",0.000910902284446116,0.00107260648367094,0.000356874677407403,0.000504622544380664,0.000639855426680248,0.00111170360645752,6.26652172901835e-05,0.000108685428403858,-0.000947630439822097,0.000923891122108718
"10",0.00091090228442575,0.000981965361736027,0.000342289243537231,0.000508765005017768,0.000640834135957651,0.00111170633496596,-8.33028824909627e-05,6.18991229832173e-05,-0.000947648168590956,0.000925493347939398
"11",0.000910902284424374,0.00091965394282504,0.000331356571968203,0.000511747168019882,0.000641377209746862,0.00111170547632767,1.31051102664952e-05,2.47571900063945e-05,-0.00094762966754812,0.000926664739049623
"12",0.000910902284424306,0.00087681860007879,0.00032316186835554,0.000513894031188967,0.00064147681697849,0.00111170539943268,-5.05697685697565e-05,-4.72842452579168e-06,-0.000947618738068254,0.000927521234852966
"13",0.000910902284424301,0.000847372018311364,0.000317019438586646,0.000515439560881176,0.000641441660778334,0.00111170544897101,-8.51422857929567e-06,-2.81359688060846e-05,-0.000947614547155552,0.000928147474349303
"14",0.000910902284424301,0.000827129383830567,0.000312415313135727,0.000516552189791995,0.000641411265154827,0.00111170544928811,-3.62907783931966e-05,-4.67183567057432e-05,-0.000947613240049314,0.000928605360095316
"15",0.000910902284424301,0.000813213876237481,0.000308964240520271,0.000517353172846176,0.000641402806777002,0.00111170544673077,-1.79451164485605e-05,-6.14702305309083e-05,-0.000947612893533014,0.000928940150908749
"16",0.000910902284424301,0.000803647861616909,0.000306377451275687,0.000517929801627655,0.000641403481998538,0.00111170544690125,-3.00619313316831e-05,-7.31812002135558e-05,-0.000947612817004128,0.000929184938832001
"17",0.000910902284424301,0.00079707184321335,0.000304438495089738,0.000518344917465493,0.000641405027611019,0.00111170544701963,-2.20591019241137e-05,-8.24781080186343e-05,-0.000947612804625328,0.000929363919627785
"18",0.000910902284424301,0.000792551254487878,0.000302985129262236,0.000518643759917273,0.000641405621193929,0.00111170544700227,-2.73447548902133e-05,-8.9858580949399e-05,-0.000947612804224369,0.000929494784439028
"19",0.000910902284424301,0.000789443641165265,0.000301895743001805,0.00051885889700154,0.000641405660135488,0.00111170544699748,-2.3853723674227e-05,-9.57176667684449e-05,-0.000947612804985518,0.000929590468440968
"20",0.000910902284424301,0.000787307357343297,0.000301079181608961,0.000519013774478791,0.000641405590364209,0.00111170544699872,-2.61594556299865e-05,-0.000100368979354641,-0.000947612805409485,0.00092966042940405
"21",0.000910902284424301,0.000785838799934805,0.000300467119081187,0.000519125270983641,0.00064140555336747,0.00111170544699887,-2.46365818649324e-05,-0.00010406148522376,-0.000947612805568656,0.000929711582535777
