"","PFE","HD","XOM","PG","MRK","VZ","WMT","CVX","CAT","GS"
"T+1",0.00335117673956872,0.00118846664433221,-0.00133136628576372,0.00218710351510194,0.00281074000149443,-0.00121260130434056,0.00196423355363755,0.00128803648156381,0.00117883191654323,0.00280691216542091
"T+2",1.46174049007969e-05,0.00105839989761405,0.0012003945208411,0.00126209828610111,0.0029141008770154,0.00201212939345447,0.00158088292468398,-0.00076465642905693,0.000257087106453242,0.000920060638667258
"T+3",0.00172290158409604,0.00102963922822306,0.000286215794369848,0.00174217188451484,0.00267692301679522,0.000115585408487566,0.00196736957109757,0.000637863142880717,0.00111794094042527,-0.00020003862068835
"T+4",0.000799809019350033,0.00100884225698941,0.000404452493251523,0.00136665895641412,0.0024507338307378,0.000861196283243822,0.00180771266962932,0.000255153243657068,0.000532208192433414,0.00021358990439416
"T+5",0.00128438605343384,0.000992282352650439,0.00031956400617408,0.0016976709823696,0.00227809245649378,0.000630142103292134,0.00184700437747421,0.000302639693963449,0.000921031061052603,-0.000102896360415899
"T+6",0.00102605049309157,0.000979047242969637,0.000316681989943013,0.00139858579146656,0.00215211500114859,0.000686153517125479,0.00184487805475412,0.00031085450031949,0.000663515072736004,9.93003114885568e-05
"T+7",0.00116264032028061,0.000968467961300077,0.000306038763536246,0.00167009191894986,0.00206116206423796,0.000677541958899105,0.00184141069426192,0.00030459013983265,0.000834029813451191,-3.45859423982345e-05
"T+8",0.00109010177700563,0.000960011533122782,0.000303577136974608,0.00142340676741295,0.00199566719945772,0.000676843259768537,0.00184349353070999,0.000306363974638455,0.000721125460894058,5.34040107219842e-05
"T+9",0.00112853392683456,0.000953251982459828,0.00030182439567284,0.00164757633510312,0.00194853500327641,0.000678085435668962,0.0018427969071461,0.000306127909679835,0.000795883618420862,-4.51329553135492e-06
"T+10",0.00110814623223509,0.000947848811699333,0.000301183317970987,0.00144386118297625,0.00191462258645498,0.000677457543027946,0.00184292200602119,0.000306095771807787,0.000746383480013608,3.35970093037155e-05
"T+11",0.00111895431931753,0.000943529847950148,0.000300847731914862,0.00162898931877487,0.00189022299125845,0.000677687160250596,0.00184293724379798,0.000306123678639202,0.000779159350102281,8.51825994043677e-06
"T+12",0.00111322258553512,0.000940077532875578,0.000300704851761214,0.00146075214211794,0.00187266793431655,0.000677620332946176,0.00184291456163214,0.00030611547510904,0.000757457235869052,2.50212718084971e-05
"T+13",0.00111626164748754,0.000937317963667256,0.000300636588629127,0.0016136395079662,0.00186003742659879,0.000677635154198235,0.00184292478014818,0.000306116638789115,0.000771827007315036,1.41614719452911e-05
"T+14",0.00111465011969812,0.000935112133072126,0.00030060604489584,0.00147470144486903,0.00185095003772361,0.000677633437021799,0.00184292202528488,0.00030611676067047,0.00076231225086377,2.13077542164711e-05
"T+15",0.00111550461986069,0.000933348927206608,0.000300591864443919,0.00160096292760928,0.00184441185049527,0.000677632937108921,0.00184292228838279,0.000306116636690636,0.000768612322557122,1.66051485123439e-05
"T+16",0.0011150515144246,0.000931939528438154,0.000300585417169125,0.00148622142562018,0.00183970776098841,0.000677633387097921,0.00184292247117344,0.000306116674548421,0.000764440812382935,1.9699694597293e-05
"T+17",0.00111529177337116,0.000930812941391588,0.000300582451046272,0.0015904940192565,0.00183632326661513,0.000677633184004635,0.00184292234372286,0.000306116668853435,0.000767202923352514,1.76633309029851e-05
"T+18",0.00111516437510613,0.000929912416712628,0.000300581095538024,0.00149573516046856,0.0018338881934474,0.000677633253515736,0.00184292238978368,0.000306116668411745,0.000765374027655344,1.90033584795393e-05
"T+19",0.00111523192824107,0.000929192592443488,0.000300580473733801,0.00158184830876313,0.00183213620905184,0.000677633234570202,0.00184292238031219,0.000306116668960943,0.00076658500705044,1.81215543541894e-05
"T+20",0.00111519610799662,0.000928617209013641,0.000300580189105003,0.00150359204434559,0.00183087569279198,0.000677633238336179,0.00184292237993947,0.000306116668786604,0.000765783172862949,1.87018248867146e-05
"T+21",0.00111521510176008,0.000928157282743388,0.000300580058659973,0.0015747082796926,0.0018299687776132,0.000677633238093874,0.00184292238124363,0.000306116668814299,0.00076631409689587,1.83199783050977e-05
