"","HD","IBM","AIG","PG","DIS","CAT","BA","MRK","AXP","AA"
"T+1",0.000664481080263438,0.000511982209151697,0.000441951112607403,0.000747278153674611,0.00235904096655772,-0.00353183482276375,0.00100135984569325,0.000982093767679525,0.000195126476928882,0.000423036958245658
"T+2",0.000660673662884494,0.000613816058196237,0.000402377084064083,0.000729270934641281,0.00188339250438891,-0.00468065533234119,0.00217746557433428,0.000789883128239509,0.00046027209858412,0.000108669494868244
"T+3",0.000348274061603633,0.00054710997719119,0.00034998827455846,0.000596460219136183,0.00146416981699725,-0.00454848367364998,0.00147750145432727,0.00120988280237217,0.000398323644680247,0.000598458255350929
"T+4",9.32334108460967e-05,0.000559927281125721,0.000306467557025426,0.000524657103800674,0.00121252428026239,-0.00431945074374066,0.000926751351143983,0.000858284865271974,0.000337808040381268,0.000516906939261273
"T+5",-8.12927242576429e-05,0.000558026973511238,0.000272504203874124,0.000492334333948065,0.00107176707411042,-0.0040950566436988,0.000704880601928716,0.00113624407230403,0.000321743758086249,0.00050005947157274
"T+6",-0.000196227915132954,0.000558273784293571,0.000246295346712126,0.000478418352126405,0.000994356077949758,-0.00388329484772815,0.000650468792668351,0.000917737249542296,0.000323390769229058,0.00050928894593846
"T+7",-0.000271203817670085,0.000558244539996921,0.000226113055400853,0.000472501471529412,0.000951964939231328,-0.00368412490120045,0.000648418826312879,0.00108940902308201,0.000326208885245719,0.000508511988045407
"T+8",-0.000319994691163359,0.000558247746829637,0.000210577750806971,0.000469994818347697,0.000928776544105621,-0.00349685580672264,0.00065433349623821,0.000954541560473373,0.000327123007794327,0.000508034094231178
"T+9",-0.0003517257973485,0.000558247421189875,0.000198620363685822,0.000468934021323755,0.000916095832465408,-0.00332078144985243,0.000657961000315337,0.00106049446290005,0.000327113182087537,0.000508189039816817
"T+10",-0.000372358791188943,0.000558247451426746,0.000189416999770154,0.000468485241013059,0.000909161814337595,-0.00315523305270724,0.000659252636550784,0.000977257109907707,0.000326986610321072,0.000508189563064254
"T+11",-0.000385774739034997,0.000558247448951737,0.000182333372139065,0.000468295397820181,0.000905370252157283,-0.00299958139663471,0.00065951458712903,0.0010426489617192,0.000326936949457054,0.0005081786755271
"T+12",-0.000394497939575835,0.000558247449111585,0.000176881261898956,0.000468215092487534,0.000903297013504915,-0.00285323484225526,0.000659495376556927,0.000991276661881647,0.000326933925236684,0.000508180937989457
"T+13",-0.000400169847377448,0.000558247449107492,0.000172684894624173,0.000468181122902862,0.000902163361209918,-0.00271563711617992,0.000659450378668988,0.00103163510281485,0.000326939368360428,0.000508181217550035
"T+14",-0.000403857773071548,0.000558247449106445,0.000169455044675315,0.0004681667536213,0.000901543477380796,-0.00258626519965022,0.000659427309820124,0.000999929227088078,0.000326941966314998,0.000508181001159157
"T+15",-0.000406255695239612,0.000558247449106714,0.000166969101483834,0.000468160675357182,0.00090120452342497,-0.00246462734077226,0.000659420056477222,0.00102483758658735,0.000326942282578739,0.000508181027404649
"T+16",-0.00040781484554028,0.00055824744910667,0.000165055726669206,0.000468158104227451,0.000901019182597652,-0.00235026118535556,0.000659418936516084,0.00100526940375931,0.00032694206148675,0.000508181036913837
"T+17",-0.000408828618907539,0.000558247449106676,0.000163583044914714,0.000468157016629486,0.000900917837794052,-0.00224273201947377,0.000659419243868796,0.00102064230614587,0.000326941930016879,0.000508181033080539
"T+18",-0.00040948778334892,0.000558247449106676,0.00016244955474155,0.000468156556571287,0.000900862422215354,-0.00214163111708611,0.000659419564227591,0.00100856524565111,0.000326941906721075,0.000508181033228523
"T+19",-0.000409916377918935,0.000558247449106676,0.000161577132734055,0.000468156361964868,0.000900832120845651,-0.00204657418644058,0.000659419706269729,0.00101805306951978,0.000326941914972806,0.000508181033463897
"T+20",-0.000410195053912172,0.000558247449106676,0.000160905649048374,0.000468156279645591,0.000900815551984919,-0.00195719990935349,0.000659419745298053,0.00101059936819884,0.000326941921421068,0.000508181033403906
"T+21",-0.000410376251516238,0.000558247449106676,0.000160388823089993,0.000468156244824215,0.000900806492092623,-0.00187316856781326,0.000659419748993392,0.00101645504850561,0.000326941922911377,0.000508181033400202
